Season,Participants,Best Odd,Your Bet,Winning Bet
2017,IFK Hassleholm - Hassleholms IF,1.44,2,2
2017,IFK Malmo - Vimmerby,1.44,1,1
2017,Torns - IFK Hassleholm,1.15,1,1
2017,Osterlen FF - Rappe GOIF,1.44,1,2
2017,Prespa Birlik - Kvarnby,1.46,1,1
2017,Hassleholms IF - Nybro,1.36,1,1
2017,Torns - IFK Malmo,1.15,1,0
2017,IFK Hassleholm - Prespa Birlik,1.44,2,0
2017,Vimmerby - Osterlen FF,1.49,2,1
2017,IFK Berga - Rappe GOIF,1.49,1,1
2017,IFK Berga - Kvarnby,1.34,1,1
2017,Hassleholms IF - Vimmerby,1.25,1,1
2017,Prespa Birlik - IFK Malmo,1.19,1,0
2017,Torns - Nybro,1.14,1,1
2017,Asarums - Lunds,1.26,2,1
2017,Rappe GOIF - IFK Hassleholm,1.44,1,1
2017,Nybro - Prespa Birlik,1.23,2,2
2017,Osterlen FF - Kvarnby,1.21,1,1
2017,Vimmerby - Torns,1.39,2,2
2017,IFK Malmo - Asarums,1.28,1,2
2017,Lunds - Rappe GOIF,1.49,1,1
2017,Prespa Birlik - Vimmerby,1.2,1,1
2017,Torns - Lindsdals,1.44,1,1
2017,IFK Hassleholm - Hassleholms IF,1.44,2,2
2017,IFK Malmo - Vimmerby,1.44,1,1
2017,Torns - IFK Hassleholm,1.15,1,1
2017,Osterlen FF - Rappe GOIF,1.44,1,2
2017,Prespa Birlik - Kvarnby,1.46,1,1
2017,Hassleholms IF - Nybro,1.36,1,1
2017,Torns - IFK Malmo,1.15,1,0
2017,IFK Hassleholm - Prespa Birlik,1.44,2,0
2017,Vimmerby - Osterlen FF,1.49,2,1
2017,IFK Berga - Rappe GOIF,1.49,1,1
2017,IFK Berga - Kvarnby,1.34,1,1
2017,Hassleholms IF - Vimmerby,1.25,1,1
2017,Prespa Birlik - IFK Malmo,1.19,1,0
2017,Torns - Nybro,1.14,1,1
2017,Asarums - Lunds,1.26,2,1
2017,Rappe GOIF - IFK Hassleholm,1.44,1,1
2017,Nybro - Prespa Birlik,1.23,2,2
2017,Osterlen FF - Kvarnby,1.21,1,1
2017,Vimmerby - Torns,1.39,2,2
2017,IFK Malmo - Asarums,1.28,1,2
2017,Lunds - Rappe GOIF,1.49,1,1
2017,Prespa Birlik - Vimmerby,1.2,1,1
2017,Torns - Lindsdals,1.44,1,1
2017,IFK Hassleholm - Hassleholms IF,1.44,2,2
2017,IFK Malmo - Vimmerby,1.44,1,1
2017,Torns - IFK Hassleholm,1.15,1,1
2017,Osterlen FF - Rappe GOIF,1.44,1,2
2017,Prespa Birlik - Kvarnby,1.46,1,1
2017,Hassleholms IF - Nybro,1.36,1,1
2017,Torns - IFK Malmo,1.15,1,0
2017,IFK Hassleholm - Prespa Birlik,1.44,2,0
2017,Vimmerby - Osterlen FF,1.49,2,1
2017,IFK Berga - Rappe GOIF,1.49,1,1
2017,IFK Berga - Kvarnby,1.34,1,1
2017,Hassleholms IF - Vimmerby,1.25,1,1
2017,Prespa Birlik - IFK Malmo,1.19,1,0
2017,Torns - Nybro,1.14,1,1
2017,Asarums - Lunds,1.26,2,1
2017,Rappe GOIF - IFK Hassleholm,1.44,1,1
2017,Nybro - Prespa Birlik,1.23,2,2
2017,Osterlen FF - Kvarnby,1.21,1,1
2017,Vimmerby - Torns,1.39,2,2
2017,IFK Malmo - Asarums,1.28,1,2
2017,Lunds - Rappe GOIF,1.49,1,1
2017,Prespa Birlik - Vimmerby,1.2,1,1
2017,Torns - Lindsdals,1.44,1,1
2014,Hollvikens - Kvarnby,1.2,1,1
2014,Rosengard - Asarums,1.21,1,0
2014,Rosengard - Vimmerby,1.27,1,1
2014,Hollvikens - Asarums,1.21,1,1
2014,Karlskrona - Ljungby,1.44,1,1
2014,Bunkeflo IF - Rosengard,1.46,2,0
2014,Hollvikens - Vimmerby,1.39,1,1
2014,Hassleholms IF - Bunkeflo IF,1.5,1,1
2014,Hollvikens - Bunkeflo IF,1.29,1,1
2014,Rosengard - Nosaby IF,1.17,1,2
2014,Ljungby - Rosengard,1.43,2,2
2014,Prespa Birlik - Lindsdals,1.44,1,2
2014,Hollvikens - Kvarnby,1.2,1,1
2014,Rosengard - Asarums,1.21,1,0
2014,Rosengard - Vimmerby,1.27,1,1
2014,Hollvikens - Asarums,1.21,1,1
