Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Gumushanespor - Menemen Bld.&nbsp;,1.42,1,0
2016,Gumushanespor - Eyupspor,1.45,1,1
2016,Menemen Bld. - Aydinspor,1.27,1,0
2016,Aydinspor - Trabzon,1.47,1,1
2016,Gumushanespor - Nigde Belediyespor,1.27,1,0
2016,Etimesgut - Kayseri Erciyesspor,1.07,1,1
2016,Gumushanespor - Menemen Bld.&nbsp;,1.42,1,0
2016,Gumushanespor - Eyupspor,1.45,1,1
2016,Menemen Bld. - Aydinspor,1.27,1,0
2016,Aydinspor - Trabzon,1.47,1,1
2016,Gumushanespor - Nigde Belediyespor,1.27,1,0
2016,Etimesgut - Kayseri Erciyesspor,1.07,1,1
2016,Gumushanespor - Menemen Bld.&nbsp;,1.42,1,0
2016,Gumushanespor - Eyupspor,1.45,1,1
2016,Menemen Bld. - Aydinspor,1.27,1,0
2016,Aydinspor - Trabzon,1.47,1,1
2016,Gumushanespor - Nigde Belediyespor,1.27,1,0
2016,Etimesgut - Kayseri Erciyesspor,1.07,1,1
2016,Gumushanespor - Menemen Bld.&nbsp;,1.42,1,0
2016,Gumushanespor - Eyupspor,1.45,1,1
2016,Menemen Bld. - Aydinspor,1.27,1,0
2016,Aydinspor - Trabzon,1.47,1,1
2016,Gumushanespor - Nigde Belediyespor,1.27,1,0
2016,Etimesgut - Kayseri Erciyesspor,1.07,1,1
2016,Gumushanespor - Menemen Bld.&nbsp;,1.42,1,0
2016,Gumushanespor - Eyupspor,1.45,1,1
2016,Menemen Bld. - Aydinspor,1.27,1,0
2016,Aydinspor - Trabzon,1.47,1,1
2016,Gumushanespor - Nigde Belediyespor,1.27,1,0
2016,Etimesgut - Kayseri Erciyesspor,1.07,1,1
2015,Bucaspor - Tarsus,1.45,1,1
2015,Ankaragucu - Tarsus,1.33,1,1
2015,Gumushanespor - Kartalspor,1.5,1,0
2015,Manisaspor - Karagumruk,1.4,1,2
2015,Tuzlaspor - Ankara Demirspor,1.43,1,1
2015,Bucaspor - Tarsus,1.45,1,1
2015,Ankaragucu - Tarsus,1.33,1,1
2015,Gumushanespor - Kartalspor,1.5,1,0
