Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Triangle - Bantu Rovers,1.39,1,1
2017,Yadah - Tsholotsho,1.5,1,0
2017,Chicken Inn - CAPS Utd,1.45,1,1
2017,Ngezi Platinum FC - Hwange,1.45,1,1
2017,Bantu Rovers - Platinum,1.41,2,2
2017,Tsholotsho - How Mine,1.4,2,0
2017,Chicken Inn - Bantu Rovers,1.37,1,1
2017,Black Rhinos - Tsholotsho,1.34,1,1
2017,Highlanders - Yadah,1.4,1,1
2017,Dynamos - Bantu Rovers,1.38,1,1
2017,Triangle - Bantu Rovers,1.39,1,1
2017,Yadah - Tsholotsho,1.5,1,0
2017,Chicken Inn - CAPS Utd,1.45,1,1
2017,Ngezi Platinum FC - Hwange,1.45,1,1
2017,Bantu Rovers - Platinum,1.41,2,2
2017,Tsholotsho - How Mine,1.4,2,0
2017,Chicken Inn - Bantu Rovers,1.37,1,1
2017,Black Rhinos - Tsholotsho,1.34,1,1
2017,Highlanders - Yadah,1.4,1,1
2017,Dynamos - Bantu Rovers,1.38,1,1
