Season,Participants,Best Odd,Your Bet,Winning Bet
2015,Kenya W - Algeria W,1.11,1,1
2015,Cameroon W - Senegal W,1.38,1,1
2015,Morocco W - Tunisia W,1.02,2,2
2015,Botswana W - Mauritius W,1.19,1,2
2015,Kenya W - Cameroon W,1.08,1,1
2015,Tunisia W - Mauritius W,1.01,1,1
2015,Botswana W - Morocco W,1.35,1,2
2015,Kenya W - Botswana W,1.01,1,1
2015,Algeria W - Mauritius W,1.01,1,1
2015,Morocco W - Senegal W,1.07,2,2
2015,Kenya W - Algeria W,1.12,1,1
2015,Senegal W - Tunisia W,1.16,2,1
2015,Mauritius W - Botswana W,1.24,2,2
2015,Cameroon W - Morocco W,1.03,1,1
2015,Tunisia W - Morocco W,1.01,1,1
2015,Botswana W - Algeria W,1.01,2,2
2015,Senegal W - Cameroon W,1.14,2,1
