Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Sydney Amazons W - Queensland W,1.3,2,1
2016,Sydney Amazons W - Queensland W,1.2,2,2
2016,Sydney Amazons W - Canberra Heat W,1.16,1,1
2016,UTSSU W - Queensland W,1.02,2,2
2016,UTSSU W - Queensland W,1.01,2,2
2016,Canberra Heat W - UTSSU W,1.22,1,1
2016,UTSSU W - Sydney Amazons W,1.01,2,2
2016,UTSSU W - Sydney Amazons W,1.09,2,2
2016,UTSSU W - Canberra Heat W,1.44,2,2
2012,Queensland W - Victoria W,1.4,2,2
2012,Canberra Heat W - South Australia W,1.01,2,2
2012,Canberra Heat W - Victoria W,1.01,2,2
