Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Azerrail Baku W - Azeryol Baku W,1.26,1,1
2016,Tbilisi W - Lokomotiv Baku W,1.02,2,2
2016,Lokomotiv Baku W - Tbilisi W,1.08,1,1
2016,Lokomotiv Baku W - Azerrail Baku W,1.01,2,2
2016,Azeryol Baku W - Telecom Baku W,1.14,2,1
2016,Azeryol Baku W - Azerrail Baku W,1.21,2,2
2016,Lokomotiv Baku W - Azeryol Baku W,1.01,2,2
2016,Tbilisi W - Lokomotiv Baku W,1.07,2,2
2016,Telecom Baku W - Azeryol Baku W,1.14,1,1
2016,Azerrail Baku W - Azeryol Baku W,1.21,1,1
2016,Azeryol Baku W - Lokomotiv Baku W,1.02,1,1
2016,Azeryol Baku W - Lokomotiv Baku W&nbsp;,1.05,1,1
2016,Azeryol Baku W - Telecom Baku W,1.1,2,2
2016,Azeryol Baku W - Azerrail Baku W,1.17,2,2
2016,Lokomotiv Baku W - Azeryol Baku W,1.03,2,2
2016,Azerrail Baku W - Lokomotiv Baku W,1.02,1,1
2016,Telecom Baku W - Azeryol Baku W,1.09,1,1
2015,Telecom Baku W - Azerrail Baku W&nbsp;,1.43,2,2
2015,Azeryol Baku W - Lokomotiv Baku W&nbsp;,1.45,2,2
2015,Azerrail Baku W - Telecom Baku W&nbsp;,1.47,1,1
2015,Lokomotiv Baku W - Azeryol Baku W&nbsp;,1.4,1,1
2015,Azerrail Baku W - Telecom Baku W&nbsp;,1.42,1,1
2015,Telecom Baku W - Azeryol Baku W,1.46,1,2
2015,Tbilisi W - Genclik W,1.1,2,2
2015,Azeryol Baku W - Lokomotiv Baku W,1.46,2,2
2015,Tbilisi W - Azerrail Baku W,1.14,2,2
2015,Azeryol Baku W - Genclik W,1.05,1,1
2015,Genclik W - Tbilisi W,1.02,1,1
2015,Azerrail Baku W - Lokomotiv Baku W,1.5,2,1
2015,Lokomotiv Baku W - Azeryol Baku W,1.39,1,2
2015,Azeryol Baku W - Telecom Baku W,1.48,2,2
2015,Genclik W - Azerrail Baku W,1.01,2,2
2015,Telecom Baku W - Azerrail Baku W&nbsp;,1.43,2,2
2015,Azeryol Baku W - Lokomotiv Baku W&nbsp;,1.45,2,2
2015,Azerrail Baku W - Telecom Baku W&nbsp;,1.47,1,1
2015,Lokomotiv Baku W - Azeryol Baku W&nbsp;,1.4,1,1
2015,Azerrail Baku W - Telecom Baku W&nbsp;,1.42,1,1
2015,Telecom Baku W - Azeryol Baku W,1.46,1,2
2015,Tbilisi W - Genclik W,1.1,2,2
2015,Azeryol Baku W - Lokomotiv Baku W,1.46,2,2
2015,Tbilisi W - Azerrail Baku W,1.14,2,2
2015,Azeryol Baku W - Genclik W,1.05,1,1
2015,Genclik W - Tbilisi W,1.02,1,1
2015,Azerrail Baku W - Lokomotiv Baku W,1.5,2,1
2015,Lokomotiv Baku W - Azeryol Baku W,1.39,1,2
2015,Azeryol Baku W - Telecom Baku W,1.48,2,2
2015,Genclik W - Azerrail Baku W,1.01,2,2
2014,Lokomotiv Baku W - Rabita Baku W&nbsp;,1.21,2,2
2014,Azerrail Baku W - Azeryol Baku W&nbsp;,1.04,2,2
2014,Rabita Baku W - Lokomotiv Baku W&nbsp;,1.28,1,1
2014,Azeryol Baku W - Azerrail Baku W&nbsp;,1.06,1,1
2014,Azerrail Baku W - Rabita Baku W&nbsp;,1.01,2,2
2014,Rabita Baku W - Azerrail Baku W&nbsp;,1.01,1,1
2014,Rabita Baku W - Lokomotiv Baku W,1.31,1,1
2014,Telecom Baku W - Azerrail Baku W,1.4,2,2
