Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Maritsa Plovdiv W - Levski Sofia W,1.37,1,2
2016,Burgas W - Maritsa Plovdiv W,1.01,2,2
2016,Levski Sofia W - CSKA Sofia W,1.03,1,1
2016,Shumen W - Burgas W,1.22,2,2
2016,Levski Sofia W - Kazanlak W,1.06,1,1
2016,Slaviya Sofia W - Rakovski W,1.16,1,1
2016,Maritsa Plovdiv W - Slaviya Sofia W,1.01,1,1
2016,Kazanlak W - Burgas W,1.06,1,2
2016,CSKA Sofia W - Rakovski W,1.45,1,1
2015,Maritsa Plovdiv W - CSKA Sofia W,1.19,1,1
2015,Levski Sofia W - Kazanlak W,1.07,1,1
2015,Kazanlak W - Sliven W,1.01,1,1
2013,Maritsa Plovdiv W - CSKA Sofia W,1.22,1,2
2013,Levski Sofia W - Slaviya Sofia W,1.01,1,1
2013,Maritsa Plovdiv W - Kazanlak W,1.06,1,1
2012,Kazanlak W - Maritsa Plovdiv W,1.4,1,1
2012,Kazanlak W - Spartak 96 W,1.01,1,1
2012,Feniks W - Levski Sofia W,1.08,2,2
2012,CSKA Sofia W - Maritsa Plovdiv W,1.34,1,1
2012,Spartak 96 W - Feniks W,1.17,2,2
2011,Maritsa Plovdiv W - CSKA Sofia W,1.11,1,1
2011,Levski Sofia W - Slaviya Sofia W,1.01,1,1
2011,Maritsa Plovdiv W - Slaviya Sofia W,1.02,1,1
2011,Levski Sofia W - Spartak Varna W,1.1,1,1
2011,Feniks W - CSKA Sofia W,1.02,2,2
2011,Spartak 96 W - Maritsa Plovdiv W,1.03,2,2
2011,CSKA Sofia W - Levski Sofia W,1.2,2,2
2011,Spartak Varna W - Feniks W,1.11,1,1
2011,Spartak Varna W - CSKA Sofia W,1.02,2,2
2011,Slaviya Sofia W - Spartak 96 W,1.3,2,1
2011,Levski Sofia W - Feniks W,1.01,1,1
