Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Vestsjaelland W - Ikast W,1.42,2,2
2016,Ikast W - DHV Odense W,1.01,1,1
2016,Frederiksberg W - Vestsjaelland W,1.21,1,2
2016,Ikast W - Frederiksberg W,1.31,1,2
2016,Vestsjaelland W - DHV Odense W,1.24,1,1
2016,Frederiksberg W - DHV Odense W,1.42,1,1
2016,Ikast W - Vestsjaelland W,1.07,1,1
2016,Vestsjaelland W - Frederiksberg W,1.32,2,2
2016,Bedsted W - Aalborg W,1.07,1,1
2015,Bedsted W - Gentofte W,1.12,1,1
2015,Frederiksberg W - Vestsjaelland W,1.1,1,1
2015,Gentofte W - Frederiksberg W,1.07,2,2
2015,Esbjerg W - Fortuna Odense W,1.03,2,2
