Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Italy U16 W - Russia U16 W,1.18,1,1
2017,Belarus U16 W - Bulgaria U16 W,1.3,2,2
2017,Romania U16 W - Greece U16 W,1.22,1,1
2017,Russia U16 W - Bulgaria U16 W,1.28,1,1
2017,Italy U16 W - Belarus U16 W,1.08,1,1
2017,Greece U16 W - Turkey U16 W,1.21,2,2
2017,Netherlands U16 W - Romania U16 W,1.44,2,1
2017,Romania U16 W - Russia U16 W,1.33,2,2
2017,Czech Republic U16 W - Turkey U16 W,1.28,2,2
2017,Italy U16 W - Netherlands U16 W,1.12,1,1
2017,Bulgaria U16 W - Denmark U16 W,1.04,1,1
2017,Russia U16 W - Belgium U16 W,1.04,1,1
2017,Denmark U16 W - Netherlands U16 W,1.04,2,2
2017,Belgium U16 W - Belarus U16 W,1.08,2,2
2017,Greece U16 W - Bulgaria U16 W,1.21,2,2
2017,Russia U16 W - Czech Republic U16 W,1.05,1,1
2017,Netherlands U16 W - Greece U16 W,1.08,1,1
2017,Turkey U16 W - Belgium U16 W,1.24,1,1
2017,Belarus U16 W - Russia U16 W,1.04,2,1
2017,Bulgaria U16 W - Finland U16 W,1.1,1,1
2017,Czech Republic U16 W - Romania U16 W,1.23,2,2
2017,Italy U16 W - Denmark U16 W,1.01,1,1
2017,Finland U16 W - Netherlands U16 W,1.12,2,2
2017,Russia U16 W - Turkey U16 W,1.08,1,1
2017,Belarus U16 W - Czech Republic U16 W,1.37,2,1
2017,Greece U16 W - Denmark U16 W,1.09,1,2
