Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Bitterfeld - Schoneiche,1.04,1,1
2016,Braunschweig - Aligse,1.22,2,1
2016,VI Frankfurt - Essen,1.4,2,1
2016,Aligse - Essen,1.32,1,1
2016,Mitteldeutschland - Bitterfeld,1.24,1,1
2016,Mitteldeutschland - Giesen/Hildesheim,1.25,1,2
2016,Essen - Mitteldeutschland,1.28,2,2
2016,Schoneiche - Delbruck,1.33,2,2
2015,Aligse - Solingen,1.5,2,2
2015,Bitterfeld - Lindow/Gransee,1.4,1,1
2015,Magdeburg - Delbruck,1.5,2,2
2015,Bocholt - Solingen,1.05,2,2
2015,Giesen/Hildesheim - Bitterfeld,1.5,2,1
2015,Delbruck - Braunschweig,1.5,1,2
2015,Lindow/Gransee - Magdeburg,1.05,1,1
2015,Magdeburg - Giesen/Hildesheim,1.45,2,2
2015,Schuttorf - Bocholt,1.35,1,1
2015,Solingen - Essen,1.05,1,1
2015,Aligse - Delbruck,1.25,1,1
2015,Schuttorf - Bitterfeld,1.3,2,2
2015,Giesen/Hildesheim - Braunschweig,1.4,1,1
2015,VCO Berlin - Magdeburg,1.05,1,1
2015,Delbruck - Solingen,1.05,2,2
2015,Essen - Schuttorf,1.3,1,2
2015,Bitterfeld - Bocholt,1.1,1,1
2015,Braunschweig - VI Frankfurt,1.05,1,1
2015,Magdeburg - Schuttorf,1.5,2,2
2015,Solingen - VCO Berlin,1.05,1,1
2015,Aligse - Giesen/Hildesheim,1.3,1,1
2015,Schuttorf - VCO Berlin,1.5,1,2
2015,Bocholt - VI Frankfurt,1.15,1,1
2015,Essen - Delbruck,1.4,1,1
2015,Solingen - Lindow/Gransee,1.13,1,1
2015,Solingen - Bitterfeld,1.4,1,1
2015,VI Frankfurt - VCO Berlin,1.25,2,2
2015,VCO Berlin - Bocholt,1.31,1,1
2015,Lindow/Gransee - Schuttorf,1.4,1,1
2015,VI Frankfurt - Aligse,1.15,2,2
2015,Bitterfeld - Magdeburg,1.01,1,1
2015,Schuttorf - Braunschweig,1.43,1,1
2015,Solingen - Giesen/Hildesheim,1.06,1,1
2015,Bitterfeld - VCO Berlin,1.05,1,1
2015,Lindow/Gransee - Essen,1.5,1,2
2015,Delbruck - Bocholt,1.28,1,1
2015,Magdeburg - Bocholt,1.5,2,1
2015,VI Frankfurt - Essen,1.14,2,2
2015,Aligse - Solingen,1.5,2,2
2015,Bitterfeld - Lindow/Gransee,1.4,1,1
2015,Magdeburg - Delbruck,1.5,2,2
2015,Bocholt - Solingen,1.05,2,2
2015,Giesen/Hildesheim - Bitterfeld,1.5,2,1
2015,Delbruck - Braunschweig,1.5,1,2
2015,Lindow/Gransee - Magdeburg,1.05,1,1
2015,Magdeburg - Giesen/Hildesheim,1.45,2,2
2015,Schuttorf - Bocholt,1.35,1,1
2015,Solingen - Essen,1.05,1,1
2015,Aligse - Delbruck,1.25,1,1
2015,Schuttorf - Bitterfeld,1.3,2,2
2015,Giesen/Hildesheim - Braunschweig,1.4,1,1
2015,VCO Berlin - Magdeburg,1.05,1,1
2015,Delbruck - Solingen,1.05,2,2
2015,Essen - Schuttorf,1.3,1,2
2015,Bitterfeld - Bocholt,1.1,1,1
2015,Braunschweig - VI Frankfurt,1.05,1,1
2015,Magdeburg - Schuttorf,1.5,2,2
2015,Solingen - VCO Berlin,1.05,1,1
2015,Aligse - Giesen/Hildesheim,1.3,1,1
2015,Schuttorf - VCO Berlin,1.5,1,2
2015,Bocholt - VI Frankfurt,1.15,1,1
2015,Essen - Delbruck,1.4,1,1
2015,Solingen - Lindow/Gransee,1.13,1,1
2015,Solingen - Bitterfeld,1.4,1,1
2015,VI Frankfurt - VCO Berlin,1.25,2,2
2015,VCO Berlin - Bocholt,1.31,1,1
2015,Lindow/Gransee - Schuttorf,1.4,1,1
2015,VI Frankfurt - Aligse,1.15,2,2
2015,Bitterfeld - Magdeburg,1.01,1,1
2015,Schuttorf - Braunschweig,1.43,1,1
2015,Solingen - Giesen/Hildesheim,1.06,1,1
2015,Bitterfeld - VCO Berlin,1.05,1,1
2015,Lindow/Gransee - Essen,1.5,1,2
2015,Delbruck - Bocholt,1.28,1,1
2015,Magdeburg - Bocholt,1.5,2,1
2015,VI Frankfurt - Essen,1.14,2,2
2015,Aligse - Solingen,1.5,2,2
2015,Bitterfeld - Lindow/Gransee,1.4,1,1
2015,Magdeburg - Delbruck,1.5,2,2
2015,Bocholt - Solingen,1.05,2,2
2015,Giesen/Hildesheim - Bitterfeld,1.5,2,1
2015,Delbruck - Braunschweig,1.5,1,2
2015,Lindow/Gransee - Magdeburg,1.05,1,1
2015,Magdeburg - Giesen/Hildesheim,1.45,2,2
2015,Schuttorf - Bocholt,1.35,1,1
2015,Solingen - Essen,1.05,1,1
2015,Aligse - Delbruck,1.25,1,1
2015,Schuttorf - Bitterfeld,1.3,2,2
2015,Giesen/Hildesheim - Braunschweig,1.4,1,1
2015,VCO Berlin - Magdeburg,1.05,1,1
2015,Delbruck - Solingen,1.05,2,2
2015,Essen - Schuttorf,1.3,1,2
2015,Bitterfeld - Bocholt,1.1,1,1
2015,Braunschweig - VI Frankfurt,1.05,1,1
2015,Magdeburg - Schuttorf,1.5,2,2
2015,Solingen - VCO Berlin,1.05,1,1
2015,Aligse - Giesen/Hildesheim,1.3,1,1
2015,Schuttorf - VCO Berlin,1.5,1,2
2015,Bocholt - VI Frankfurt,1.15,1,1
2015,Essen - Delbruck,1.4,1,1
2015,Solingen - Lindow/Gransee,1.13,1,1
2015,Solingen - Bitterfeld,1.4,1,1
2015,VI Frankfurt - VCO Berlin,1.25,2,2
2015,VCO Berlin - Bocholt,1.31,1,1
2015,Lindow/Gransee - Schuttorf,1.4,1,1
2015,VI Frankfurt - Aligse,1.15,2,2
2015,Bitterfeld - Magdeburg,1.01,1,1
2015,Schuttorf - Braunschweig,1.43,1,1
2015,Solingen - Giesen/Hildesheim,1.06,1,1
2015,Bitterfeld - VCO Berlin,1.05,1,1
2015,Lindow/Gransee - Essen,1.5,1,2
2015,Delbruck - Bocholt,1.28,1,1
2015,Magdeburg - Bocholt,1.5,2,1
2015,VI Frankfurt - Essen,1.14,2,2
2015,Aligse - Solingen,1.5,2,2
2015,Bitterfeld - Lindow/Gransee,1.4,1,1
2015,Magdeburg - Delbruck,1.5,2,2
2015,Bocholt - Solingen,1.05,2,2
2015,Giesen/Hildesheim - Bitterfeld,1.5,2,1
2015,Delbruck - Braunschweig,1.5,1,2
2015,Lindow/Gransee - Magdeburg,1.05,1,1
2015,Magdeburg - Giesen/Hildesheim,1.45,2,2
2015,Schuttorf - Bocholt,1.35,1,1
2015,Solingen - Essen,1.05,1,1
2015,Aligse - Delbruck,1.25,1,1
2015,Schuttorf - Bitterfeld,1.3,2,2
2015,Giesen/Hildesheim - Braunschweig,1.4,1,1
2015,VCO Berlin - Magdeburg,1.05,1,1
2015,Delbruck - Solingen,1.05,2,2
2015,Essen - Schuttorf,1.3,1,2
2015,Bitterfeld - Bocholt,1.1,1,1
2015,Braunschweig - VI Frankfurt,1.05,1,1
2015,Magdeburg - Schuttorf,1.5,2,2
2015,Solingen - VCO Berlin,1.05,1,1
2015,Aligse - Giesen/Hildesheim,1.3,1,1
2015,Schuttorf - VCO Berlin,1.5,1,2
2015,Bocholt - VI Frankfurt,1.15,1,1
2015,Essen - Delbruck,1.4,1,1
2015,Solingen - Lindow/Gransee,1.13,1,1
2015,Solingen - Bitterfeld,1.4,1,1
2015,VI Frankfurt - VCO Berlin,1.25,2,2
2015,VCO Berlin - Bocholt,1.31,1,1
2015,Lindow/Gransee - Schuttorf,1.4,1,1
2015,VI Frankfurt - Aligse,1.15,2,2
2015,Bitterfeld - Magdeburg,1.01,1,1
2015,Schuttorf - Braunschweig,1.43,1,1
2015,Solingen - Giesen/Hildesheim,1.06,1,1
2015,Bitterfeld - VCO Berlin,1.05,1,1
