Season,Participants,Best Odd,Your Bet,Winning Bet
2016,BR Volleys - Herrsching,1.06,1,1
2016,Netzhoppers - Friedrichshafen,1.02,2,2
2016,BR Volleys - Luneburg,1.15,1,1
2016,Friedrichshafen - Buhl,1.11,1,1
2016,Tecklenburger Land - Netzhoppers,1.31,2,2
2016,Duren - Herrsching,1.12,1,2
2016,BR Volleys - United Volleys RheinMain,1.26,1,1
2016,Duren - Rottenburg,1.13,1,1
2015,Buhl - BR Volleys,1.11,2,2
2015,BR Volleys - United Volleys RheinMain,1.14,1,1
2015,Buhl - Rottenburg,1.42,1,1
2015,Luneburg - Mitteldeutschland,1.16,1,1
2015,United Volleys RheinMain - Friedrichshafen,1.25,2,1
2015,BR Volleys - Herrsching,1.01,1,1
2015,Freiburg - United Volleys RheinMain,1.01,2,2
2015,Gotha - Herrsching,1.05,2,2
2015,Solingen - Rottenburg,1.3,2,2
2015,Coburg Grub - Buhl,1.45,2,2
2015,Schuttorf - Friedrichshafen,1.01,2,2
2014,Luneburg - Friedrichshafen,1.07,2,2
2014,Buhl - Friedrichshafen,1.22,2,2
2014,Luneburg - Duren,1.3,2,1
2014,Fellbach - Luneburg,1.27,2,2
2014,Buhl - Rottenburg,1.24,1,1
2014,Duren - Mitteldeutschland,1.09,1,1
2014,Bitterfeld - Rottenburg,1.1,2,2
2014,Fellbach - Dresden,1.4,2,2
2014,Oststeinbek - Mitteldeutschland,1.01,2,2
2014,Coburg Grub - Duren,1.07,2,2
2014,Gonsenheim - Luneburg,1.05,2,2
2014,Netzhoppers - Buhl,1.09,2,2
2014,Herrsching - BR Volleys,1.02,2,2
2014,Solingen - Friedrichshafen,1.01,2,2
2013,Friedrichshafen - Buhl,1.23,1,1
2013,BR Volleys - Unterhaching,1.39,1,1
2013,Dresden - Buhl,1.06,2,2
2013,Friedrichshafen - Duren,1.05,1,1
2013,BR Volleys - Coburg Grub,1.01,1,1
2013,Rottenburg - Unterhaching,1.08,2,2
2013,L.E. Volleys - Buhl,1.05,2,2
2013,Lindow/Gransee - Duren,1.05,2,2
2013,Schuttorf - Unterhaching,1.01,2,2
2013,United Volleys RheinMain - Friedrichshafen,1.01,2,2
2013,Mitteldeutschland - BR Volleys,1.1,2,2
2012,Unterhaching - Moerser,1.15,1,1
2012,Unterhaching - Duren,1.09,1,1
2012,Luneburg - Unterhaching,1.02,2,2
2012,Duren - Friedrichshafen,1.13,2,1
2012,Moerser - Mitteldeutschland,1.29,1,1
2012,Durmersheim - Moerser,1.06,2,2
2012,Eagles Kiel - Duren,1.01,2,2
2012,Friedrichshafen - Netzhoppers,1.05,1,1
2012,L.E. Volleys - Mitteldeutschland,1.1,2,2
2012,Luneburg - Dresden,1.49,2,1
2012,Rumelner - Buhl,1.05,2,2
2012,United Volleys RheinMain - Rottenburg,1.12,2,2
2011,Moerser - Friedrichshafen,1.04,2,2
2011,Buhl - Unterhaching,1.01,2,2
2011,Moerser - Duren,1.48,1,1
2011,Unterhaching - BR Volleys,1.25,1,1
2011,Friedrichshafen - Gotha,1.07,1,1
2011,Grafing - Buhl,1.03,2,2
2011,Luneburg - Moerser,1.03,2,2
2011,Rottenburg - Gotha,1.4,1,2
2011,Schoneiche - Mitteldeutschland,1.03,2,2
2010,Unterhaching - Moerser,1.1,1,1
2010,Duren - Friedrichshafen,1.05,2,2
2010,Moerser - Wuppertal,1.06,1,1
2010,RWE Bottrop - Mitteldeutschland,1.21,1,1
2010,Unterhaching - BR Volleys,1.45,1,1
2010,Moerser - Buhl,1.25,1,1
2009,Unterhaching - Duren,1.49,1,1
2009,Duren - Friedrichshafen,1.06,2,1
2009,Unterhaching - Rottenburg,1.14,1,1
2009,Unterhaching - VC Franken,1.14,1,1
2009,Rottenburg - Moerser,1.21,1,1
2009,Friedrichshafen - Wuppertal,1.25,1,1
2009,Kriftel - Wuppertal,1.25,2,2
2009,Moerser - RWE Bottrop,1.48,1,1
2009,Tecklenburger Land - Rottenburg,1.14,2,2
2009,Unterhaching - Netzhoppers,1.17,1,1
2009,Gotha - BR Volleys,1.11,2,2
2009,Friedrichshafen - Mitteldeutschland,1.02,1,1
2009,Leverkusen - Duren,1.11,2,2
