Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Paykan - Sarmayeh Bank&nbsp;,1.42,2,2
2016,Sarmayeh Bank - Paykan&nbsp;,1.5,1,1
2016,Shahrdari Urmia - Saipa Alborz&nbsp;,1.38,1,1
2016,Shahrdari Urmia - Paykan&nbsp;,1.24,2,2
2016,Saipa Alborz - Sarmayeh Bank&nbsp;,1.2,2,2
2016,Shahrdari Urmia - Paykan&nbsp;,1.44,2,1
2016,Sarmayeh Bank - Saipa Alborz&nbsp;,1.07,1,1
2016,Paykan - Shahrdari Urmia&nbsp;,1.25,1,1
2016,Shahrdari Urmia - Kalleh Mazandaran&nbsp;,1.2,1,1
2016,Ardakan Arman - Paykan&nbsp;,1.2,2,2
2016,Kalleh Mazandaran - Shahrdari Urmia&nbsp;,1.32,2,1
2016,Shahrdari Tabriz - Sarmayeh Bank&nbsp;,1.27,2,2
2016,Saipa Alborz - Matin Varamin&nbsp;,1.4,1,1
2016,Sarmayeh Bank - Shahrdari Tabriz&nbsp;,1.05,1,1
2016,Shahrdari Urmia - Kalleh Mazandaran&nbsp;,1.14,1,1
2016,Paykan - Ardakan Arman&nbsp;,1.07,1,1
2016,Javaheri Gonbad - Kalleh Mazandaran,1.42,2,2
2016,Matin Varamin - Ardakan Arman,1.42,1,2
2016,Saipa Alborz - Shahrdari Tabriz,1.48,1,1
2016,Sarmayeh Bank - Saipa Alborz,1.11,1,1
2016,Ardakan Arman - Shahrdari Arak,1.24,1,1
2016,Shahrdari Tabriz - Parseh Tehran,1.12,1,1
2016,Paykan - Sazman Omran,1.07,1,1
2016,Parseh Tehran - Saipa Alborz,1.28,2,2
2016,Javaheri Gonbad - Paykan,1.12,2,2
2016,Kalleh Mazandaran - Shahrdari Arak,1.21,1,1
2016,Shahrdari Urmia - Matin Varamin,1.18,1,2
2016,Sarmayeh Bank - Sazman Omran,1.06,1,1
2016,Sarmayeh Bank - Parseh Tehran,1.06,1,1
2016,Matin Varamin - Paykan,1.15,2,2
2016,Sazman Omran - Javaheri Gonbad,1.25,1,1
2016,Shahrdari Arak - Shahrdari Urmia,1.14,2,2
2016,Shahrdari Tabriz - Kalleh Mazandaran,1.31,1,1
2016,Saipa Alborz - Ardakan Arman,1.24,1,1
2016,Paykan - Shahrdari Arak,1.06,1,1
2016,Ardakan Arman - Parseh Tehran,1.22,1,1
2016,Kalleh Mazandaran - Saipa Alborz,1.45,2,1
2016,Shahrdari Urmia - Shahrdari Tabriz,1.25,1,1
2016,Sarmayeh Bank - Javaheri Gonbad,1.02,1,1
2016,Sazman Omran - Shahrdari Arak,1.22,1,1
2016,Paykan - Sarmayeh Bank&nbsp;,1.42,2,2
2016,Sarmayeh Bank - Paykan&nbsp;,1.5,1,1
