Season,Participants,Best Odd,Your Bet,Winning Bet
2014,Dominican Republic - Puerto Rico,1.39,2,1
2014,Cuba - Mexico,1.4,1,1
2014,Venezuela - Bahamas,1.09,1,1
2014,Trinidad &amp; Tobago - Colombia,1.08,2,2
2014,Puerto Rico - Mexico,1.39,1,1
2014,Dominican Republic - Cuba,1.22,2,1
2014,Cuba - Colombia,1.09,1,1
2014,Mexico - Colombia,1.1,1,1
2014,Cuba - Puerto Rico,1.15,1,2
2014,Mexico - Dominican Republic,1.26,1,2
2014,Cuba - Venezuela,1.18,1,1
2014,Trinidad &amp; Tobago - Colombia,1.05,2,2
2014,Mexico - Trinidad &amp; Tobago,1.01,1,1
2014,Puerto Rico - Venezuela,1.33,1,2
2014,Dominican Republic - Colombia,1.34,1,1
