Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Chemik Police W - Budowlani Lodz W,1.17,1,1
2016,Chemik Police W - Rzeszow W,1.04,1,1
2016,Budowlani Lodz W - Muszyna W,1.07,1,1
2016,Rzeszow W - Budowlani Torun W,1.05,1,1
2016,Wroclaw W - Dabrowa Gornicza W,1.32,1,1
2016,Wisla Warszawa W - Chemik Police W,1.01,2,2
2016,Wisla Warszawa W - Pila W,1.45,2,1
2016,Budowlani Lodz W - Ostrowiec Swietokrzyski W,1.08,1,1
2016,Chemik Police W - LKS Lodz W,1.01,1,1
2016,Dabrowa Gornicza W - Bydgoszcz W,1.12,1,1
2016,Muszyna W - Trefl Sopot W,1.23,1,1
2016,Solna Wieliczka W - Rzeszow W,1.12,2,2
2016,Wroclaw W - Bielsko-Biala W,1.03,1,1
2015,Chemik Police W - Trefl Sopot W,1.31,1,1
2015,Muszyna W - Trefl Sopot W,1.16,2,2
2015,Chemik Police W - Budowlani Lodz W,1.04,1,1
2015,Legionowo W - Trefl Sopot W,1.05,2,2
2015,Muszyna W - Wroclaw W,1.27,2,1
2015,Legionowo W - Pila W,1.23,2,1
2014,Chemik Police W - Trefl Sopot W,1.22,1,2
2014,Budowlani Lodz W - Trefl Sopot W,1.19,2,2
2014,Wroclaw W - Chemik Police W,1.13,2,2
2014,Muszyna W - Budowlani Lodz W,1.37,1,2
2014,Chemik Police W - Ostrowiec Swietokrzyski W,1.01,1,1
2014,Trefl Sopot W - Dabrowa Gornicza W,1.12,1,1
2014,Ostrowiec Swietokrzyski W - Bydgoszcz W,1.1,1,1
2014,Budowlani Lodz W - Rzeszow W,1.08,1,1
2013,Chemik Police W - Muszyna W,1.11,1,1
2013,Dabrowa Gornicza W - Muszyna W,1.41,1,2
2013,Chemik Police W - Bielsko-Biala W,1.1,1,1
2013,Trefl Sopot W - Muszyna W&nbsp;,1.14,1,2
2013,Wroclaw W - Dabrowa Gornicza W&nbsp;,1.29,1,1
2013,Bielsko-Biala W - Rzeszow W&nbsp;,1.07,1,1
2013,Chemik Police W - Pila W&nbsp;,1.01,1,1
2013,Muszyna W - Trefl Sopot W&nbsp;,1.41,2,2
2013,Pila W - Chemik Police W&nbsp;,1.06,2,2
2013,Rzeszow W - Bielsko-Biala W&nbsp;,1.17,2,1
2013,Dabrowa Gornicza W - Ostrowiec Swietokrzyski W&nbsp;,1.02,1,1
2013,Muszyna W - Legionowo W&nbsp;,1.21,1,1
2013,Budowlani Lodz W - Pila W&nbsp;,1.31,1,1
2012,Trefl Sopot W - Dabrowa Gornicza W,1.48,2,2
2012,Dabrowa Gornicza W - Muszyna W,1.27,2,1
2012,Wroclaw W - Trefl Sopot W,1.37,2,2
2012,Bielsko-Biala W - Wroclaw W&nbsp;,1.32,1,1
2012,Dabrowa Gornicza W - Pila W&nbsp;,1.05,1,1
2012,Muszyna W - AZS UEK Krakow W&nbsp;,1.01,1,1
2012,Pila W - Dabrowa Gornicza W&nbsp;,1.29,2,2
2012,Bydgoszcz W - Trefl Sopot W&nbsp;,1.11,2,2
2012,Bydgoszcz W - Bialystok W&nbsp;,1.04,1,1
2012,Bialystok W - Bydgoszcz W&nbsp;,1.13,2,2
2012,Wroclaw W - Jedynka W&nbsp;,1.05,1,1
2012,Pila W - Legionowo W&nbsp;,1.03,1,2
2011,Trefl Sopot W - Dabrowa Gornicza W,1.28,1,2
2011,Dabrowa Gornicza W - Muszyna W,1.29,2,1
2011,Trefl Sopot W - Bielsko-Biala W,1.3,1,1
2011,Pila W - Muszyna W,1.07,2,2
2011,Wroclaw W - Dabrowa Gornicza W,1.4,2,2
2011,Budowlani Lodz W - Bielsko-Biala W,1.42,2,2
2011,Trefl Sopot W - Bydgoszcz W,1.14,1,1
