Season,Participants,Best Odd,Your Bet,Winning Bet
2015,Carolina - Guaynabo&nbsp;,1.4,2,2
2015,Guaynabo - Carolina&nbsp;,1.14,1,1
2015,Carolina - Guaynabo&nbsp;,1.4,2,2
2015,Guaynabo - Carolina&nbsp;,1.14,1,1
2015,Guaynabo - Corozal,1.11,1,1
2015,Indios de Mayaguez - Patriotas De Lares,1.11,1,1
2015,Carolina - Corozal,1.33,1,2
2015,Guaynabo - Changos de Naranjito,1.14,1,2
2015,Corozal - Changos de Naranjito,1.4,1,1
2015,Patriotas De Lares - Caribes De San Sebastian,1.11,2,2
2015,Corozal - Carolina,1.4,2,1
2015,Caribes De San Sebastian - Changos de Naranjito,1.1,1,1
2015,Guaynabo - Patriotas De Lares,1.03,1,1
2015,Caribes De San Sebastian - Patriotas De Lares,1.07,1,1
2015,Carolina - Patriotas De Lares,1.1,1,1
2015,Changos de Naranjito - Capitanes de Arecibo,1.22,2,2
2015,Guaynabo - Changos de Naranjito,1.11,1,2
2015,Changos de Naranjito - Corozal,1.5,1,2
2015,Capitanes de Arecibo - Patriotas De Lares,1.02,1,1
2015,Guaynabo - Caribes De San Sebastian,1.33,1,2
2015,Carolina - Indios de Mayaguez,1.5,1,1
2015,Corozal - Patriotas De Lares,1.28,1,1
2015,Carolina - Guaynabo,1.33,2,2
2015,Guaynabo - Corozal,1.1,1,1
2015,Indios de Mayaguez - Changos de Naranjito,1.4,1,1
2015,Guaynabo - Carolina,1.25,1,1
2015,Patriotas De Lares - Corozal,1.36,2,1
