Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Alba Blaj W - Dinamo Bucuresti W,1.03,1,1
2016,Lugoj W - Targoviste W,1.03,2,1
2016,Penicilina Iasi W - Pitesti W,1.44,1,1
2016,Craiova W - Targu Mures W,1.21,2,2
2016,Piatra Neamt W - Metal Galati W,1.02,1,1
2016,CSM Bucuresti W - Stiinta Bacau W,1.34,1,1
2016,Alba Blaj W - Targoviste W,1.19,1,1
2016,Lugoj W - CSM Bucuresti W,1.03,2,2
2016,Stiinta Bacau W - Lugoj W,1.05,1,1
2016,CSM Bucuresti W - Alba Blaj W,1.28,2,2
2016,Dinamo Bucuresti W - CSM Bucuresti W,1.19,2,1
2016,Metal Galati W - Penicilina Iasi W,1.01,2,2
2016,Stiinta Bacau W - CSM Bucuresti W,1.25,2,2
2016,Dinamo Bucuresti W - Alba Blaj W,1.06,2,2
2016,Targoviste W - Lugoj W,1.01,1,1
2016,Alba Blaj W - Stiinta Bacau W,1.05,1,1
2016,Lugoj W - Dinamo Bucuresti W,1.07,2,2
2016,Piatra Neamt W - Pitesti W,1.3,1,2
2016,Targu Mures W - Piatra Neamt W,1.48,1,1
2016,Stiinta Bacau W - Dinamo Bucuresti W,1.33,1,1
2016,Targoviste W - Alba Blaj W,1.3,2,1
2016,Lugoj W - Stiinta Bacau W,1.16,2,2
2016,Craiova W - Pitesti W,1.06,2,2
2016,Dinamo Bucuresti W - Targoviste W,1.35,2,2
2016,Alba Blaj W - CSM Bucuresti W,1.15,1,1
2016,Alba Blaj W - Lugoj W,1.01,1,1
2016,Targu Mures W - Pitesti W,1.16,1,2
2016,Penicilina Iasi W - Metal Galati W,1.03,1,1
2016,Piatra Neamt W - Craiova W,1.02,1,1
2016,CSM Bucuresti W - Dinamo Bucuresti W,1.08,1,1
2016,Targoviste W - Stiinta Bacau W,1.36,1,1
2016,Alba Blaj W - Targoviste W,1.15,1,1
2016,Pitesti W - Stiinta Bacau W,1.13,2,2
2016,Craiova W - Targu Mures W,1.12,2,2
2016,Piatra Neamt W - CSM Bucuresti W,1.16,2,2
2016,Dinamo Bucuresti W - Penicilina Iasi W,1.2,1,1
2016,Lugoj W - Metal Galati W,1.03,1,1
2016,Targu Mures W - Lugoj W,1.45,1,2
2016,Penicilina Iasi W - Pitesti W,1.23,1,1
2016,Targoviste W - Piatra Neamt W,1.07,1,1
2016,Alba Blaj W - Dinamo Bucuresti W,1.03,1,1
2016,Lugoj W - Targoviste W,1.03,2,1
2016,Penicilina Iasi W - Pitesti W,1.44,1,1
2016,Craiova W - Targu Mures W,1.21,2,2
2016,Piatra Neamt W - Metal Galati W,1.02,1,1
2016,CSM Bucuresti W - Stiinta Bacau W,1.34,1,1
2016,Alba Blaj W - Targoviste W,1.19,1,1
2016,Lugoj W - CSM Bucuresti W,1.03,2,2
2016,Stiinta Bacau W - Lugoj W,1.05,1,1
