Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Yenisey W - Primorochka W,1.01,1,1
2016,Olympus Novosibirsk W - Sakhalin W,1.03,2,2
2016,Primorochka W - Sakhalin W,1.02,2,1
2016,Yenisey W - Olympus Novosibirsk W,1.02,1,1
2016,Tyumen W - Yenisey W,1.01,2,2
2016,Irkutsk W - Sakhalin W,1.01,2,2
2016,Yenisey W - Primorochka W,1.03,1,1
2016,Primorochka W - Tyumen W,1.14,1,1
2016,Olympus Novosibirsk W - Irkutsk W,1.17,1,1
2015,Sakhalin W - Yenisey W,1.29,2,2
2015,Omsk W - Yenisey W,1.01,2,2
2015,Olympus Novosibirsk W - Sakhalin W,1.02,2,2
2015,Primorochka W - Tyumen W,1.17,1,2
2015,Tyumen W - Sakhalin W,1.01,2,2
2015,Olympus Novosibirsk W - Omsk W,1.43,2,1
2015,Sakhalin W - Yenisey W,1.39,2,2
2015,Omsk W - Primorochka W,1.23,1,1
2015,Yenisey W - Tyumen W,1.01,1,1
2015,Primorochka W - Olympus Novosibirsk W,1.49,2,2
