Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Novosibirsk - Zenit Kazan,1.05,2,2
2016,Belgorod - Din. Moscow,1.41,2,1
2016,Din. Moscow - Zenit Kazan,1.1,2,2
2016,Novosibirsk - Belgorod,1.5,2,1
2016,Surgut region - Din. Moscow,1.18,2,2
2016,Novosibirsk - Zenit Kazan,1.06,2,2
2016,Din. Moscow - Belgorod,1.35,1,2
2016,Zenit Kazan - Novyi Urengoy,1.01,1,1
2016,Belgorod - Surgut region,1.28,1,1
2016,Novyi Urengoy - Novosibirsk,1.21,2,2
2016,Krasnodar - Belgorod,1.04,2,2
2016,Novokuybyishevsk - Din. Moscow,1.07,2,2
2016,Krasnoyarsk - Makhachkala,1.09,1,1
2016,Kemerovo - MGTU Moscow,1.06,1,1
2016,Novosibirsk - Lokomotiv Izumrud,1.12,1,1
2016,Ufa - Chelyabinsk,1.11,1,1
2016,Nizhievartovsk - Zenit Kazan,1.01,2,1
2016,Dinamo-Lo - Novyi Urengoy,1.3,2,2
2016,Belgorod - Krasnoyarsk,1.11,1,1
2016,Din. Moscow - Kemerovo,1.23,1,1
2016,Zenit Kazan - Ufa,1.01,1,1
2016,Chelyabinsk - Nizhievartovsk,1.33,2,2
2016,Makhachkala - Krasnodar,1.24,2,1
2016,Novyi Urengoy - Novosibirsk,1.38,2,1
2016,MGTU Moscow - Novokuybyishevsk,1.25,2,2
2016,Lokomotiv Izumrud - Dinamo-Lo,1.25,2,1
2016,Belgorod - Makhachkala,1.01,1,1
2016,Din. Moscow - MGTU Moscow,1.01,1,1
2016,Krasnoyarsk - Krasnodar,1.19,1,1
2016,Kemerovo - Novokuybyishevsk,1.26,1,1
2016,Novosibirsk - Dinamo-Lo,1.26,1,2
2016,Ufa - Nizhievartovsk,1.48,1,1
2016,Novyi Urengoy - Lokomotiv Izumrud,1.11,1,1
2016,Voronezh - Belgorod,1.01,2,2
2016,Barnaul - Surgut region,1.12,2,1
2016,Groznyj - Kemerovo,1.05,2,2
2016,Yaroslavl - Nizhievartovsk,1.18,2,1
2016,Chelyabinsk - Krasnoyarsk,1.28,2,1
2016,MGTU Moscow - Ufa,1.22,2,1
2016,Zenit Kazan - Yaroslavl,1.01,1,1
2016,Belgorod - Groznyj,1.01,1,1
2016,Din. Moscow - MGTU Moscow,1.02,1,1
2016,Surgut region - Chelyabinsk,1.23,1,1
2016,Kemerovo - Krasnodar,1.2,1,1
2016,Ufa - Orenburg,1.02,1,1
2016,Krasnoyarsk - Dinamo-Lo,1.31,1,2
2016,Novosibirsk - Zenit Kazan,1.05,2,2
2016,Belgorod - Din. Moscow,1.41,2,1
2016,Din. Moscow - Zenit Kazan,1.1,2,2
2016,Novosibirsk - Belgorod,1.5,2,1
2016,Surgut region - Din. Moscow,1.18,2,2
2016,Novosibirsk - Zenit Kazan,1.06,2,2
2016,Din. Moscow - Belgorod,1.35,1,2
2016,Zenit Kazan - Novyi Urengoy,1.01,1,1
2016,Belgorod - Surgut region,1.28,1,1
2016,Novyi Urengoy - Novosibirsk,1.21,2,2
2016,Krasnodar - Belgorod,1.04,2,2
