Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Sada Cruzeiro - Personal Bolivar,1.07,1,1
2017,Personal Bolivar - Montes Claros,1.43,1,1
2017,Sada Cruzeiro - UPCN,1.03,1,1
2017,UPCN - Personal Bolivar,1.36,2,2
2017,Sada Cruzeiro - Bohemios,1.01,1,1
2017,Sada Cruzeiro - Montes Claros,1.12,1,1
2017,Montes Claros - Bohemios,1.03,1,1
2016,Personal Bolivar - Funvic,1.15,2,2
2016,Sada Cruzeiro - UPCN,1.18,1,1
2016,Peerless - Bohemios,1.05,1,1
2016,UPCN - Personal Bolivar,1.46,1,2
2016,Bohemios - San Martin,1.03,1,1
