Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Ternopil W - Volyn Lutsk W,1.15,1,2
2016,Volyn Lutsk W - Khimik W,1.01,2,2
2016,Peduniversitet-SHVSM W - Severodonec W,1.18,1,2
2016,Zaporizhya W - Peduniversitet-SHVSM W,1.14,1,1
2016,Khimik W - Bilozgar Meduniversitet W,1.01,1,1
2016,Ternopil W - Severodonec W,1.06,1,1
2016,Bilozgar Meduniversitet W - Khimik W,1.01,2,2
2016,Volyn Lutsk W - Zaporizhya W,1.48,1,1
2016,Khimik W - Volyn Lutsk W,1.03,1,1
2016,Bilozgar Meduniversitet W - Volyn Lutsk W,1.33,2,1
2016,Peduniversitet-SHVSM W - Zaporizhya W,1.26,2,2
2016,Khimik W - Severodonec W,1.01,1,1
2016,Volyn Lutsk W - Peduniversitet-SHVSM W,1.3,1,1
2016,Zaporizhya W - Khimik W,1.01,2,2
2016,Peduniversitet-SHVSM W - Khimik W,1.01,2,2
2016,Volyn Lutsk W - Severodonec W,1.05,1,1
2016,Bilozgar Meduniversitet W - Zaporizhya W,1.16,2,1
2016,Ternopil W - Peduniversitet-SHVSM W,1.1,1,1
2016,Khimik W - Bilozgar Meduniversitet W,1.01,1,1
2016,Severodonec W - Ternopil W,1.17,2,2
2016,Khimik W - Bilozgar Meduniversitet W,1.01,1,1
2016,Zaporizhya W - Volyn Lutsk W,1.44,2,2
2016,Zaporizhya W - Severodonec W,1.08,1,1
2016,Khimik W - Ternopil W,1.1,1,1
2016,Ternopil W - Volyn Lutsk W,1.3,1,2
2016,Zaporizhya W - Regina W,1.2,1,2
2014,Zaporizhya W - Khimik W,1.07,2,2
2014,Khimik W - Severodonec W,1.04,1,2
2014,Severodonec W - Khimik W,1.02,2,2
2014,Khimik W - Ternopil W,1.04,1,1
2014,Ternopil W - Khimik W,1.01,2,2
2014,Khimik W - Zaporizhya W,1.02,1,1
2014,Khimik W - Severodonec W,1.01,1,1
2014,Severodonec W - Khimik W,1.03,2,2
2014,Khimik W - Zaporizhya W,1.06,1,1
2014,Khimik W - Ternopil W,1.05,1,1
2014,Khimik W - Peduniversitet-SHVSM W,1.01,1,1
2014,Zaporizhya W - Volyn Lutsk W,1.19,1,1
2014,Severodonec W - Volyn Lutsk W,1.44,1,1
2014,Regina W - Severodonec W,1.01,2,2
2014,Regina W - Severodonec W,1.11,2,2
2014,Regina W - Khimik W,1.01,2,2
2014,Khimik W - Zaporizhya W,1.02,1,1
2014,Khimik W - Severodonec W,1.03,1,1
2014,Khimik W - Severodonec W,1.04,1,1
2014,Zaporizhya W - Peduniversitet-SHVSM W,1.01,1,1
2014,Volyn Lutsk W - Bilozgar Meduniversitet W,1.25,1,1
2014,Volyn Lutsk W - Zaporizhya W,1.5,2,2
2014,Khimik W - Regina W,1.01,1,1
2014,Bilozgar Meduniversitet W - Peduniversitet-SHVSM W,1.19,1,1
2014,Khimik W - Regina W,1.01,1,1
2014,Zaporizhya W - Ternopil W,1.42,1,1
2014,Volyn Lutsk W - Severodonec W,1.48,2,2
2014,Regina W - Peduniversitet-SHVSM W,1.04,1,1
2014,Volyn Lutsk W - Khimik W,1.04,2,2
2014,Zaporizhya W - Bilozgar Meduniversitet W,1.01,1,1
2014,Zaporizhya W - Bilozgar Meduniversitet W,1.01,1,1
2014,Volyn Lutsk W - Khimik W,1.04,2,2
2014,Bilozgar Meduniversitet W - Regina W,1.11,1,2
2014,Khimik W - Ternopil W,1.01,1,1
2014,Zaporizhya W - Severodonec W,1.3,1,2
2014,Peduniversitet-SHVSM W - Volyn Lutsk W,1.01,2,2
2014,Zaporizhya W - Khimik W,1.07,2,2
2014,Khimik W - Severodonec W,1.04,1,2
2014,Severodonec W - Khimik W,1.02,2,2
2014,Khimik W - Ternopil W,1.04,1,1
2014,Ternopil W - Khimik W,1.01,2,2
2014,Khimik W - Zaporizhya W,1.02,1,1
2014,Khimik W - Severodonec W,1.01,1,1
2014,Severodonec W - Khimik W,1.03,2,2
2014,Khimik W - Zaporizhya W,1.06,1,1
2014,Khimik W - Ternopil W,1.05,1,1
2014,Khimik W - Peduniversitet-SHVSM W,1.01,1,1
2014,Zaporizhya W - Volyn Lutsk W,1.19,1,1
2014,Severodonec W - Volyn Lutsk W,1.44,1,1
2014,Regina W - Severodonec W,1.01,2,2
2014,Regina W - Severodonec W,1.11,2,2
2014,Regina W - Khimik W,1.01,2,2
2014,Khimik W - Zaporizhya W,1.02,1,1
2014,Khimik W - Severodonec W,1.03,1,1
2014,Khimik W - Severodonec W,1.04,1,1
2014,Zaporizhya W - Peduniversitet-SHVSM W,1.01,1,1
2014,Volyn Lutsk W - Bilozgar Meduniversitet W,1.25,1,1
2014,Volyn Lutsk W - Zaporizhya W,1.5,2,2
2014,Khimik W - Regina W,1.01,1,1
2014,Bilozgar Meduniversitet W - Peduniversitet-SHVSM W,1.19,1,1
2014,Khimik W - Regina W,1.01,1,1
2014,Zaporizhya W - Ternopil W,1.42,1,1
2014,Volyn Lutsk W - Severodonec W,1.48,2,2
2014,Regina W - Peduniversitet-SHVSM W,1.04,1,1
2014,Volyn Lutsk W - Khimik W,1.04,2,2
2014,Zaporizhya W - Bilozgar Meduniversitet W,1.01,1,1
2014,Zaporizhya W - Bilozgar Meduniversitet W,1.01,1,1
2014,Volyn Lutsk W - Khimik W,1.04,2,2
2014,Bilozgar Meduniversitet W - Regina W,1.11,1,2
2014,Khimik W - Ternopil W,1.01,1,1
2014,Zaporizhya W - Severodonec W,1.3,1,2
2014,Peduniversitet-SHVSM W - Volyn Lutsk W,1.01,2,2
2013,Khimik W - Ternopil W,1.01,1,1
2013,Zaporizhya W - Severodonec W,1.26,2,2
2013,Severodonec W - Khimik W,1.14,2,2
2013,Ternopil W - Zaporizhya W,1.4,2,2
2013,Khimik W - Zaporizhya W,1.01,1,1
2013,Severodonec W - Ternopil W,1.11,1,1
2013,Severodonec W - Ternopil W,1.16,1,1
2013,Khimik W - Zaporizhya W,1.01,1,1
2013,Severodonec W - Khimik W,1.15,2,1
2013,Ternopil W - Zaporizhya W,1.5,2,2
2013,Severodonec W - Zaporizhya W,1.33,1,1
2013,Khimik W - Ternopil W,1.01,1,1
2013,Volyn Lutsk W - Ternopil W,1.33,2,1
2013,Volyn Lutsk W - Ternopil W,1.33,2,2
2013,Severodonec W - Zaporizhya W,1.36,1,1
2013,Kerkinitida W - Volyn Lutsk W,1.48,1,1
2013,Regina W - Krjag W,1.16,2,2
2013,Regina W - Krjag W,1.11,2,2
2013,Regina W - Ternopil W,1.01,2,2
2013,Krjag W - Zaporizhya W,1.16,2,2
2013,Krjag W - Zaporizhya W,1.2,2,2
2013,Ternopil W - Krjag W,1.2,1,1
2013,Zaporizhya W - Volyn Lutsk W,1.19,1,2
2013,Ternopil W - Krjag W,1.2,1,1
2013,Zaporizhya W - Volyn Lutsk W,1.2,1,1
2013,Regina W - Severodonec W,1.01,2,2
2013,Regina W - Severodonec W,1.01,2,2
2013,Khimik W - Zaporizhya W,1.01,1,1
2013,Volyn Lutsk W - Khimik W,1.03,2,2
2013,Kerkinitida W - Krjag W,1.15,1,1
2013,Zaporizhya W - Regina W,1.01,1,1
2013,Severodonec W - Ternopil W,1.2,1,1
2013,Kerkinitida W - Krjag W,1.25,1,1
2013,Zaporizhya W - Regina W,1.01,1,1
2013,Ternopil W - Zaporizhya W,1.27,2,2
2013,Kerkinitida W - Severodonec W,1.14,2,2
2013,Regina W - Volyn Lutsk W,1.04,2,2
2013,Regina W - Volyn Lutsk W,1.06,2,2
2013,Kerkinitida W - Severodonec W,1.24,2,2
2013,Regina W - Khimik W,1.01,2,2
2013,Khimik W - Ternopil W,1.01,1,1
2013,Zaporizhya W - Severodonec W,1.26,2,2
2013,Severodonec W - Khimik W,1.14,2,2
2013,Ternopil W - Zaporizhya W,1.4,2,2
2013,Khimik W - Zaporizhya W,1.01,1,1
2013,Severodonec W - Ternopil W,1.11,1,1
2013,Severodonec W - Ternopil W,1.16,1,1
2013,Khimik W - Zaporizhya W,1.01,1,1
2013,Severodonec W - Khimik W,1.15,2,1
2013,Ternopil W - Zaporizhya W,1.5,2,2
2013,Severodonec W - Zaporizhya W,1.33,1,1
2013,Khimik W - Ternopil W,1.01,1,1
2013,Volyn Lutsk W - Ternopil W,1.33,2,1
2013,Volyn Lutsk W - Ternopil W,1.33,2,2
