Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Personal Bolivar (Arg) - Trentino (Ita) ,1.22,2,2
2016,Sada Cruzeiro (Bra) - Personal Bolivar (Arg) ,1.06,1,1
2016,Zenit Kazan (Rus) - Trentino (Ita) ,1.21,1,1
2016,UPCN (Arg) - Trentino (Ita) ,1.25,2,2
2016,Personal Bolivar (Arg) - Vivo Minas (Bra) ,1.18,1,1
2016,Trentino (Ita) - Personal Bolivar (Arg) ,1.29,1,1
2016,Tala El Geish (Egy) - Taichung Bank Club (Tpe) ,1.17,1,2
2016,Sada Cruzeiro (Bra) - Tala El Geish (Egy) ,1.01,1,1
2016,Trentino (Ita) - Vivo Minas (Bra) ,1.12,1,1
2016,Vivo Minas (Bra) - UPCN (Arg) ,1.45,2,2
2015,Sada Cruzeiro (Bra) - Zenit Kazan (Rus) ,1.41,2,1
2015,Paykan (Irn) - UPCN (Arg) ,1.4,1,2
2015,Paykan (Irn) - Sada Cruzeiro (Bra) ,1.23,2,2
2015,Zenit Kazan (Rus) - UPCN (Arg) ,1.04,1,1
2015,UPCN (Arg) - Al Ahly (Egy) ,1.02,1,1
2015,Sada Cruzeiro (Bra) - Capitanes de Arecibo (Pur) ,1.01,1,1
2015,Paykan (Irn) - Al Ahly (Egy) ,1.06,1,1
2014,Belgorod (Rus) - Al-Rayyan (Qat) ,1.24,1,1
2014,UPCN (Arg) - Sada Cruzeiro (Bra) ,1.19,2,1
2014,Al-Rayyan (Qat) - Sada Cruzeiro (Bra) ,1.27,2,1
2014,Belgorod (Rus) - UPCN (Arg) ,1.08,1,1
2014,Belgorod (Rus) - Matin Varamin (Irn) ,1.03,1,1
2014,Trentino (Ita) - Esperance ST (Tun) ,1.04,1,1
2014,Matin Varamin (Irn) - Guaynabo (Pur) ,1.33,1,1
2014,Sada Cruzeiro (Bra) - Matin Varamin (Irn) ,1.05,1,1
2014,Belgorod (Rus) - Guaynabo (Pur) ,1.01,1,1
2014,Al-Rayyan (Qat) - Esperance ST (Tun) ,1.01,1,1
2014,Sada Cruzeiro (Bra) - Guaynabo (Pur) ,1.01,1,1
2014,Trentino (Ita) - Al-Rayyan (Qat) ,1.5,2,2
2014,UPCN (Arg) - Esperance ST (Tun) ,1.02,1,1
2013,Trentino - UPCN,1.4,1,1
2013,UPCN - Sada Cruzeiro,1.21,2,2
2013,Trentino - Panasonic Panthers,1.17,1,1
2013,Novosibirsk - Sfaxien,1.01,1,1
2013,UPCN - Kalleh Mazandaran,1.11,1,1
2013,Sfaxien - La Romana,1.5,2,1
2013,UPCN - Trentino,1.28,2,1
2013,UPCN - Panasonic Panthers,1.43,1,1
2013,Trentino - Kalleh Mazandaran,1.09,1,1
2012,Trentino - Sada Cruzeiro,1.34,1,1
2012,Belchatow - Al Arabi,1.17,1,1
2012,Zenit Kazan - Zamalek,1.01,1,1
2012,Al-Rayyan - Tigres,1.03,1,1
2012,Trentino - Sada Cruzeiro,1.5,1,1
2012,Zenit Kazan - Belchatow,1.28,1,2
2012,Al Arabi - Zamalek,1.3,1,1
2012,Sada Cruzeiro - Al-Rayyan,1.31,1,1
2012,Trentino - Tigres,1.01,1,1
2012,Al Arabi - Zenit Kazan,1.02,2,2
2011,Jastrzebski - Trentino,1.14,2,2
2011,Trentino - Zenit Kazan,1.35,1,1
2011,Jastrzebski - Sesi,1.42,2,1
2011,Sesi - Trentino,1.31,2,2
2011,Trentino - Al Arabi,1.02,1,1
2011,Jastrzebski - Western Spartans,1.02,1,1
2011,Al Ahly - Sesi,1.04,2,2
2011,Jastrzebski - Zenit Kazan,1.23,2,1
2011,Western Spartans - Paykan,1.06,2,1
2011,Sesi - Al Arabi,1.13,1,1
2011,Trentino - Al Ahly,1.01,1,1
2011,Paykan - Zenit Kazan,1.01,2,2
2011,Jastrzebski - Paykan,1.23,1,1
2011,Western Spartans - Zenit Kazan,1.01,2,2
2010,Belchatow - Trentino,1.38,2,2
2010,Trentino - Paykan,1.02,1,1
2010,Belchatow - Personal Bolivar,1.15,1,1
2010,Paykan - Al Arabi,1.25,1,1
2010,Trentino - Paul Mitchell,1.01,1,1
2010,Din. Moscow - Personal Bolivar,1.16,1,2
2010,Belchatow - Al Ahly,1.01,1,1
2010,Belchatow - Al Arabi,1.04,1,1
2010,Trentino - Personal Bolivar,1.05,1,1
2010,Din. Moscow - Paul Mitchell,1.03,1,1
2010,Al Ahly - Paykan,1.08,2,2
2010,Trentino - Din. Moscow,1.2,1,1
2010,Belchatow - Paykan,1.08,1,1
2010,Al Ahly - Al Arabi,1.34,1,2
2010,Paul Mitchell - Personal Bolivar,1.25,2,2
2009,Zenit Kazan - Paykan,1.08,1,1
2009,Trentino - Paykan,1.04,1,1
2009,Cimed - Belchatow,1.3,2,2
2009,Paykan - Al Arabi,1.21,1,1
2009,Corozal - Trentino,1.01,2,2
2009,Zenit Kazan - Zamalek,1.04,1,1
2009,Belchatow - Paykan,1.15,1,1
2009,Al Arabi - Cimed,1.05,2,2
2009,Zamalek - Corozal,1.49,1,1
2009,Paykan - Cimed,1.13,2,1
2009,Belchatow - Al Arabi,1.12,1,1
2009,Zenit Kazan - Corozal,1.08,1,1
2009,Trentino - Zamalek,1.03,1,1
