Season,Participants,Best Odd,Your Bet,Winning Bet
2017,Brazil - USA,1.32,1,1
2017,Czech Republic - Canada,1.43,2,2
2017,Brazil - USA,1.27,1,1
2017,Italy - Slovenia,1.13,1,2
2017,Albania U20 - Turkey U20,1.01,2,2
2017,Japan - Argentina,1.17,2,1
2017,Australia - Canada,1.3,2,2
2017,Italy - Japan,1.08,1,1
2017,Bulgaria - China,1.19,1,1
2017,Slovenia - Serbia,1.4,2,2
2017,Portugal - Switzerland&nbsp;,1.19,1,1
2017,Australia - Iran,1.13,2,2
2017,Poland - Iran,1.47,1,1
2017,Estonia - Spain,1.28,1,1
2017,Greece - Tunisia,1.33,1,1
2017,Estonia - Spain,1.41,1,1
2017,Portugal - Austria&nbsp;,1.45,1,1
2017,Greece - Tunisia,1.47,1,1
2017,Greece - Tunisia,1.23,1,2
2017,Germany - Finland,1.25,1,2
2017,Switzerland - Austria,1.33,2,2
2017,France - Belgium,1.29,1,1
2017,Netherlands - Czech Republic,1.22,1,1
2017,Portugal - Estonia,1.41,2,2
2017,Hungary B - Sweden,1.09,2,2
2017,Ukraine - Latvia,1.09,1,1
2017,Netherlands - Czech Republic,1.25,1,1
2017,Brazil - USA,1.32,1,1
2017,Czech Republic - Canada,1.43,2,2
2017,Brazil - USA,1.27,1,1
2017,Italy - Slovenia,1.13,1,2
2017,Albania U20 - Turkey U20,1.01,2,2
2017,Japan - Argentina,1.17,2,1
2017,Australia - Canada,1.3,2,2
2017,Italy - Japan,1.08,1,1
2017,Bulgaria - China,1.19,1,1
2017,Slovenia - Serbia,1.4,2,2
2017,Portugal - Switzerland&nbsp;,1.19,1,1
2017,Australia - Iran,1.13,2,2
2017,Poland - Iran,1.47,1,1
2017,Estonia - Spain,1.28,1,1
2017,Greece - Tunisia,1.33,1,1
2017,Estonia - Spain,1.41,1,1
2017,Portugal - Austria&nbsp;,1.45,1,1
2017,Greece - Tunisia,1.47,1,1
2017,Greece - Tunisia,1.23,1,2
2017,Germany - Finland,1.25,1,2
2017,Switzerland - Austria,1.33,2,2
2017,France - Belgium,1.29,1,1
2017,Netherlands - Czech Republic,1.22,1,1
2017,Portugal - Estonia,1.41,2,2
2017,Hungary B - Sweden,1.09,2,2
2017,Ukraine - Latvia,1.09,1,1
2017,Netherlands - Czech Republic,1.25,1,1
2016,Slovakia - Finland,1.49,2,2
2016,Latvia - Denmark,1.24,1,1
2016,Turkey - Sweden,1.15,1,1
2016,Spain - Sweden,1.34,1,2
2016,Turkey - Greece,1.2,1,1
2016,Greece - Sweden,1.33,1,1
2016,Turkey - Spain,1.26,1,1
2016,Stroitel Minsk - Belarus,1.11,2,2
2016,Latvia - Tauras,1.08,1,1
2016,Brazil - Portugal,1.01,1,1
2016,Germany - Czech Republic,1.2,1,1
2016,Avtomobilist - Belarus,1.05,2,1
2016,Czech Republic - Sweden,1.25,1,1
2016,Belarus - Din. Moscow,1.26,2,2
2016,Belgorod - Belarus,1.34,1,2
2016,Jordan - Palestine,1.05,1,1
2016,Jordan - Palestine,1.16,1,1
2016,Belarus U20 - Ukraine U20,1.36,2,1
2016,Slovenia - Slovakia,1.24,1,1
2016,Greece - Turkey,1.23,2,2
2016,Greece - Spain,1.47,2,2
2016,Slovenia - Slovakia,1.46,1,1
2016,Italy - Serbia,1.41,1,1
2016,Italy - Serbia,1.41,1,2
2016,Finland - Slovakia,1.34,1,2
2016,Greece - Algeria,1.36,1,2
2016,Bulgaria - Tunisia,1.28,1,2
2016,Greece - Algeria,1.24,1,1
2016,Turkey - Egypt,1.32,1,1
2016,Brazil - Slovenia,1.12,1,1
2016,Italy - Australia,1.26,1,1
2015,Finland - Egypt,1.14,1,1
2015,France - Belgium,1.16,1,2
2015,Serbia - Bulgaria,1.46,1,1
2015,Serbia - Bulgaria,1.41,1,1
2015,Slovakia - Poland,1.07,2,2
2015,Slovakia - Poland,1.07,2,2
2015,Bulgaria - Serbia,1.46,2,1
2015,Germany - Russia,1.39,2,1
2015,Estonia - Netherlands,1.45,2,1
2015,Bulgaria - Slovakia,1.2,1,1
2015,Bulgaria - Slovakia,1.21,1,1
2015,France - Slovenia&nbsp;,1.21,1,2
2015,Serbia - France&nbsp;,1.43,2,1
2015,Germany - Slovenia,1.31,1,1
2015,Germany - France,1.5,2,2
2015,Serbia - Slovenia&nbsp;,1.3,1,2
2015,Serbia - Netherlands,1.37,1,2
2015,Finland - Germany,1.47,2,2
2015,Finland - Germany,1.47,2,2
2015,Serbia - Netherlands,1.32,1,1
2015,Germany - Belgium,1.35,1,1
2015,Czech Republic - France,1.19,2,1
2015,Germany - Belgium,1.33,1,1
2015,Czech Republic - France,1.19,2,2
2015,Slovenia - Brazil,1.15,2,2
2015,Slovenia - Brazil,1.14,2,2
2015,Netherlands - Belgium,1.4,1,2
2015,Netherlands - Belgium,1.49,1,1
2015,Czech Republic - Slovakia,1.36,1,2
2015,Belgorod - Belarus,1.35,1,1
2015,MGTU Moscow - Belarus,1.25,2,2
2015,Italy - Argentina,1.22,1,2
2015,Russia - Iran,1.36,1,2
2015,Belarus - Isku,1.09,1,1
2015,Qatar - India,1.28,1,1
2015,Egypt - Cameroon,1.06,1,1
2015,Qatar - Cameroon,1.24,1,1
2015,Finland - Egypt,1.14,1,1
