Season,Participants,Best Odd,Your Bet,Winning Bet
2015,Canada - Cuba,1.49,1,1
2015,Mexico - Puerto Rico,1.41,2,2
2015,Canada - Mexico,1.03,1,1
2015,Cuba - Puerto Rico,1.23,1,1
2015,Costa Rica - Honduras,1.21,1,2
2015,Puerto Rico - Costa Rica,1.01,1,1
2015,Mexico - Cuba,1.06,2,2
2015,Puerto Rico - Canada,1.08,2,2
2013,Cuba - Puerto Rico,1.35,1,1
2013,Canada - Cuba,1.23,1,1
2013,USA - Puerto Rico,1.07,1,1
2013,Saint Lucia - Bahamas,1.21,2,2
2013,Cuba - Dominican Republic,1.01,1,1
2013,Puerto Rico - Mexico,1.33,1,1
2013,Guatemala - Bahamas,1.37,1,2
2013,Canada - Mexico,1.04,1,1
2013,Dominican Republic - Saint Lucia,1.02,1,1
2013,USA - Dominican Republic,1.03,1,1
2013,Cuba - Puerto Rico,1.13,1,1
