Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Pro Recco - Brescia,1.27,1,1
2016,Napoli - Sport Management,1.18,2,1
2016,Brescia - Sport Management,1.21,1,1
2016,Pro Recco - Napoli,1.01,1,1
2016,Sport Management - Savona,1.1,1,1
2016,Torino 81 - Brescia,1.04,2,2
2016,Lazio - SC Quinto,1.25,1,2
2016,Ortigia - Bogliasco,1.33,1,1
2016,Pro Recco - Napoli,1.01,1,1
2016,Brescia - Pro Recco,1.35,2,1
2016,Napoli - Bogliasco,1.5,1,1
2016,SC Quinto - Torino 81,1.3,2,2
2016,Sport Management - Lazio,1.03,1,1
2016,Trieste - Posillipo,1.37,2,2
2016,Savona - Ortigia,1.36,1,1
2016,Bogliasco - Brescia,1.04,2,2
2016,Posillipo - Acquachiara,1.19,1,1
2016,Torino 81 - Sport Management,1.14,2,2
2016,Posillipo - Roma,1.18,1,1
2016,Sport Management - Pro Recco,1.04,2,2
2016,Savona - Brescia,1.05,2,2
2016,Trieste - Torino 81,1.45,1,0
2016,Bogliasco - Sport Management,1.1,2,2
2016,Pro Recco - Trieste,1.01,1,1
2016,Savona - SC Quinto,1.31,1,1
2016,Napoli - Brescia,1.11,2,2
2016,Roma - Lazio,1.49,1,2
2016,Sport Management - Savona,1.06,1,1
2016,Pro Recco - Brescia,1.27,1,1
2016,Napoli - Sport Management,1.18,2,1
2016,Brescia - Sport Management,1.21,1,1
2016,Pro Recco - Napoli,1.01,1,1
2016,Sport Management - Savona,1.1,1,1
2016,Torino 81 - Brescia,1.04,2,2
2016,Lazio - SC Quinto,1.25,1,2
2016,Ortigia - Bogliasco,1.33,1,1
2016,Pro Recco - Napoli,1.01,1,1
2016,Brescia - Pro Recco,1.35,2,1
2016,Napoli - Bogliasco,1.5,1,1
2016,SC Quinto - Torino 81,1.3,2,2
2016,Sport Management - Lazio,1.03,1,1
2016,Trieste - Posillipo,1.37,2,2
2016,Savona - Ortigia,1.36,1,1
2016,Bogliasco - Brescia,1.04,2,2
2016,Posillipo - Acquachiara,1.19,1,1
2016,Torino 81 - Sport Management,1.14,2,2
2016,Posillipo - Roma,1.18,1,1
2016,Sport Management - Pro Recco,1.04,2,2
2016,Savona - Brescia,1.05,2,2
2016,Trieste - Torino 81,1.45,1,0
2016,Bogliasco - Sport Management,1.1,2,2
2016,Pro Recco - Trieste,1.01,1,1
2016,Savona - SC Quinto,1.31,1,1
2016,Napoli - Brescia,1.11,2,2
2016,Roma - Lazio,1.49,1,2
2016,Sport Management - Savona,1.06,1,1
2016,Pro Recco - Brescia,1.27,1,1
2016,Napoli - Sport Management,1.18,2,1
2016,Brescia - Sport Management,1.21,1,1
2016,Pro Recco - Napoli,1.01,1,1
2016,Sport Management - Savona,1.1,1,1
2016,Torino 81 - Brescia,1.04,2,2
2016,Lazio - SC Quinto,1.25,1,2
2016,Ortigia - Bogliasco,1.33,1,1
2016,Pro Recco - Napoli,1.01,1,1
2016,Brescia - Pro Recco,1.35,2,1
2016,Napoli - Bogliasco,1.5,1,1
2016,SC Quinto - Torino 81,1.3,2,2
2016,Sport Management - Lazio,1.03,1,1
2016,Trieste - Posillipo,1.37,2,2
2016,Savona - Ortigia,1.36,1,1
2016,Bogliasco - Brescia,1.04,2,2
2016,Posillipo - Acquachiara,1.19,1,1
2016,Torino 81 - Sport Management,1.14,2,2
2016,Posillipo - Roma,1.18,1,1
2016,Sport Management - Pro Recco,1.04,2,2
2016,Savona - Brescia,1.05,2,2
2016,Trieste - Torino 81,1.45,1,0
2016,Bogliasco - Sport Management,1.1,2,2
2016,Pro Recco - Trieste,1.01,1,1
2016,Savona - SC Quinto,1.31,1,1
2016,Napoli - Brescia,1.11,2,2
2016,Roma - Lazio,1.49,1,2
2016,Sport Management - Savona,1.06,1,1
2016,Pro Recco - Brescia,1.27,1,1
2016,Napoli - Sport Management,1.18,2,1
2016,Brescia - Sport Management,1.21,1,1
