Helios Domzale - MBK Komarno&nbsp;,1.43,0
MBK Komarno - Helios Domzale&nbsp;,1.33,1
Helios Domzale - Rogaska&nbsp;,1.48,1
Zlatorog Lasko - MBK Komarno&nbsp;,1.15,1
Rogaska - Helios Domzale&nbsp;,1.22,0
Zlatorog Lasko - Traiskirchen Lions&nbsp;,1.12,1
Rogaska - Kapfenberg Bulls&nbsp;,1.19,1
Helios Domzale - KK Primorska&nbsp;,1.35,1
Traiskirchen Lions - Zlatorog Lasko&nbsp;,1.34,0
MBK Komarno - Levice&nbsp;,1.23,1
Levice - MBK Komarno&nbsp;,1.42,1
Rogaska - MBK Komarno,1.24,1
Kapfenberg Bulls - Tajfun Sentjur,1.42,1
Rogaska - Decin,1.2,1
Traiskirchen Lions - Zabok,1.48,1
Osijek - Klosterneuburg Dukes,1.29,1
Zlatorog Lasko - KK Primorska,1.3,1
Helios Domzale - Traiskirchen Lions,1.09,0
Klosterneuburg Dukes - Zlatorog Lasko,1.21,1
Levice - Kapfenberg Bulls,1.32,1
Decin - Rogaska,1.5,0
Kapfenberg Bulls - Levice,1.38,0
Zlatorog Lasko - Osijek,1.28,1
Tajfun Sentjur - Kapfenberg Bulls,1.12,0
Zlatorog Lasko - Klosterneuburg Dukes,1.11,1
Helios Domzale - Zabok,1.07,1
Osijek - Zlatorog Lasko,1.41,0
Traiskirchen Lions - Helios Domzale,1.29,1
Klosterneuburg Dukes - Osijek,1.33,0
Traiskirchen Lions - BC Prievidza&nbsp;,1.3,1
Helios Domzale - Klosterneuburg Dukes&nbsp;,1.02,1
Zlatorog Lasko - Levice&nbsp;,1.08,1
Zagreb - Kvarner&nbsp;,1.18,1
Levice - Traiskirchen Lions,1.1,1
Klosterneuburg Dukes - Zlatorog Lasko,1.27,1
Traiskirchen Lions - Helios Domzale,1.38,1
BC Prievidza - Zagreb,1.35,1
Helios Domzale - Kvarner,1.37,1
Zagreb - Klosterneuburg Dukes,1.05,1
Zlatorog Lasko - Klosterneuburg Dukes,1.05,1
Traiskirchen Lions - Kvarner,1.27,1
Traiskirchen Lions - Levice,1.45,1
Helios Domzale - Traiskirchen Lions,1.04,1
Zagreb - Zlatorog Lasko,1.24,0
Kvarner - Traiskirchen Lions,1.07,1
Helios Domzale - Levice,1.4,1
Klosterneuburg Dukes - BC Prievidza,1.17,1
Klosterneuburg Dukes - Zagreb,1.04,0
BC Prievidza - Klosterneuburg Dukes,1.22,1
Zagreb - BC Prievidza,1.36,1
Kvarner - Helios Domzale,1.41,0
