British Virgin Islands - Antigua and Barbuda,1.49,0
Saint Vincent and the Grenadines - Suriname,1.36,0
British Virgin Islands - Bahamas,1.18,1
Antigua and Barbuda - Virgin Islands,1.18,1
Barbados - Suriname,1.06,0
Virgin Islands - British Virgin Islands,1.25,1
Suriname - Guyana,1.36,0
Barbados - Cayman Islands,1.17,1
Antigua and Barbuda - Bermuda,1.22,1
Virgin Islands - Barbados,1.05,1
Bermuda - Suriname,1.28,1
British Virgin Islands - Barbados,1.05,0
Saint Vincent and the Grenadines - Virgin Islands,1.05,1
British Virgin Islands - Cayman Islands,1.09,1
Barbados - Saint Vincent and the Grenadines,1.13,0
Suriname - Antigua and Barbuda,1.06,1
