Zielona Gora - Anwil Wloclawek,1.36,1
Krosno - Anwil Wloclawek,1.33,1
Zielona Gora - Turow Zgorzelec,1.24,1
Anwil Wloclawek - Dabrowa Gornicza,1.42,1
Torun - Zielona Gora,1.33,1
Siarka - Turow Zgorzelec,1.11,1
Turow Zgorzelec - Rosa Radom,1.11,1
Siarka - Zielona Gora,1.07,0
Czarni Slupsk - Polpharma Starogard,1.18,1
Ostrow Wielkopolski - Anwil Wloclawek,1.02,1
Kutno - Siarka,1.06,1
Koszalin - Slask Wroclaw,1.4,0
Siarka - Polpharma Starogard&nbsp;,1.34,1
Slask Wroclaw - Koszalin,1.37,1
Trefl Sopot - Czarni Slupsk&nbsp;,1.3,0
Anwil Wloclawek - Gdynia&nbsp;,1.4,1
Polpharma Starogard - Siarka&nbsp;,1.4,1
Kotwica Kolobrzeg - Rosa Radom&nbsp;,1.28,1
Rosa Radom - Kotwica Kolobrzeg&nbsp;,1.18,0
Trefl Sopot - Zielona Gora,1.44,1
Zielona Gora - Slask Wroclaw,1.41,1
Turow Zgorzelec - Gdynia,1.34,1
Trefl Sopot - Czarni Slupsk,1.22,1
Anwil Wloclawek - Slask Wroclaw,1.23,0
Siarka - Turow Zgorzelec,1.28,1
Zielona Gora - Gdynia,1.41,0
Koszalin - Siarka&nbsp;,1.25,1
Czarni Slupsk - Anwil Wloclawek&nbsp;,1.45,1
Anwil Wloclawek - Czarni Slupsk&nbsp;,1.37,1
Polpharma Starogard - Gdynia,1.2,0
Polpharma Starogard - Poznan,1.28,1
Anwil Wloclawek - Kotwica Kolobrzeg,1.26,1
