Campbell - Furman,1.37,1
Texas State - Idaho,1.47,1
UMBC Retrievers - St. Francis (PA),1.35,1
Texas State - Lamar,1.2,1
UT Martin - UNC Asheville,1.48,0
USC Upstate - Furman,1.38,1
IPFW - Ball State,1.49,1
Liberty - Norfolk State,1.3,1
Coastal Carolina - UC Irvine,1.38,1
Columbia - NJIT,1.18,1
Louisiana Lafayette - UC Irvine,1.49,0
Columbia - Ball State,1.3,1
NJIT - Boston U.,1.48,1
Ball State - UT Martin,1.32,1
Coastal Carolina - New Hampshire,1.39,1
Grand Canyon - Jackson State,1.16,1
Louisiana Lafayette - Texas A&amp;M-CC,1.22,1
North Dakota - UC Irvine,1.34,1
Central Michigan - UT Martin,1.22,0
Columbia - Norfolk State,1.1,1
Fairfield - New Hampshire,1.45,0
Fordham - Boston U.,1.25,0
Savannah State - UT Arlington,1.09,1
Coastal Carolina - Mercer,1.37,1
Grand Canyon - South Carolina St,1.09,1
Sam Houston St. - Jackson State,1.35,0
Evansville - Northern Arizona,1.26,1
Northern Arizona - NJIT,1.49,1
Evansville - UT Martin,1.35,1
Eastern Kentucky - UT Martin,1.39,0
Sam Houston St. - Lafayette,1.34,0
Bowling Green - Canisius,1.26,0
Eastern Kentucky - High Point,1.41,1
Portland - Sacramento State,1.23,0
Evansville - IPFW,1.31,1
Sam Houston St. - NC Wilmington,1.27,1
Florida Gulf Coast - Texas A&amp;M-CC,1.36,0
High Point - Md.-East. Shore,1.26,1
Eastern Kentucky - Norfolk State,1.16,1
Oakland - Eastern Illinois,1.32,0
St. Francis (PA) - Bowling Green,1.44,1
USC Upstate - James Madison,1.42,1
Murray State - Yale,1.26,1
Murray State - Pacific,1.38,1
Pacific - San Diego,1.45,1
Columbia - Yale,1.46,0
Ohio - VMI,1.23,0
Murray State - Nebraska O.,1.41,1
Pacific - Texas A&amp;M-CC,1.24,1
Northern Colorado - Texas A&amp;M-CC,1.33,0
Nebraska O. - North Dakota,1.35,1
Missouri State - Murray State,1.48,0
San Diego - Portland State,1.2,1
Sam Houston St. - Alabama State,1.18,1
Canisius - VMI,1.11,0
East Ten. State - UT Chattanooga,1.44,1
Eastern Michigan - Norfolk State,1.11,1
Weber State - East Carolina,1.2,0
Northern Iowa - Weber State,1.39,0
Oral Roberts - Weber State,1.2,1
Northern Iowa - Bradley,1.11,1
Oral Roberts - UC Irvine,1.49,1
Weber State - Air Force,1.21,1
Northern Iowa - Illinois (Chi.),1.09,1
Evansville - Eastern Kentucky,1.43,1
UC Irvine - High Point,1.23,1
Weber State - Cal Poly,1.32,1
Illinois (Chi.) - Chicago St,1.13,1
Northern Iowa - North Dakota,1.04,1
Tulane - South Alabama,1.38,1
Canisius - Elon Phoenix,1.34,1
Kent State - Fairfield,1.46,1
Loyola Maryland - Boston U.,1.29,1
Youngstown State - Oakland,1.48,1
East Carolina - Savannah State,1.3,1
Evansville - Tennessee State,1.22,1
Utah State - Mercer,1.33,0
Utah State - Oakland,1.44,1
Fairfield - Mercer,1.34,0
Utah State - Loyola Marymnt,1.44,1
Fairfield - Robert Morris,1.44,1
Old Dominion - Mercer,1.27,0
Oakland - Rice,1.4,1
Fairfield - Manhattan,1.44,1
Old Dominion - USC Upstate,1.22,1
Utah State - Idaho,1.37,1
Rice - Drake,1.44,1
Loyola Marymnt - CS Fullerton,1.31,1
Utah State - CSU Bakersfield,1.15,1
Drake - North Dakota,1.15,1
Fairfield - Yale,1.21,1
Weber State - Utah Valley State,1.12,1
Georgia State - Tennessee Tech,1.19,1
Mercer - Tennessee State,1.49,1
Old Dominion - Coastal Carolina,1.13,1
Iona - Santa Clara,1.21,0
Iona - Buffalo,1.21,1
Ohio - East Ten. State,1.41,1
Northern Iowa - SMU Mustangs,1.29,0
Hawaii - San Francisco,1.35,0
SMU Mustangs - Jacksonville,1.38,1
Santa Clara - Air Force,1.41,1
San Francisco - Idaho,1.49,1
SMU Mustangs - Oral Roberts,1.5,1
Western Michigan - Tennessee Tech,1.3,1
Santa Clara - Northern Arizona,1.49,1
Air Force - North Dakota,1.06,1
East Carolina - Jacksonville,1.28,0
Northern Iowa - Rider,1.36,1
East Ten. State - Furman,1.46,1
Marshall - Ohio,1.33,0
