Dominican Republic - USA,1.08,1
Puerto Rico - Argentina,1.28,1
Brazil - Dominican Republic,1.13,1
USA - Brazil,1.27,0
Canada - Mexico,1.07,1
Dominican Republic - Argentina,1.25,1
Puerto Rico - USA,1.01,1
Argentina - Canada,1.27,1
Venezuela - Brazil,1.29,1
USA - Venezuela,1.08,1
Canada - Dominican Republic,1.08,1
Mexico - Argentina,1.32,0
Brazil - Puerto Rico,1.39,1
Mexico - Puerto Rico,1.5,1
Puerto Rico - Dominican Republic,1.41,1
Canada - Brazil,1.12,1
Argentina - Uruguay,1.48,1
USA - Uruguay,1.04,0
Puerto Rico - Canada,1.07,1
Canada - Mexico,1.31,1
Argentina - Puerto Rico,1.12,0
Uruguay - Dominican Republic,1.47,1
Mexico - Puerto Rico,1.05,1
Dominican Republic - USA,1.05,1
Brazil - Uruguay,1.03,1
Canada - Argentina,1.07,0
