Germany Univ. - USA Univ.&nbsp;,1.16,1
Brazil Univ. - Russia Univ.,1.33,1
Montenegro Univ. - Finland Univ.,1.41,1
Turkey Univ. - China Univ.,1.07,1
Australia Univ. - Serbia Univ.,1.45,1
Canada Univ. - Estonia Univ.,1.24,1
Japan Univ. - Chinese Taipei Univ.,1.06,1
Mongolia Univ. - Switzerland Univ.,1.06,0
Mongolia Univ. - Chile Univ.,1.28,0
Russia Univ. - USA Univ.,1.34,1
Estonia Univ. - Lithuania Univ.,1.03,1
South Korea Univ. - Australia Univ.,1.45,1
Mexico Univ. - Switzerland Univ.,1.29,0
China Univ. - Finland Univ.,1.46,1
Sweden Univ. - Serbia Univ.,1.27,1
Mozambique Univ. - Japan Univ.,1.17,1
Sweden Univ. - China Univ.,1.18,1
Serbia Univ. - Finland Univ.,1.07,1
South Korea Univ. - Montenegro Univ.,1.4,0
Switzerland Univ. - Chinese Taipei Univ.,1.18,1
France Univ. - Brazil Univ.,1.24,0
Russia Univ. - Estonia Univ.,1.03,1
Australia Univ. - Turkey Univ.,1.23,1
Japan Univ. - Chile Univ.,1.05,0
USA Univ. - Lithuania Univ.,1.5,1
Mexico Univ. - Montenegro Univ.,1.07,1
South Korea Univ. - Estonia Univ.,1.42,0
Serbia Univ. - Brazil Univ.,1.36,0
Russia Univ. - Canada Univ.,1.44,1
Australia Univ. - Lithuania Univ.,1.36,1
Japan Univ. - France Univ.,1.01,1
Brazil Univ. - Turkey Univ.,1.22,1
Germany Univ. - South Korea Univ.,1.09,1
Lithuania Univ. - Japan Univ.,1.01,1
Germany Univ. - USA Univ.&nbsp;,1.16,1
Brazil Univ. - Russia Univ.,1.33,1
Montenegro Univ. - Finland Univ.,1.41,1
Turkey Univ. - China Univ.,1.07,1
Australia Univ. - Serbia Univ.,1.45,1
Canada Univ. - Estonia Univ.,1.24,1
Japan Univ. - Chinese Taipei Univ.,1.06,1
Mongolia Univ. - Switzerland Univ.,1.06,0
Mongolia Univ. - Chile Univ.,1.28,0
Russia Univ. - USA Univ.,1.34,1
Estonia Univ. - Lithuania Univ.,1.03,1
South Korea Univ. - Australia Univ.,1.45,1
Mexico Univ. - Switzerland Univ.,1.29,0
China Univ. - Finland Univ.,1.46,1
Sweden Univ. - Serbia Univ.,1.27,1
Mozambique Univ. - Japan Univ.,1.17,1
Sweden Univ. - China Univ.,1.18,1
Serbia Univ. - Finland Univ.,1.07,1
South Korea Univ. - Montenegro Univ.,1.4,0
Switzerland Univ. - Chinese Taipei Univ.,1.18,1
France Univ. - Brazil Univ.,1.24,0
Russia Univ. - Estonia Univ.,1.03,1
Australia Univ. - Turkey Univ.,1.23,1
Japan Univ. - Chile Univ.,1.05,0
USA Univ. - Lithuania Univ.,1.5,1
Mexico Univ. - Montenegro Univ.,1.07,1
South Korea Univ. - Estonia Univ.,1.42,0
Serbia Univ. - Brazil Univ.,1.36,0
Russia Univ. - Canada Univ.,1.44,1
Australia Univ. - Lithuania Univ.,1.36,1
Japan Univ. - France Univ.,1.01,1
Brazil Univ. - Turkey Univ.,1.22,1
Germany Univ. - South Korea Univ.,1.09,1
Lithuania Univ. - Japan Univ.,1.01,1
Russia Univ. - Australia Univ.,1.14,1
Germany Univ. - Mexico Univ.,1.09,0
Romania Univ. - Lithuania Univ.,1.09,1
Norway Univ. - South Korea Univ.,1.1,1
Brazil Univ. - Estonia Univ.,1.09,0
Chile Univ. - China Univ.,1.4,0
Sweden Univ. - Japan Univ.,1.12,1
South Korea Univ. - Czech Republic Univ.,1.22,0
Romania Univ. - Brazil Univ.,1.12,0
Ukraine Univ. - Sweden Univ.,1.25,1
Russia Univ. - Canada Univ.,1.15,1
Mexico Univ. - South Korea Univ.,1.14,1
Canada Univ. - Brazil Univ.,1.07,1
Brazil Univ. - Norway Univ.,1.05,1
China Univ. - Chile Univ.,1.25,0
South Korea Univ. - Estonia Univ.,1.13,1
Romania Univ. - Mexico Univ.,1.3,1
Russia Univ. - Australia Univ.,1.14,1
Germany Univ. - Mexico Univ.,1.09,0
Romania Univ. - Lithuania Univ.,1.09,1
Norway Univ. - South Korea Univ.,1.1,1
Brazil Univ. - Estonia Univ.,1.09,0
Chile Univ. - China Univ.,1.4,0
Sweden Univ. - Japan Univ.,1.12,1
South Korea Univ. - Czech Republic Univ.,1.22,0
Romania Univ. - Brazil Univ.,1.12,0
Ukraine Univ. - Sweden Univ.,1.25,1
Russia Univ. - Canada Univ.,1.15,1
Mexico Univ. - South Korea Univ.,1.14,1
Canada Univ. - Brazil Univ.,1.07,1
Brazil Univ. - Norway Univ.,1.05,1
China Univ. - Chile Univ.,1.25,0
South Korea Univ. - Estonia Univ.,1.13,1
Romania Univ. - Mexico Univ.,1.3,1
