USA U17 - Turkey U17,1.01,1
Australia U17 - South Korea U17,1.27,1
China U17 - Bosnia &amp; Herzegovina U17,1.31,1
Finland U17 - Dominican Republic U17,1.18,0
Argentina U17 - Chinese Taipei U17,1.37,1
Egypt U17 - Mali U17,1.43,0
USA U17 - Lithuania U17,1.01,1
South Korea U17 - France U17,1.12,1
Turkey U17 - Spain U17,1.5,0
Canada U17 - Australia U17,1.29,1
USA U17 - South Korea U17,1.01,1
Spain U17 - Australia U17,1.28,1
Turkey U17 - Canada U17,1.24,0
Dominican Republic U17 - Bosnia &amp; Herzegovina U17,1.04,1
Mali U17 - Chinese Taipei U17,1.36,0
Argentina U17 - China U17,1.29,1
Chinese Taipei U17 - Bosnia &amp; Herzegovina U17,1.03,1
Mali U17 - Dominican Republic U17,1.48,0
Egypt U17 - Finland U17,1.39,1
Chinese Taipei U17 - Spain U17,1.02,1
Australia U17 - Bosnia &amp; Herzegovina U17,1.42,0
Turkey U17 - Mali U17,1.05,1
Canada U17 - Dominican Republic U17,1.01,1
Finland U17 - France U17,1.13,1
Egypt U17 - Lithuania U17,1.04,1
Bosnia &amp; Herzegovina U17 - South Korea U17,1.2,1
France U17 - Dominican Republic U17,1.02,1
China U17 - Canada U17,1.1,1
Argentina U17 - Spain U17,1.06,1
Mali U17 - Lithuania U17,1.06,1
Turkey U17 - Chinese Taipei U17,1.02,1
Canada U17 - Finland U17,1.13,1
France U17 - Bosnia &amp; Herzegovina U17,1.37,0
China U17 - Australia U17,1.16,0
Dominican Republic U17 - South Korea U17,1.1,1
Turkey U17 - USA U17,1.02,1
Chinese Taipei U17 - Egypt U17,1.26,1
Mali U17 - Argentina U17,1.25,0
Egypt U17 - Turkey U17,1.06,1
USA U17 - Turkey U17,1.01,1
Australia U17 - South Korea U17,1.27,1
China U17 - Bosnia &amp; Herzegovina U17,1.31,1
Finland U17 - Dominican Republic U17,1.18,0
Argentina U17 - Chinese Taipei U17,1.37,1
Egypt U17 - Mali U17,1.43,0
USA U17 - Lithuania U17,1.01,1
South Korea U17 - France U17,1.12,1
Turkey U17 - Spain U17,1.5,0
Canada U17 - Australia U17,1.29,1
USA U17 - South Korea U17,1.01,1
Spain U17 - Australia U17,1.28,1
Turkey U17 - Canada U17,1.24,0
Dominican Republic U17 - Bosnia &amp; Herzegovina U17,1.04,1
Mali U17 - Chinese Taipei U17,1.36,0
Argentina U17 - China U17,1.29,1
Chinese Taipei U17 - Bosnia &amp; Herzegovina U17,1.03,1
Mali U17 - Dominican Republic U17,1.48,0
Egypt U17 - Finland U17,1.39,1
Chinese Taipei U17 - Spain U17,1.02,1
Australia U17 - Bosnia &amp; Herzegovina U17,1.42,0
Turkey U17 - Mali U17,1.05,1
Canada U17 - Dominican Republic U17,1.01,1
Finland U17 - France U17,1.13,1
Egypt U17 - Lithuania U17,1.04,1
Bosnia &amp; Herzegovina U17 - South Korea U17,1.2,1
France U17 - Dominican Republic U17,1.02,1
China U17 - Canada U17,1.1,1
Argentina U17 - Spain U17,1.06,1
Mali U17 - Lithuania U17,1.06,1
Turkey U17 - Chinese Taipei U17,1.02,1
Canada U17 - Finland U17,1.13,1
France U17 - Bosnia &amp; Herzegovina U17,1.37,0
China U17 - Australia U17,1.16,0
Dominican Republic U17 - South Korea U17,1.1,1
Turkey U17 - USA U17,1.02,1
Chinese Taipei U17 - Egypt U17,1.26,1
