Most W - Slavia Prague W&nbsp;,1.08,1
Ostrava W - Olomouc W&nbsp;,1.27,0
Most W - Slavia Prague W&nbsp;,1.18,1
Presov W - Partizanske W&nbsp;,1.07,1
Zlin W - Pisek W,1.05,1
Ostrava W - Olomouc W&nbsp;,1.32,1
Michalovce W - Sala W&nbsp;,1.19,1
Michalovce W - Sala W&nbsp;,1.09,0
Pisek W - Veseli W,1.48,0
Most W - Olomouc W&nbsp;,1.01,1
Presov W - Sala W&nbsp;,1.22,1
Slavia Prague W - Ostrava W&nbsp;,1.42,1
Partizanske W - Michalovce W&nbsp;,1.01,1
Sala W - Presov W&nbsp;,1.05,1
Sala W - Presov W&nbsp;,1.06,1
Michalovce W - Partizanske W&nbsp;,1.01,1
Olomouc W - Most W&nbsp;,1.06,1
Veseli W - Pisek W,1.06,0
Ostrava W - Slavia Prague W&nbsp;,1.38,0
Ostrava W - Olomouc W,1.3,1
Trencin W - Slavia Prague W,1.46,1
Veseli W - Zlin W,1.41,1
Sala W - SKP Bratislava W,1.01,1
Presov W - Trencin W,1.07,1
Slavia Prague W - Veseli W,1.38,0
Olomouc W - Pisek W,1.02,1
Zlin W - Sala W,1.22,0
Michalovce W - Partizanske W,1.01,1
SKP Bratislava W - Zlin W,1.01,1
Pisek W - Most W,1.01,1
Presov W - Sala W,1.23,1
Olomouc W - Trencin W,1.05,0
Most W - Partizanske W,1.01,1
Michalovce W - Veseli W,1.01,1
Most W - Ostrava W,1.11,1
Zlin W - Slavia Prague W,1.33,1
Most W - Slavia Prague W&nbsp;,1.08,1
Ostrava W - Olomouc W&nbsp;,1.27,0
Most W - Slavia Prague W&nbsp;,1.18,1
Presov W - Partizanske W&nbsp;,1.07,1
Zlin W - Pisek W,1.05,1
Ostrava W - Olomouc W&nbsp;,1.32,1
Michalovce W - Sala W&nbsp;,1.19,1
Michalovce W - Sala W&nbsp;,1.09,0
Pisek W - Veseli W,1.48,0
Most W - Olomouc W&nbsp;,1.01,1
Presov W - Sala W&nbsp;,1.22,1
Slavia Prague W - Ostrava W&nbsp;,1.42,1
Partizanske W - Michalovce W&nbsp;,1.01,1
Sala W - Presov W&nbsp;,1.05,1
Sala W - Presov W&nbsp;,1.06,1
Michalovce W - Partizanske W&nbsp;,1.01,1
Olomouc W - Most W&nbsp;,1.06,1
Veseli W - Pisek W,1.06,0
Ostrava W - Slavia Prague W&nbsp;,1.38,0
Ostrava W - Olomouc W,1.3,1
Trencin W - Slavia Prague W,1.46,1
Veseli W - Zlin W,1.41,1
Sala W - SKP Bratislava W,1.01,1
Presov W - Trencin W,1.07,1
Slavia Prague W - Veseli W,1.38,0
Olomouc W - Pisek W,1.02,1
Zlin W - Sala W,1.22,0
Michalovce W - Partizanske W,1.01,1
SKP Bratislava W - Zlin W,1.01,1
Pisek W - Most W,1.01,1
Presov W - Sala W,1.23,1
Olomouc W - Trencin W,1.05,0
Most W - Partizanske W,1.01,1
Michalovce W - Veseli W,1.01,1
Most W - Ostrava W,1.11,1
Zlin W - Slavia Prague W,1.33,1
Most W - Slavia Prague W&nbsp;,1.08,1
Ostrava W - Olomouc W&nbsp;,1.27,0
Most W - Slavia Prague W&nbsp;,1.18,1
Presov W - Partizanske W&nbsp;,1.07,1
Zlin W - Pisek W,1.05,1
Ostrava W - Olomouc W&nbsp;,1.32,1
Michalovce W - Sala W&nbsp;,1.19,1
Michalovce W - Sala W&nbsp;,1.09,0
Pisek W - Veseli W,1.48,0
Most W - Olomouc W&nbsp;,1.01,1
Presov W - Sala W&nbsp;,1.22,1
Slavia Prague W - Ostrava W&nbsp;,1.42,1
Partizanske W - Michalovce W&nbsp;,1.01,1
Sala W - Presov W&nbsp;,1.05,1
Sala W - Presov W&nbsp;,1.06,1
Michalovce W - Partizanske W&nbsp;,1.01,1
Olomouc W - Most W&nbsp;,1.06,1
Veseli W - Pisek W,1.06,0
Ostrava W - Slavia Prague W&nbsp;,1.38,0
Ostrava W - Olomouc W,1.3,1
Trencin W - Slavia Prague W,1.46,1
Veseli W - Zlin W,1.41,1
Sala W - SKP Bratislava W,1.01,1
Presov W - Trencin W,1.07,1
Slavia Prague W - Veseli W,1.38,0
Olomouc W - Pisek W,1.02,1
Zlin W - Sala W,1.22,0
Michalovce W - Partizanske W,1.01,1
SKP Bratislava W - Zlin W,1.01,1
Pisek W - Most W,1.01,1
Presov W - Sala W,1.23,1
Olomouc W - Trencin W,1.05,0
Most W - Partizanske W,1.01,1
Michalovce W - Veseli W,1.01,1
Most W - Ostrava W,1.11,1
Zlin W - Slavia Prague W,1.33,1
Most W - Slavia Prague W&nbsp;,1.08,1
Ostrava W - Olomouc W&nbsp;,1.27,0
Most W - Slavia Prague W&nbsp;,1.18,1
Presov W - Partizanske W&nbsp;,1.07,1
Zlin W - Pisek W,1.05,1
Ostrava W - Olomouc W&nbsp;,1.32,1
Michalovce W - Sala W&nbsp;,1.19,1
Michalovce W - Sala W&nbsp;,1.09,0
Pisek W - Veseli W,1.48,0
Most W - Olomouc W&nbsp;,1.01,1
Presov W - Sala W&nbsp;,1.22,1
Slavia Prague W - Ostrava W&nbsp;,1.42,1
Partizanske W - Michalovce W&nbsp;,1.01,1
Sala W - Presov W&nbsp;,1.05,1
Sala W - Presov W&nbsp;,1.06,1
Michalovce W - Partizanske W&nbsp;,1.01,1
Olomouc W - Most W&nbsp;,1.06,1
Veseli W - Pisek W,1.06,0
Ostrava W - Slavia Prague W&nbsp;,1.38,0
Ostrava W - Olomouc W,1.3,1
Trencin W - Slavia Prague W,1.46,1
Veseli W - Zlin W,1.41,1
Sala W - SKP Bratislava W,1.01,1
Presov W - Trencin W,1.07,1
Slavia Prague W - Veseli W,1.38,0
Olomouc W - Pisek W,1.02,1
Zlin W - Sala W,1.22,0
Michalovce W - Partizanske W,1.01,1
SKP Bratislava W - Zlin W,1.01,1
Pisek W - Most W,1.01,1
Presov W - Sala W,1.23,1
Olomouc W - Trencin W,1.05,0
Most W - Partizanske W,1.01,1
Michalovce W - Veseli W,1.01,1
Most W - Ostrava W,1.11,1
Zlin W - Slavia Prague W,1.33,1
Sala W - Michalovce W&nbsp;,1.4,1
Slavia Prague W - Most W&nbsp;,1.41,0
Ostrava W - Zlin W&nbsp;,1.03,1
Presov W - Partizanske W&nbsp;,1.02,1
Olomouc W - Veseli W&nbsp;,1.14,1
Most W - Slavia Prague W&nbsp;,1.46,0
Partizanske W - Presov W&nbsp;,1.01,1
Michalovce W - Sala W&nbsp;,1.02,0
Partizanske W - Presov W&nbsp;,1.01,1
Michalovce W - Sala W&nbsp;,1.03,1
Zlin W - Ostrava W&nbsp;,1.37,1
Most W - Ostrava W&nbsp;,1.23,1
Olomouc W - Pisek W&nbsp;,1.01,1
Slavia Prague W - Zlin W&nbsp;,1.02,1
Veseli W - Plzen W&nbsp;,1.03,1
Presov W - Michalovce W&nbsp;,1.01,1
Sala W - Partizanske W&nbsp;,1.22,1
Sala W - Partizanske W&nbsp;,1.4,1
Pisek W - Olomouc W&nbsp;,1.15,1
Plzen W - Veseli W&nbsp;,1.25,0
Michalovce W - Presov W&nbsp;,1.01,1
Zlin W - Slavia Prague W&nbsp;,1.17,1
Most W - Sala W,1.15,1
Ostrava W - Plzen W,1.01,1
Partizanske W - SKP Bratislava W,1.02,1
Veseli W - Slavia Prague W,1.16,1
Sala W - Pisek W,1.01,1
SKP Bratislava W - Veseli W,1.14,0
Michalovce W - Zlin W,1.01,1
Presov W - Michalovce W,1.01,1
Most W - SKP Bratislava W,1.02,1
Ostrava W - Sala W,1.32,0
Partizanske W - Michalovce W,1.08,1
Presov W - Zlin W,1.09,1
Pisek W - Slavia Prague W,1.01,1
Slavia Prague W - Ostrava W,1.39,1
Sala W - Plzen W,1.01,1
SKP Bratislava W - Pisek W,1.38,1
Sala W - Michalovce W&nbsp;,1.4,1
Slavia Prague W - Most W&nbsp;,1.41,0
Ostrava W - Zlin W&nbsp;,1.03,1
Presov W - Partizanske W&nbsp;,1.02,1
Olomouc W - Veseli W&nbsp;,1.14,1
Most W - Slavia Prague W&nbsp;,1.46,0
Partizanske W - Presov W&nbsp;,1.01,1
Michalovce W - Sala W&nbsp;,1.02,0
Partizanske W - Presov W&nbsp;,1.01,1
Michalovce W - Sala W&nbsp;,1.03,1
Zlin W - Ostrava W&nbsp;,1.37,1
Most W - Ostrava W&nbsp;,1.23,1
Olomouc W - Pisek W&nbsp;,1.01,1
Slavia Prague W - Zlin W&nbsp;,1.02,1
Veseli W - Plzen W&nbsp;,1.03,1
Presov W - Michalovce W&nbsp;,1.01,1
Sala W - Partizanske W&nbsp;,1.22,1
Sala W - Partizanske W&nbsp;,1.4,1
Pisek W - Olomouc W&nbsp;,1.15,1
Plzen W - Veseli W&nbsp;,1.25,0
Michalovce W - Presov W&nbsp;,1.01,1
Zlin W - Slavia Prague W&nbsp;,1.17,1
Most W - Sala W,1.15,1
Ostrava W - Plzen W,1.01,1
Partizanske W - SKP Bratislava W,1.02,1
Veseli W - Slavia Prague W,1.16,1
Sala W - Pisek W,1.01,1
SKP Bratislava W - Veseli W,1.14,0
Michalovce W - Zlin W,1.01,1
Presov W - Michalovce W,1.01,1
Most W - SKP Bratislava W,1.02,1
Ostrava W - Sala W,1.32,0
Partizanske W - Michalovce W,1.08,1
Presov W - Zlin W,1.09,1
Pisek W - Slavia Prague W,1.01,1
Slavia Prague W - Ostrava W,1.39,1
Sala W - Plzen W,1.01,1
SKP Bratislava W - Pisek W,1.38,1
Sala W - Michalovce W&nbsp;,1.4,1
Slavia Prague W - Most W&nbsp;,1.41,0
Ostrava W - Zlin W&nbsp;,1.03,1
Presov W - Partizanske W&nbsp;,1.02,1
Olomouc W - Veseli W&nbsp;,1.14,1
Most W - Slavia Prague W&nbsp;,1.46,0
Partizanske W - Presov W&nbsp;,1.01,1
Michalovce W - Sala W&nbsp;,1.02,0
Partizanske W - Presov W&nbsp;,1.01,1
Michalovce W - Sala W&nbsp;,1.03,1
Zlin W - Ostrava W&nbsp;,1.37,1
Most W - Ostrava W&nbsp;,1.23,1
Olomouc W - Pisek W&nbsp;,1.01,1
Slavia Prague W - Zlin W&nbsp;,1.02,1
Veseli W - Plzen W&nbsp;,1.03,1
Presov W - Michalovce W&nbsp;,1.01,1
Sala W - Partizanske W&nbsp;,1.22,1
Sala W - Partizanske W&nbsp;,1.4,1
Pisek W - Olomouc W&nbsp;,1.15,1
Plzen W - Veseli W&nbsp;,1.25,0
Michalovce W - Presov W&nbsp;,1.01,1
Zlin W - Slavia Prague W&nbsp;,1.17,1
Most W - Sala W,1.15,1
Ostrava W - Plzen W,1.01,1
Partizanske W - SKP Bratislava W,1.02,1
Veseli W - Slavia Prague W,1.16,1
Sala W - Pisek W,1.01,1
SKP Bratislava W - Veseli W,1.14,0
Michalovce W - Zlin W,1.01,1
Presov W - Michalovce W,1.01,1
Most W - SKP Bratislava W,1.02,1
Ostrava W - Sala W,1.32,0
Partizanske W - Michalovce W,1.08,1
