PAOK - Panellinios,1.28,1
XANTH - Panellinios,1.25,1
Filippos Veria - PAOK,1.29,0
Filippos Veria - A.S.E. Douka,1.35,1
Diomidis Argous - A.S.E. Douka,1.08,0
XANTH - Filippos Veria,1.15,1
A.S.E. Douka - PAOK,1.48,0
Aeropos Edessas - Diomidis Argous,1.17,1
Dikeas - Foivos,1.05,1
Vrilissia - Aeropos Edessas,1.08,1
AEK Athens - PAOK,1.17,1
AEK Athens - Diomidis Argous,1.14,0
Loutraki - Diomidis Argous,1.14,1
Diomidis Argous - AEK Athens,1.25,1
A.S.E. Douka - AEK Athens,1.07,1
Anagennisi Vyrona - PAOK,1.1,0
XANTH - PAOK,1.09,1
