Chekhovskiye Medvedi - Krasnodar,1.11,0
Krasnodar - Stavropol,1.32,1
Chekhovskiye Medvedi - Saratov,1.12,1
Chelyabinsk - Chekhovskiye Medvedi,1.01,1
Stavropol - St. Petersburg,1.2,0
Sungul - Saratov,1.35,1
Kaustik - Ufimochka-UGNTU,1.4,1
Chekhovskiye Medvedi - St. Petersburg,1.18,1
Krasnodar - Chekhovskiye Medvedi,1.02,1
St. Petersburg - Dinamo Astrakhan,1.15,1
Dinamo Astrakhan - Saratov&nbsp;,1.4,1
Chelyabinsk - Stavropol&nbsp;,1.23,1
Ufimochka-UGNTU - Kaustik&nbsp;,1.36,1
Voronezh - St. Petersburg&nbsp;,1.15,1
Dinamo Astrakhan - Sungul&nbsp;,1.28,0
Krasnodar - Chekhovskiye Medvedi,1.02,1
Saratov - Perm,1.09,1
Saratov - Krasnodar,1.29,0
Krasnodar - Chelyabinsk&nbsp;,1.39,1
Chekhovskiye Medvedi - St. Petersburg&nbsp;,1.08,1
Dinamo Astrakhan - Perm&nbsp;,1.41,1
St. Petersburg - Chekhovskiye Medvedi&nbsp;,1.25,1
Kaustik - Saratov&nbsp;,1.12,1
Perm - Dinamo Astrakhan&nbsp;,1.16,0
Chelyabinsk - Sungul&nbsp;,1.16,1
Stavropol - Krasnodar&nbsp;,1.21,1
Krasnodar - Stavropol&nbsp;,1.15,0
St. Petersburg - Perm,1.32,1
Fakel-TKZ - Perm&nbsp;,1.08,1
Chelyabinsk - Chekhovskiye Medvedi&nbsp;,1.14,1
Krasnodar - St. Petersburg&nbsp;,1.29,0
Perm - Fakel-TKZ&nbsp;,1.04,1
Kaustik - Sungul&nbsp;,1.06,1
Chekhovskiye Medvedi - Chelyabinsk&nbsp;,1.01,1
St. Petersburg - Krasnodar&nbsp;,1.11,1
Dinamo Astrakhan - Kaustik&nbsp;,1.45,1
Chelyabinsk - Voronezh&nbsp;,1.24,1
Chekhovskiye Medvedi - Kaustik,1.01,1
St. Petersburg - Dinamo Astrakhan,1.31,1
Dinamo Astrakhan - Krasnodar&nbsp;,1.47,1
Kaustik - Voronezh&nbsp;,1.09,1
St. Petersburg - Sungul&nbsp;,1.25,1
