Dijon W - Slavia Prague W,1.09,1
Hypo NO W - Presov W,1.2,1
Kobierzyce W - Jelenia Gora W,1.1,1
Ruch Chorzow W - Piotrkow W,1.19,0
Sala W - Olomouc W,1.08,1
Erdi W - Budaors W,1.03,1
MTK Budapest W - Kecskemet W,1.48,1
Nice W - Dijon W,1.39,1
Zalau W - Bekescsabai W,1.33,1
Erdi W - MTK Budapest W,1.03,1
Kecskemet W - Budaors W,1.45,1
SCM Craiova W - Zalau W,1.14,1
Nantes W - Ostrava W,1.16,1
Erdi W - Kecskemet W,1.03,1
Ferencvaros W - Vaci W,1.1,1
Ramnicu Valcea W - Zalau W,1.09,1
Magura Cisnadiei W - SCM Craiova W,1.3,1
Cluj W - Zalau W,1.45,0
Baia Mare W - SCM Craiova W,1.06,1
Ramnicu Valcea W - Corona Brasov W,1.44,0
Dunarea Braila W - CSM Roman W,1.45,0
Unirea Slobozia W - Dinamo Bucuresti W,1.44,0
Danubius Galati W - CSM Roman W,1.3,1
Dinamo Bucuresti W - CSM Roman W,1.2,1
Corona Brasov W - Magura Cisnadiei W,1.22,0
Dunarea Braila W - Unirea Slobozia W,1.11,1
Zalau W - Cluj W,1.23,1
CSM Roman W - Dunarea Braila W,1.49,1
CSM Roman W - Danubius Galati W,1.26,1
Dunarea Braila W - Danubius Galati W,1.17,0
Ajax Kobenhavn W - H 65 Hoor W,1.25,1
Lugi W - Savehof W,1.45,1
Vaci W - Dunaujvarosi W,1.26,1
Hypo NO W - Siofok KC W,1.26,1
Ferencvaros W - Metzingen W,1.03,1
Metzingen W - Podravka Koprivnica W,1.26,1
Vaci W - Siofok KC W,1.18,1
Kispest W - MTK Budapest W,1.12,1
Vaci W - Gyor W,1.19,0
Ferencvaros W - Dunaujvarosi W,1.14,1
Brest Bretagne W - Slavia Prague W,1.16,1
Dunaujvarosi W - Siofok KC W,1.31,1
Brest Bretagne W - Dijon W,1.45,0
Zamet W - Dunaujvarosi W,1.04,1
Unirea Slobozia W - Dunarea Braila W,1.41,1
SCM Craiova W - Bistrita W,1.19,1
MTK Budapest W - Vasas W,1.15,1
Silkeborg-Voel W - Randers W,1.33,0
Start Elblag W - Gdansk W,1.07,0
Selgros Lublin W - Koszalinska W,1.13,1
Cluj W - Zalau W,1.45,0
Baia Mare W - SCM Craiova W,1.06,1
Ramnicu Valcea W - Corona Brasov W,1.44,0
Dunarea Braila W - CSM Roman W,1.45,0
Unirea Slobozia W - Dinamo Bucuresti W,1.44,0
Danubius Galati W - CSM Roman W,1.3,1
Dinamo Bucuresti W - CSM Roman W,1.2,1
Corona Brasov W - Magura Cisnadiei W,1.22,0
Dunarea Braila W - Unirea Slobozia W,1.11,1
Zalau W - Cluj W,1.23,1
CSM Roman W - Dunarea Braila W,1.49,1
CSM Roman W - Danubius Galati W,1.26,1
Dunarea Braila W - Danubius Galati W,1.17,0
Ajax Kobenhavn W - H 65 Hoor W,1.25,1
Lugi W - Savehof W,1.45,1
Vaci W - Dunaujvarosi W,1.26,1
Hypo NO W - Siofok KC W,1.26,1
Ferencvaros W - Metzingen W,1.03,1
Metzingen W - Podravka Koprivnica W,1.26,1
Vaci W - Siofok KC W,1.18,1
Kispest W - MTK Budapest W,1.12,1
Vaci W - Gyor W,1.19,0
Ferencvaros W - Dunaujvarosi W,1.14,1
Brest Bretagne W - Slavia Prague W,1.16,1
Dunaujvarosi W - Siofok KC W,1.31,1
Brest Bretagne W - Dijon W,1.45,0
Zamet W - Dunaujvarosi W,1.04,1
Unirea Slobozia W - Dunarea Braila W,1.41,1
SCM Craiova W - Bistrita W,1.19,1
MTK Budapest W - Vasas W,1.15,1
Silkeborg-Voel W - Randers W,1.33,0
Start Elblag W - Gdansk W,1.07,0
Selgros Lublin W - Koszalinska W,1.13,1
CSM Bucuresti W - CSM Ploiesti W,1.11,1
HC Vardar SCJS II W - SCM Craiova W,1.1,1
Vardar SCBT W - SCM Craiova W,1.04,1
Savehof W - Heid W,1.01,1
Podravka Koprivnica W - Leipzig W,1.49,1
Rostov W - Savehof W,1.1,1
Vardar SCBT W - Leipzig W,1.07,1
Buducnost W - Rostov W,1.3,0
Gyor W - Erdi W,1.01,1
Silkeborg-Voel W - Randers W,1.4,1
Dunaujvarosi W - Siofok KC W,1.36,1
Baia Mare W - Corona Brasov W,1.19,1
Pogon Szczecin W - Hypo NO W,1.2,1
Buducnost W - Baia Mare W,1.08,0
Hypo NO W - Leverkusen W,1.07,1
Podravka Koprivnica W - Krim W,1.26,1
Michalovce W - Ferencvaros W,1.01,1
Podravka Koprivnica W - Michalovce W,1.4,1
CSM Bucuresti W - Corona Brasov W,1.05,1
Krim W - Ferencvaros W,1.02,1
Arhus W - Kristiansand W,1.25,0
Mosonmagyarovar W - Hypo NO W,1.43,0
NFH Nyk W - H 65 Hoor W,1.17,1
Vistal Gdynia W - Olkusz W,1.07,1
Ferencvaros W - Selgros Lublin W,1.06,1
Dunaujvarosi W - DVSC Korvex W,1.26,1
Dunarea Braila W - Ramnicu Valcea W,1.28,1
Corona Brasov W - Cluj W,1.06,1
Baia Mare W - Podravka Koprivnica W,1.25,1
