France U18 W - Hungary U18 W,1.34,1
Sweden U18 W - Croatia U18 W,1.48,1
Norway U18 W - Denmark U18 W,1.35,1
Hungary U18 W - Croatia U18 W,1.1,1
Croatia U18 W - Denmark U18 W,1.07,1
Sweden U18 W - South Korea U18 W,1.42,1
Hungary U18 W - Norway U18 W,1.35,0
Russia U18 W - France U18 W,1.07,1
Slovakia U18 W - Romania U18 W,1.16,0
Japan U18 W - Argentina U18 W,1.21,1
Chile U18 W - Paraguay U18 W,1.39,1
China U18 W - Kazakhstan U18 W,1.28,0
D.R. Congo U18 W - Uzbekistan U18 W,1.18,1
South Korea U18 W - Slovenia U18 W,1.05,1
Slovakia U18 W - Norway U18 W,1.03,1
Denmark U18 W - Romania U18 W,1.07,0
Russia U18 W - Spain U18 W,1.02,1
France U18 W - Egypt U18 W,1.3,1
Hungary U18 W - Angola U18 W,1.04,1
Japan U18 W - China U18 W,1.13,1
Kazakhstan U18 W - Argentina U18 W,1.43,1
Chile U18 W - D.R. Congo U18 W,1.46,0
Paraguay U18 W - Uzbekistan U18 W,1.18,1
Russia U18 W - Croatia U18 W,1.08,1
Japan U18 W - Germany U18 W,1.2,1
Slovakia U18 W - Egypt U18 W,1.36,0
Hungary U18 W - Brazil U18 W,1.1,1
Romania U18 W - South Korea U18 W,1.25,1
Argentina U18 W - Uzbekistan U18 W,1.04,1
D.R. Congo U18 W - China U18 W,1.48,1
Japan U18 W - Russia U18 W,1.03,1
Sweden U18 W - Hungary U18 W,1.38,1
Croatia U18 W - Angola U18 W,1.17,0
France U18 W - Hungary U18 W,1.34,1
Sweden U18 W - Croatia U18 W,1.48,1
Norway U18 W - Denmark U18 W,1.35,1
Hungary U18 W - Croatia U18 W,1.1,1
Croatia U18 W - Denmark U18 W,1.07,1
Sweden U18 W - South Korea U18 W,1.42,1
Hungary U18 W - Norway U18 W,1.35,0
Russia U18 W - France U18 W,1.07,1
Slovakia U18 W - Romania U18 W,1.16,0
Japan U18 W - Argentina U18 W,1.21,1
Chile U18 W - Paraguay U18 W,1.39,1
China U18 W - Kazakhstan U18 W,1.28,0
D.R. Congo U18 W - Uzbekistan U18 W,1.18,1
South Korea U18 W - Slovenia U18 W,1.05,1
Slovakia U18 W - Norway U18 W,1.03,1
Denmark U18 W - Romania U18 W,1.07,0
Russia U18 W - Spain U18 W,1.02,1
France U18 W - Egypt U18 W,1.3,1
Hungary U18 W - Angola U18 W,1.04,1
Japan U18 W - China U18 W,1.13,1
Kazakhstan U18 W - Argentina U18 W,1.43,1
Chile U18 W - D.R. Congo U18 W,1.46,0
Paraguay U18 W - Uzbekistan U18 W,1.18,1
Russia U18 W - Croatia U18 W,1.08,1
Japan U18 W - Germany U18 W,1.2,1
Slovakia U18 W - Egypt U18 W,1.36,0
Hungary U18 W - Brazil U18 W,1.1,1
Romania U18 W - South Korea U18 W,1.25,1
Argentina U18 W - Uzbekistan U18 W,1.04,1
D.R. Congo U18 W - China U18 W,1.48,1
Japan U18 W - Russia U18 W,1.03,1
Sweden U18 W - Hungary U18 W,1.38,1
Croatia U18 W - Angola U18 W,1.17,0
Netherlands U18 W - South Korea U18 W,1.23,1
Brazil U18 W - Russia U18 W,1.36,0
Croatia U18 W - Sweden U18 W,1.31,1
Argentina U18 W - Portugal U18 W,1.15,1
Hungary U18 W - France U18 W,1.4,1
Germany U18 W - Denmark U18 W,1.3,0
Netherlands U18 W - Brazil U18 W,1.46,0
Croatia U18 W - Argentina U18 W,1.18,1
Sweden U18 W - France U18 W,1.29,1
Portugal U18 W - Japan U18 W,1.36,1
Germany U18 W - South Korea U18 W,1.17,0
Norway U18 W - Argentina U18 W,1.03,0
Brazil U18 W - Montenegro U18 W,1.38,1
Hungary U18 W - Croatia U18 W,1.35,0
Netherlands U18 W - Romania U18 W,1.21,1
