Japan U19 - Chile U19,1.09,1
Georgia U19 - Germany U19,1.01,1
Serbia U19 - Slovenia U19,1.37,1
Iceland U19 - Algeria U19,1.02,1
Spain U19 - Mexico U19,1.01,1
Argentina U19 - Brazil U19,1.36,1
Iceland U19 - Georgia U19,1.02,1
Croatia U19 - Poland U19,1.39,1
France U19 - Egypt U19,1.1,1
Bahrain U19 - Norway U19,1.28,1
Spain U19 - Serbia U19,1.07,1
Germany U19 - Japan U19,1.04,1
Slovenia U19 - Russia U19,1.31,1
Egypt U19 - Sweden U19,1.46,0
Norway U19 - France U19,1.1,1
South Korea U19 - Croatia U19,1.24,0
Bahrain U19 - Denmark U19,1.01,0
Portugal U19 - Argentina U19,1.28,1
Japan U19 - Georgia U19,1.21,1
Chile U19 - Iceland U19,1.02,1
Tunisia U19 - Spain U19,1.12,1
Brazil U19 - South Korea U19,1.42,0
Georgia U19 - Algeria U19,1.37,0
Spain U19 - Russia U19,1.18,1
Slovenia U19 - Tunisia U19,1.09,0
Iceland U19 - Japan U19,1.23,1
Argentina U19 - Poland U19,1.42,1
Denmark U19 - Egypt U19,1.09,0
Croatia U19 - Portugal U19,1.05,0
France U19 - Bahrain U19,1.01,1
Brazil U19 - Denmark U19,1.2,1
France U19 - Spain U19,1.42,1
Sweden U19 - Denmark U19,1.5,0
Brazil U19 - Norway U19,1.28,0
Norway U19 - Slovenia U19,1.39,1
France U19 - Sweden U19,1.44,1
Russia U19 - Serbia U19,1.45,1
Iceland U19 - Brazil U19,1.11,1
Egypt U19 - Tunisia U19,1.31,1
Switzerland U19 - Hungary U19,1.21,0
Germany U19 - Qatar U19,1.27,1
Poland U19 - Japan U19,1.43,1
Chile U19 - Algeria U19,1.06,1
Venezuela U19 - Argentina U19,1.01,1
Denmark U19 - Tunisia U19,1.02,1
Slovenia U19 - Croatia U19,1.18,1
Brazil U19 - Russia U19,1.33,0
Serbia U19 - Spain U19,1.07,1
Norway U19 - Hungary U19,1.39,0
Sweden U19 - Egypt U19,1.23,1
Iceland U19 - South Korea U19,1.07,1
Switzerland U19 - France U19,1.06,1
Poland U19 - Germany U19,1.33,1
Qatar U19 - Japan U19,1.28,1
Algeria U19 - Argentina U19,1.39,0
Chile U19 - Venezuela U19,1.01,0
Brazil U19 - Argentina U19,1.07,1
Japan U19 - Tunisia U19,1.36,1
Denmark U19 - Switzerland U19,1.18,1
Germany U19 - Egypt U19,1.38,0
Algeria U19 - Croatia U19,1.03,1
Serbia U19 - Poland U19,1.48,0
Tunisia U19 - Argentina U19,1.11,1
Brazil U19 - France U19,1.02,1
Brazil U19 - Denmark U19,1.2,1
France U19 - Spain U19,1.42,1
Sweden U19 - Denmark U19,1.5,0
Brazil U19 - Norway U19,1.28,0
Norway U19 - Slovenia U19,1.39,1
France U19 - Sweden U19,1.44,1
Russia U19 - Serbia U19,1.45,1
Iceland U19 - Brazil U19,1.11,1
Egypt U19 - Tunisia U19,1.31,1
Switzerland U19 - Hungary U19,1.21,0
Germany U19 - Qatar U19,1.27,1
Poland U19 - Japan U19,1.43,1
Chile U19 - Algeria U19,1.06,1
