Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
Lausitzer Fuchse (Ger) - Eisbaren Berlin (Ger) ,1.22,1
Winterthur (Sui) - EHC Kloten (Sui) ,1.26,0
Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
Lausitzer Fuchse (Ger) - Eisbaren Berlin (Ger) ,1.22,1
Winterthur (Sui) - EHC Kloten (Sui) ,1.26,0
Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
Lausitzer Fuchse (Ger) - Eisbaren Berlin (Ger) ,1.22,1
Winterthur (Sui) - EHC Kloten (Sui) ,1.26,0
Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
Lausitzer Fuchse (Ger) - Eisbaren Berlin (Ger) ,1.22,1
Winterthur (Sui) - EHC Kloten (Sui) ,1.26,0
Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
Lausitzer Fuchse (Ger) - Eisbaren Berlin (Ger) ,1.22,1
Winterthur (Sui) - EHC Kloten (Sui) ,1.26,0
Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
Lausitzer Fuchse (Ger) - Eisbaren Berlin (Ger) ,1.22,1
Winterthur (Sui) - EHC Kloten (Sui) ,1.26,0
Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
Lausitzer Fuchse (Ger) - Eisbaren Berlin (Ger) ,1.22,1
Winterthur (Sui) - EHC Kloten (Sui) ,1.26,0
Briancon (Fra) - Grenoble (Fra) ,1.39,0
Lyon (Fra) - Klagenfurt (Aut) ,1.33,0
Biasca (Sui) - Freiburg (Ger) ,1.48,0
MAC Budapest (Hun) - Vienna Capitals (Aut) ,1.38,1
Cheboksary (Rus) - Saratov (Rus) ,1.25,1
Kadan (Cze) - Bremerhaven (Ger) ,1.39,1
Frolunda (Swe) - Leksands (Swe) ,1.44,1
Khimik (Rus) - Sp. Moscow (Rus) ,1.42,0
Tractor Chelyabinsk (Rus) - Sibir Novosibirsk (Rus) ,1.37,0
Lada (Rus) - CSK VVS (Rus) ,1.16,1
Tractor Chelyabinsk U18 (Rus) - Stalnye Lisy (Rus) ,1.26,1
