Canada W - Switzerland W,1.01,1
USA W - Sweden W,1.02,1
Russia W - Japan W,1.27,1
Finland W - Germany W,1.32,1
Switzerland W - Russia W,1.46,0
Switzerland W - Finland W,1.34,0
Russia W - Japan W,1.17,1
Germany W - Sweden W,1.38,1
Finland W - Canada W,1.05,1
Russia W - Germany W,1.25,1
Sweden W - Japan W,1.1,1
Canada W - Switzerland W,1.01,1
USA W - Finland W,1.04,1
Germany W - Kazakhstan W,1.13,1
Denmark W - Japan W,1.33,1
Kazakhstan W - China W,1.45,1
Germany W - China W,1.15,1
Slovakia W - Denmark W,1.32,0
Kazakhstan W - Czech Republic W,1.24,1
Canada W - Finland W,1.31,1
USA W - Sweden W,1.31,1
Russia W - Slovakia W,1.27,1
USA W - Finland W,1.05,1
Slovakia W - Switzerland W,1.25,1
Canada W - Sweden W,1.03,1
Finland W - China W,1.01,1
Russia W - USA W,1.01,1
Sweden W - Slovakia W,1.01,1
Switzerland W - Canada W,1.01,1
Finland W - Russia W,1.18,1
USA W - China W,1.01,1
Canada W - Slovakia W,1.01,1
Sweden W - Switzerland W,1.16,1
