Estonia - Netherlands,1.21,1
Great Britain - Netherlands,1.02,1
Croatia - Estonia,1.3,0
Lithuania - Japan,1.31,1
Great Britain - Lithuania,1.45,1
Netherlands - Croatia,1.24,1
Japan - Estonia,1.08,1
Great Britain - Estonia,1.11,1
Lithuania - Netherlands,1.28,1
Japan - Croatia,1.22,1
Croatia - Great Britain,1.32,1
Netherlands - Japan,1.26,1
Estonia - Romania,1.3,1
Croatia - Estonia,1.49,1
Lithuania - Ukraine,1.07,0
Great Britain - Romania,1.01,1
Romania - Croatia,1.26,1
Ukraine - Estonia,1.06,1
Ukraine - Croatia,1.12,1
Great Britain - Estonia,1.11,0
Lithuania - Romania,1.19,1
Croatia - Great Britain,1.4,1
Romania - Ukraine,1.02,1
Netherlands - Estonia,1.41,0
Lithuania - Great Britain,1.36,0
South Korea - Croatia,1.42,1
Great Britain - Netherlands,1.39,1
Croatia - Estonia,1.19,1
Lithuania - South Korea,1.28,1
Croatia - Netherlands,1.23,0
South Korea - Great Britain,1.41,0
South Korea - Netherlands,1.38,1
Croatia - Lithuania,1.44,1
Estonia - Great Britain,1.17,1
Estonia - South Korea,1.18,1
Great Britain - Poland,1.48,0
Netherlands - Romania,1.3,1
Romania - Lithuania,1.11,1
Netherlands - Great Britain,1.44,1
Poland - Croatia,1.36,1
Croatia - Romania,1.06,0
Poland - Netherlands,1.11,1
Poland - Lithuania,1.24,1
Great Britain - Romania,1.01,1
Romania - Poland,1.01,1
Croatia - Great Britain,1.34,0
Netherlands - Romania,1.28,1
Netherlands - Ukraine,1.07,0
Poland - Estonia,1.02,1
Ukraine - Lithuania,1.01,1
Poland - Netherlands,1.13,1
Estonia - Ukraine,1.01,1
Romania - Poland,1.01,1
Lithuania - Netherlands,1.16,1
Ukraine - Romania,1.04,1
Poland - Lithuania,1.07,1
Netherlands - Estonia,1.15,1
South Korea - Poland,1.24,0
Netherlands - Lithuania,1.47,1
Poland - Netherlands,1.08,1
South Korea - Romania,1.22,1
Poland - Romania,1.05,1
South Korea - Lithuania,1.19,1
Netherlands - Australia,1.23,1
Lithuania - Poland,1.22,1
Australia - South Korea,1.23,1
Ukraine - Estonia,1.02,1
Poland - Kazakhstan,1.28,1
Great Britain - Lithuania,1.02,1
Estonia - Great Britain,1.13,1
Kazakhstan - Lithuania,1.01,1
Ukraine - Lithuania,1.05,1
Kazakhstan - Great Britain,1.29,1
Poland - Estonia,1.11,1
Great Britain - Ukraine,1.18,0
Lithuania - Poland,1.26,1
Estonia - Kazakhstan,1.02,1
Croatia - South Korea,1.36,1
Slovenia - South Korea,1.03,1
Great Britain - Hungary,1.29,1
Poland - Croatia,1.03,1
Slovenia - Great Britain,1.21,0
Hungary - Croatia,1.04,1
South Korea - Poland,1.33,1
Slovenia - Croatia,1.05,1
Hungary - Poland,1.47,1
Great Britain - South Korea,1.24,1
Poland - Slovenia,1.25,1
Croatia - Great Britain,1.28,1
South Korea - Hungary,1.03,1
