Japan U18 - Hungary U18,1.3,1
Japan U18 - South Korea U18,1.5,1
Ukraine U18 - Slovenia U18,1.45,0
Slovenia U18 - Japan U18,1.39,0
Italy U18 - Austria U18,1.22,1
Ukraine U18 - Lithuania U18,1.29,1
Slovenia U18 - Italy U18,1.3,1
Austria U18 - Lithuania U18,1.05,1
Lithuania U18 - Japan U18,1.42,0
Slovenia U18 - Lithuania U18,1.16,1
Austria U18 - Ukraine U18,1.26,1
Ukraine U18 - Slovenia U18,1.33,1
Lithuania U18 - Italy U18,1.32,1
Japan U18 - Hungary U18,1.4,1
Poland U18 - Ukraine U18,1.47,1
Hungary U18 - Poland U18,1.25,1
Japan U18 - Ukraine U18,1.31,1
South Korea U18 - Poland U18,1.35,1
Japan U18 - Kazakhstan U18,1.35,1
Austria U18 - Ukraine U18,1.4,1
Kazakhstan U18 - Poland U18,1.1,1
Austria U18 - Japan U18,1.48,0
Kazakhstan U18 - Austria U18,1.3,1
Japan U18 - South Korea U18,1.4,1
Japan U18 - Ukraine U18,1.38,1
Kazakhstan U18 - South Korea U18,1.05,1
Poland U18 - Japan U18,1.45,0
Ukraine U18 - Kazakhstan U18,1.4,1
Hungary U18 - Poland U18,1.35,0
Hungary U18 - Kazakhstan U18,1.42,1
Belarus U18 - Ukraine U18,1.16,1
Belarus U18 - Hungary U18,1.15,1
Ukraine U18 - Poland U18,1.16,0
Kazakhstan U18 - Austria U18,1.38,1
Belarus U18 - Austria U18,1.25,1
Kazakhstan U18 - Poland U18,1.14,1
Poland U18 - Belarus U18,1.12,1
