Canada East U19 - Czech Republic U19,1.49,0
USA U19 - Switzerland U18,1.18,1
Switzerland U18 - Russia U18,1.18,0
USA U18 - Canada East U18,1.36,1
Switzerland U18 - Czech Republic U18,1.41,1
Canada West U18 - Canada East U18,1.5,1
Russia U18 - USA U18,1.42,0
Canada East U18 - Czech Republic U18,1.25,1
USA U18 - Switzerland U18,1.05,1
Switzerland U18 - Russia U18,1.11,1
USA U18 - Canada West U18,1.47,0
Canada East U18 - Switzerland U18,1.16,1
Canada West U18 - Czech Republic U18,1.23,1
Denmark U18 - USA U18,1.46,0
USA U18 - Canada East U18,1.44,1
USA U18 - Canada East U18,1.28,1
Switzerland U18 - USA U18,1.4,1
Czech Republic U18 - Russia U18,1.41,1
