K. Berchem Sport - Cappellen,1.2,1
Tessenderlo - Zwarte Leeuw,1.35,1
Duffel - K. Berchem Sport,1.49,1
K. Berchem Sport - Zwarte Leeuw,1.49,1
Tessenderlo - Woluwe Zaventem,1.19,0
K. Berchem Sport - Woluwe Zaventem,1.43,1
Londerzeel - Tienen,1.44,0
K. Berchem Sport - Cappellen,1.2,1
Tessenderlo - Zwarte Leeuw,1.35,1
Duffel - K. Berchem Sport,1.49,1
K. Berchem Sport - Zwarte Leeuw,1.49,1
Tessenderlo - Woluwe Zaventem,1.19,0
K. Berchem Sport - Woluwe Zaventem,1.43,1
Londerzeel - Tienen,1.44,0
K. Berchem Sport - Cappellen,1.2,1
Tessenderlo - Zwarte Leeuw,1.35,1
Duffel - K. Berchem Sport,1.49,1
K. Berchem Sport - Zwarte Leeuw,1.49,1
Tessenderlo - Woluwe Zaventem,1.19,0
K. Berchem Sport - Woluwe Zaventem,1.43,1
Londerzeel - Tienen,1.44,0
K. Berchem Sport - Cappellen,1.2,1
Tessenderlo - Zwarte Leeuw,1.35,1
Duffel - K. Berchem Sport,1.49,1
K. Berchem Sport - Zwarte Leeuw,1.49,1
Tessenderlo - Woluwe Zaventem,1.19,0
K. Berchem Sport - Woluwe Zaventem,1.43,1
Londerzeel - Tienen,1.44,0
K. Berchem Sport - Cappellen,1.2,1
Tessenderlo - Zwarte Leeuw,1.35,1
Duffel - K. Berchem Sport,1.49,1
K. Berchem Sport - Zwarte Leeuw,1.49,1
Tessenderlo - Woluwe Zaventem,1.19,0
K. Berchem Sport - Woluwe Zaventem,1.43,1
Londerzeel - Tienen,1.44,0
Beerschot Wilrijk - Bocholter,1.35,1
RFC Liege - Walhain,1.15,0
Bocholter - Tienen,1.25,1
Oosterzonen - Overijse,1.25,1
Beerschot Wilrijk - Hamoir,1.43,1
RFC Liege - Woluwe Zaventem,1.4,1
Hamoir - Tienen,1.47,0
Oosterzonen - Cappellen,1.49,0
Wallonne Ciney - Overijse,1.3,0
Beerschot Wilrijk - Bocholter,1.35,1
RFC Liege - Walhain,1.15,0
Bocholter - Tienen,1.25,1
Oosterzonen - Overijse,1.25,1
Beerschot Wilrijk - Hamoir,1.43,1
RFC Liege - Woluwe Zaventem,1.4,1
Hamoir - Tienen,1.47,0
Oosterzonen - Cappellen,1.49,0
Wallonne Ciney - Overijse,1.3,0
Beerschot Wilrijk - Bocholter,1.35,1
RFC Liege - Walhain,1.15,0
Bocholter - Tienen,1.25,1
Oosterzonen - Overijse,1.25,1
Beerschot Wilrijk - Hamoir,1.43,1
RFC Liege - Woluwe Zaventem,1.4,1
Hamoir - Tienen,1.47,0
Oosterzonen - Cappellen,1.49,0
Wallonne Ciney - Overijse,1.3,0
Beerschot Wilrijk - Bocholter,1.35,1
RFC Liege - Walhain,1.15,0
Bocholter - Tienen,1.25,1
Oosterzonen - Overijse,1.25,1
Beerschot Wilrijk - Hamoir,1.43,1
RFC Liege - Woluwe Zaventem,1.4,1
Hamoir - Tienen,1.47,0
Oosterzonen - Cappellen,1.49,0
Wallonne Ciney - Overijse,1.3,0
Beerschot Wilrijk - Bocholter,1.35,1
RFC Liege - Walhain,1.15,0
Bocholter - Tienen,1.25,1
Oosterzonen - Overijse,1.25,1
Beerschot Wilrijk - Hamoir,1.43,1
RFC Liege - Woluwe Zaventem,1.4,1
Hamoir - Tienen,1.47,0
Oosterzonen - Cappellen,1.49,0
Wallonne Ciney - Overijse,1.3,0
Beerschot Wilrijk - Bocholter,1.35,1
RFC Liege - Walhain,1.15,0
Bocholter - Tienen,1.25,1
Oosterzonen - Overijse,1.25,1
Beerschot Wilrijk - Hamoir,1.43,1
RFC Liege - Woluwe Zaventem,1.4,1
Hamoir - Tienen,1.47,0
Oosterzonen - Cappellen,1.49,0
Wallonne Ciney - Overijse,1.3,0
Beerschot Wilrijk - Bocholter,1.35,1
RFC Liege - Walhain,1.15,0
Bocholter - Tienen,1.25,1
Oosterzonen - Overijse,1.25,1
Beerschot Wilrijk - Hamoir,1.43,1
RFC Liege - Woluwe Zaventem,1.4,1
Hamoir - Tienen,1.47,0
Oosterzonen - Cappellen,1.49,0
Wallonne Ciney - Overijse,1.3,0
Cappellen - Hoogstraten,1.38,1
Grimbergen - Cappellen,1.5,0
St. Gilloise - Vervietois,1.15,1
Vise - Sprimont-Comblain,1.3,1
Hoogstraten - K. FC Turnhout,1.2,1
Diegem - K. FC Turnhout,1.25,0
K. Berchem Sport - Vise,1.4,1
Bocholter - Vervietois,1.2,1
Wallonne Ciney - Hoogstraten,1.49,0
Cappellen - Vise,1.1,0
Oosterzonen - K. FC Turnhout,1.15,1
