Royal Toronto - Serbian W. E.,1.3,1
Milton - York Region,1.36,1
Vorkuta - Brantford,1.27,1
Brantford - York Region,1.36,1
Vorkuta - Waterloo,1.29,1
Scarborough B. - Royal Toronto,1.29,1
York Region - Waterloo,1.24,0
Serbian W. E. - Brantford,1.23,1
Royal Toronto - York Region,1.28,1
Milton - Serbian W. E.,1.19,1
York Region - Vorkuta,1.48,0
Serbian W. E. - Royal Toronto,1.22,1
Vorkuta - Royal Toronto,1.46,1
York Region - Milton,1.14,1
York Region - Brantford,1.5,1
York Region - Milton,1.19,1
Serbian W. E. - Atomic,1.39,1
York Region - Brantford,1.27,1
Milton - York Region,1.38,1
York Region - Brantford,1.1,0
York Region - Ukraine United,1.38,1
York Region - Serbian W. E.,1.47,1
Scarborough B. - York Region,1.34,1
Serbian W. E. - Milton,1.35,1
York Region - Ukraine United,1.08,1
Brantford - Serbian W. E.,1.47,1
Serbian W. E. - Hamilton City,1.5,0
Serbian W. E. - Brantford,1.22,1
York Region - Milton,1.19,1
Serbian W. E. - Atomic,1.39,1
York Region - Brantford,1.27,1
Milton - York Region,1.38,1
York Region - Brantford,1.1,0
York Region - Ukraine United,1.38,1
York Region - Serbian W. E.,1.47,1
Scarborough B. - York Region,1.34,1
Serbian W. E. - Milton,1.35,1
York Region - Ukraine United,1.08,1
Brantford - Serbian W. E.,1.47,1
Serbian W. E. - Hamilton City,1.5,0
Serbian W. E. - Brantford,1.22,1
Toronto Croatia - Milton,1.08,1
York Region - Burlington,1.32,1
Serbian W. E. - Hamilton City,1.47,1
Toronto Croatia - Hamilton City,1.24,1
Niagara - York Region,1.23,1
Scarborough B. - Brantford,1.33,0
Serbian W. E. - Milton,1.25,1
Waterloo - Brantford,1.45,1
Burlington - Serbian W. E.,1.41,1
Niagara - Atomic,1.11,1
Scarborough B. - Hamilton City,1.45,1
York Region - Burlington,1.3,1
Serbian W. E. - Scarborough B.,1.2,1
Brampton Utd - Milton,1.15,1
Toronto Croatia - Brantford,1.21,1
Scarborough B. - York Region,1.4,0
York Region - Hamilton City,1.24,0
Toronto Croatia - Waterloo,1.3,0
Milton - Serbian W. E.,1.36,1
Toronto Croatia - Brampton Utd,1.36,0
Toronto Croatia - Milton,1.08,1
York Region - Burlington,1.32,1
Serbian W. E. - Hamilton City,1.47,1
Toronto Croatia - Hamilton City,1.24,1
Niagara - York Region,1.23,1
Scarborough B. - Brantford,1.33,0
Serbian W. E. - Milton,1.25,1
Waterloo - Brantford,1.45,1
Burlington - Serbian W. E.,1.41,1
Niagara - Atomic,1.11,1
Scarborough B. - Hamilton City,1.45,1
York Region - Burlington,1.3,1
Serbian W. E. - Scarborough B.,1.2,1
Brampton Utd - Milton,1.15,1
Toronto Croatia - Brantford,1.21,1
Scarborough B. - York Region,1.4,0
York Region - Hamilton City,1.24,0
Toronto Croatia - Waterloo,1.3,0
Milton - Serbian W. E.,1.36,1
Toronto Croatia - Brampton Utd,1.36,0
Toronto Croatia - Milton,1.08,1
York Region - Burlington,1.32,1
Serbian W. E. - Hamilton City,1.47,1
Toronto Croatia - Hamilton City,1.24,1
Niagara - York Region,1.23,1
Scarborough B. - Brantford,1.33,0
Serbian W. E. - Milton,1.25,1
Waterloo - Brantford,1.45,1
Burlington - Serbian W. E.,1.41,1
Niagara - Atomic,1.11,1
Scarborough B. - Hamilton City,1.45,1
York Region - Burlington,1.3,1
Serbian W. E. - Scarborough B.,1.2,1
Brampton Utd - Milton,1.15,1
Toronto Croatia - Brantford,1.21,1
Scarborough B. - York Region,1.4,0
York Region - Hamilton City,1.24,0
Toronto Croatia - Waterloo,1.3,0
Milton - Serbian W. E.,1.36,1
Toronto Croatia - Brampton Utd,1.36,0
York Region - North York Astros,1.37,1
York Region - Brampton Utd,1.22,1
York Region - Toronto Croatia,1.49,1
North York Astros - Niagara,1.21,0
Serbian W. E. - Niagara,1.32,1
Burlington - Niagara,1.37,1
Hamilton City - Serbian W. E.,1.48,0
Burlington - York Region,1.32,1
Niagara - York Region,1.26,1
Kingston - Hamilton City,1.38,0
Burlington - Kingston,1.38,1
York Region - Waterloo,1.24,1
Niagara - Toronto Croatia,1.4,1
North York Astros - Burlington,1.26,1
Toronto Croatia - Niagara,1.34,1
Hamilton City - Kingston,1.46,0
Burlington - Hamilton City,1.45,0
York Region - North York Astros,1.37,1
York Region - Brampton Utd,1.22,1
York Region - Toronto Croatia,1.49,1
North York Astros - Niagara,1.21,0
Serbian W. E. - Niagara,1.32,1
Burlington - Niagara,1.37,1
Hamilton City - Serbian W. E.,1.48,0
Burlington - York Region,1.32,1
Niagara - York Region,1.26,1
Kingston - Hamilton City,1.38,0
Burlington - Kingston,1.38,1
York Region - Waterloo,1.24,1
Niagara - Toronto Croatia,1.4,1
North York Astros - Burlington,1.26,1
Toronto Croatia - Niagara,1.34,1
Hamilton City - Kingston,1.46,0
Burlington - Hamilton City,1.45,0
Kingston - Hamilton City,1.47,1
Kingston - Serbian W. E.,1.3,0
Toronto Croatia - Windsor Border Stars,1.28,0
York Region - Hamilton City,1.43,0
Waterloo - St. Catharines,1.4,1
Burlington - Kingston,1.29,1
Toronto Croatia - Burlington,1.18,1
North York Astros - Brampton Utd,1.49,0
Windsor Border Stars - St. Catharines,1.46,1
Serbian W. E. - Kingston,1.33,0
Serbian W. E. - Burlington,1.47,1
St. Catharines - York Region,1.34,1
Waterloo - Kingston,1.39,1
York Region - Niagara,1.16,1
Serbian W. E. - Toronto Croatia,1.38,0
Toronto Croatia - Windsor Border Stars,1.34,1
Brampton Utd - North York Astros,1.2,0
Windsor Border Stars - Niagara,1.26,1
Hamilton City - Kingston,1.4,1
Burlington - Brampton Utd,1.49,1
York Region - Hamilton City,1.28,1
Kingston - Hamilton City,1.47,1
Kingston - Serbian W. E.,1.3,0
