Misr Elmaqasah - Nasr Taadeen,1.42,1
Al Ahly - Enppi,1.47,0
Misr Elmaqasah - Nasr Taadeen,1.42,1
Al Ahly - Enppi,1.47,0
Misr Elmaqasah - Nasr Taadeen,1.42,1
Al Ahly - Enppi,1.47,0
Misr Elmaqasah - Nasr Taadeen,1.42,1
Al Ahly - Enppi,1.47,0
Misr Elmaqasah - Nasr Taadeen,1.42,1
Al Ahly - Enppi,1.47,0
Misr Elmaqasah - Nasr Taadeen,1.42,1
Al Ahly - Enppi,1.47,0
Misr Elmaqasah - Nasr Taadeen,1.42,1
Al Ahly - Enppi,1.47,0
Ghazl El Mahallah - El Masry,1.29,0
El Ismaily - Aswan SC,1.42,1
Al Ahly - Al Ittihad,1.37,0
El Masry - El Gaish,1.5,0
Al Ahly - El Masry,1.46,0
El-Shorta - Zamalek,1.39,1
Al Ahly - El Daklyeh,1.24,1
Misr Elmaqasah - Ghazl El Mahallah,1.41,1
Petrojet - Haras El Hodood,1.5,0
Zamalek - Enppi,1.43,1
Arab Contractors - Al Ahly,1.46,1
Ghazl El Mahallah - El Masry,1.29,0
El Ismaily - Aswan SC,1.42,1
Al Ahly - Al Ittihad,1.37,0
El Masry - El Gaish,1.5,0
Al Ahly - El Masry,1.46,0
El-Shorta - Zamalek,1.39,1
Al Ahly - El Daklyeh,1.24,1
Misr Elmaqasah - Ghazl El Mahallah,1.41,1
Petrojet - Haras El Hodood,1.5,0
Zamalek - Enppi,1.43,1
Arab Contractors - Al Ahly,1.46,1
Ghazl El Mahallah - El Masry,1.29,0
El Ismaily - Aswan SC,1.42,1
Al Ahly - Al Ittihad,1.37,0
El Masry - El Gaish,1.5,0
Al Ahly - El Masry,1.46,0
El-Shorta - Zamalek,1.39,1
Al Ahly - El Daklyeh,1.24,1
Misr Elmaqasah - Ghazl El Mahallah,1.41,1
Petrojet - Haras El Hodood,1.5,0
Zamalek - Enppi,1.43,1
Arab Contractors - Al Ahly,1.46,1
Ghazl El Mahallah - El Masry,1.29,0
El Ismaily - Aswan SC,1.42,1
Al Ahly - Al Ittihad,1.37,0
El Masry - El Gaish,1.5,0
Al Ahly - El Masry,1.46,0
El-Shorta - Zamalek,1.39,1
Al Ahly - El Daklyeh,1.24,1
Misr Elmaqasah - Ghazl El Mahallah,1.41,1
Petrojet - Haras El Hodood,1.5,0
Zamalek - Enppi,1.43,1
Arab Contractors - Al Ahly,1.46,1
Ghazl El Mahallah - El Masry,1.29,0
El Ismaily - Aswan SC,1.42,1
Al Ahly - Al Ittihad,1.37,0
El Masry - El Gaish,1.5,0
Al Ahly - El Masry,1.46,0
El-Shorta - Zamalek,1.39,1
Al Ahly - El Daklyeh,1.24,1
Misr Elmaqasah - Ghazl El Mahallah,1.41,1
Petrojet - Haras El Hodood,1.5,0
Zamalek - Enppi,1.43,1
Arab Contractors - Al Ahly,1.46,1
Ghazl El Mahallah - El Masry,1.29,0
El Ismaily - Aswan SC,1.42,1
Al Ahly - Al Ittihad,1.37,0
El Masry - El Gaish,1.5,0
Al Ahly - El Masry,1.46,0
El-Shorta - Zamalek,1.39,1
Al Ahly - El Daklyeh,1.24,1
Misr Elmaqasah - Ghazl El Mahallah,1.41,1
Petrojet - Haras El Hodood,1.5,0
Zamalek - Enppi,1.43,1
Arab Contractors - Al Ahly,1.46,1
Ghazl El Mahallah - El Masry,1.29,0
El Ismaily - Aswan SC,1.42,1
Al Ahly - Al Ittihad,1.37,0
El Masry - El Gaish,1.5,0
Al Ahly - El Masry,1.46,0
El-Shorta - Zamalek,1.39,1
Al Ahly - El Daklyeh,1.24,1
Misr Elmaqasah - Ghazl El Mahallah,1.41,1
Petrojet - Haras El Hodood,1.5,0
Zamalek - Enppi,1.43,1
Arab Contractors - Al Ahly,1.46,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - Smouha,1.34,0
Al Nasr - Zamalek,1.25,1
El Daklyeh - Alaab Damanhour,1.24,1
Smouha - Alassiouty,1.25,1
Al Ahly - Wadi Degla,1.37,1
El Gaish - Alassiouty,1.33,0
Zamalek - Arab Contractors,1.41,1
Al Ahly - El Gounah,1.4,0
Petrojet - Zamalek,1.42,0
Zamalek - Alaab Damanhour,1.25,1
Al Ahly - El Gounah,1.48,1
Zamalek - Wadi Degla,1.49,0
Al Ahly - El Gounah,1.48,1
Zamalek - Wadi Degla,1.49,0
Al Ahly - El Gounah,1.48,1
Zamalek - Wadi Degla,1.49,0
Al Ahly - El Gounah,1.48,1
Zamalek - Wadi Degla,1.49,0
Al Ahly - El Gounah,1.48,1
Zamalek - Wadi Degla,1.49,0
Al Ahly - El Gounah,1.39,1
Ghazl El Mahallah - Al Ahly,1.4,1
Al Ittihad - Zamalek,1.49,0
Zamalek - El-Entag El-Harby,1.28,1
Al Ahly - El Gounah,1.39,1
Ghazl El Mahallah - Al Ahly,1.4,1
Al Ittihad - Zamalek,1.49,0
Zamalek - El-Entag El-Harby,1.28,1
Al Ahly - El Gounah,1.39,1
Ghazl El Mahallah - Al Ahly,1.4,1
Al Ittihad - Zamalek,1.49,0
Zamalek - El-Entag El-Harby,1.28,1
Al Ahly - Arab Contractors,1.28,1
Zamalek - El Daklyeh,1.14,1
Haras El Hodood - El Gounah,1.49,1
Al Ahly - Smouha,1.28,1
Misr Elmaqasah - El-Entag El-Harby,1.38,1
El-Entag El-Harby - Al Ahly,1.27,0
Al Ahly - El Gaish,1.34,1
El Ismaily - El-Entag El-Harby,1.38,1
Al Ahly - Arab Contractors,1.28,1
Zamalek - El Daklyeh,1.14,1
Haras El Hodood - El Gounah,1.49,1
Al Ahly - Smouha,1.28,1
Misr Elmaqasah - El-Entag El-Harby,1.38,1
El-Entag El-Harby - Al Ahly,1.27,0
Al Ahly - El Gaish,1.34,1
El Ismaily - El-Entag El-Harby,1.38,1
Al Ahly - Arab Contractors,1.28,1
Zamalek - El Daklyeh,1.14,1
Haras El Hodood - El Gounah,1.49,1
Al Ahly - Smouha,1.28,1
Misr Elmaqasah - El-Entag El-Harby,1.38,1
El-Entag El-Harby - Al Ahly,1.27,0
Al Ahly - El Gaish,1.34,1
El Ismaily - El-Entag El-Harby,1.38,1
Al Ahly - Arab Contractors,1.28,1
Zamalek - El Daklyeh,1.14,1
Haras El Hodood - El Gounah,1.49,1
Al Ahly - Smouha,1.28,1
Misr Elmaqasah - El-Entag El-Harby,1.38,1
