Sligo Rovers - Crusaders&nbsp;,1.16,1
St. Patricks - Ballinamallard&nbsp;,1.14,1
Ballinamallard - St. Patricks&nbsp;,1.22,1
Dundalk - Coleraine&nbsp;,1.31,0
Shamrock Rovers - Glentoran&nbsp;,1.26,1
Sligo Rovers - Glentoran&nbsp;,1.33,1
Shamrock Rovers - Coleraine&nbsp;,1.35,0
St. Patricks - Glentoran&nbsp;,1.5,0
Sligo Rovers - Crusaders&nbsp;,1.26,1
Shamrock Rovers - Cliftonville&nbsp;,1.34,1
Sligo Rovers - Glentoran&nbsp;,1.46,1
Derry City - Lisburn&nbsp;,1.2,1
Dundalk - Cliftonville&nbsp;,1.43,1
Sligo Rovers - Portadown&nbsp;,1.44,1
Shamrock Rovers - Lisburn&nbsp;,1.23,1
St. Patricks - Cliftonville&nbsp;,1.49,1
