Haka - GrIFK,1.45,1
Honka - OPS,1.15,1
Gnistan - TPS,1.42,0
TPS - OPS,1.23,1
Honka - GrIFK,1.13,1
Haka - Gnistan,1.38,1
TPS - GrIFK,1.2,1
Honka - Gnistan,1.15,1
Jaro - Ekenas,1.42,0
Jaro - OPS,1.43,1
KPV Kokkola - OPS,1.39,1
TPS - Ekenas,1.49,1
Haka - GrIFK,1.45,1
Honka - OPS,1.15,1
Gnistan - TPS,1.42,0
TPS - OPS,1.23,1
Honka - GrIFK,1.13,1
Haka - Gnistan,1.38,1
TPS - GrIFK,1.2,1
Honka - Gnistan,1.15,1
Jaro - Ekenas,1.42,0
Jaro - OPS,1.43,1
KPV Kokkola - OPS,1.39,1
TPS - Ekenas,1.49,1
Jaro - GrIFK,1.27,0
JJK Jyvaskyla - AC Oulu,1.42,1
TPS - Ekenas,1.22,1
GrIFK - Jazz Pori,1.44,1
Jaro - KTP,1.48,1
JJK Jyvaskyla - KPV Kokkola,1.5,0
TPS - Jazz Pori,1.39,1
AC Oulu - Jazz Pori,1.42,0
JJK Jyvaskyla - Ekenas,1.32,0
Jaro - Jazz Pori,1.39,1
AC Oulu - GrIFK,1.5,1
Jaro - GrIFK,1.27,0
JJK Jyvaskyla - AC Oulu,1.42,1
TPS - Ekenas,1.22,1
GrIFK - Jazz Pori,1.44,1
Jaro - KTP,1.48,1
JJK Jyvaskyla - KPV Kokkola,1.5,0
TPS - Jazz Pori,1.39,1
AC Oulu - Jazz Pori,1.42,0
JJK Jyvaskyla - Ekenas,1.32,0
Jaro - Jazz Pori,1.39,1
AC Oulu - GrIFK,1.5,1
Jaro - GrIFK,1.27,0
JJK Jyvaskyla - AC Oulu,1.42,1
TPS - Ekenas,1.22,1
GrIFK - Jazz Pori,1.44,1
Jaro - KTP,1.48,1
JJK Jyvaskyla - KPV Kokkola,1.5,0
TPS - Jazz Pori,1.39,1
AC Oulu - Jazz Pori,1.42,0
JJK Jyvaskyla - Ekenas,1.32,0
Jaro - Jazz Pori,1.39,1
AC Oulu - GrIFK,1.5,1
Haka - VIFK,1.26,1
PS Kemi - Jazz Pori,1.39,1
PK-35 Vantaa - Ekenas,1.25,0
TPS - VIFK,1.17,1
Haka - Mikkeli,1.39,1
JJK Jyvaskyla - VIFK,1.27,1
AC Oulu - VIFK,1.31,1
TPS - Mikkeli,1.31,1
Haka - Ekenas,1.5,0
PK-35 Vantaa - VIFK,1.19,1
JJK Jyvaskyla - Mikkeli,1.4,1
TPS - Jazz Pori,1.44,0
Haka - VIFK,1.26,1
PS Kemi - Jazz Pori,1.39,1
PK-35 Vantaa - Ekenas,1.25,0
TPS - VIFK,1.17,1
Haka - Mikkeli,1.39,1
JJK Jyvaskyla - VIFK,1.27,1
AC Oulu - VIFK,1.31,1
TPS - Mikkeli,1.31,1
Haka - Ekenas,1.5,0
PK-35 Vantaa - VIFK,1.19,1
JJK Jyvaskyla - Mikkeli,1.4,1
TPS - Jazz Pori,1.44,0
Haka - VIFK,1.26,1
PS Kemi - Jazz Pori,1.39,1
PK-35 Vantaa - Ekenas,1.25,0
TPS - VIFK,1.17,1
Haka - Mikkeli,1.39,1
JJK Jyvaskyla - VIFK,1.27,1
AC Oulu - VIFK,1.31,1
TPS - Mikkeli,1.31,1
Haka - Ekenas,1.5,0
PK-35 Vantaa - VIFK,1.19,1
JJK Jyvaskyla - Mikkeli,1.4,1
TPS - Jazz Pori,1.44,0
HIFK - Jazz Pori,1.23,1
Ilves - Viikingit,1.1,1
KTP - JIPPO,1.12,0
JIPPO - Haka,1.35,0
Viikingit - HIFK,1.16,1
JJK Jyvaskyla - JIPPO,1.45,1
AC Oulu - Viikingit,1.17,1
KTP - JJK Jyvaskyla,1.21,0
Viikingit - Haka,1.2,1
PK-35 Vantaa - Viikingit,1.13,1
Haka - Viikingit,1.09,1
Ilves - JIPPO,1.33,1
PK-35 Vantaa - JIPPO,1.32,1
Viikingit - KTP,1.18,1
Haka - AC Oulu,1.46,0
JJK Jyvaskyla - Viikingit,1.32,1
AC Oulu - Jazz Pori,1.35,0
Haka - JJK Jyvaskyla,1.48,0
HIFK - Jazz Pori,1.23,1
Ilves - Viikingit,1.1,1
KTP - JIPPO,1.12,0
JIPPO - Haka,1.35,0
Viikingit - HIFK,1.16,1
JJK Jyvaskyla - JIPPO,1.45,1
AC Oulu - Viikingit,1.17,1
KTP - JJK Jyvaskyla,1.21,0
Viikingit - Haka,1.2,1
PK-35 Vantaa - Viikingit,1.13,1
Haka - Viikingit,1.09,1
Ilves - JIPPO,1.33,1
PK-35 Vantaa - JIPPO,1.32,1
Viikingit - KTP,1.18,1
Haka - AC Oulu,1.46,0
JJK Jyvaskyla - Viikingit,1.32,1
AC Oulu - Jazz Pori,1.35,0
Haka - JJK Jyvaskyla,1.48,0
HIFK - Jazz Pori,1.23,1
Ilves - Viikingit,1.1,1
KTP - JIPPO,1.12,0
JIPPO - Haka,1.35,0
Viikingit - HIFK,1.16,1
JJK Jyvaskyla - JIPPO,1.45,1
AC Oulu - Viikingit,1.17,1
KTP - JJK Jyvaskyla,1.21,0
Viikingit - Haka,1.2,1
PK-35 Vantaa - Viikingit,1.13,1
Haka - Viikingit,1.09,1
Ilves - JIPPO,1.33,1
PK-35 Vantaa - JIPPO,1.32,1
Viikingit - KTP,1.18,1
Haka - AC Oulu,1.46,0
JJK Jyvaskyla - Viikingit,1.32,1
AC Oulu - Jazz Pori,1.35,0
Haka - JJK Jyvaskyla,1.48,0
Haka - PK-35 Vantaa,1.44,1
SJK - OPS,1.22,1
KooTeePee - AC Kajaani,1.36,1
Haka - Ilves,1.44,0
SJK - AC Oulu,1.29,1
Ilves - AC Kajaani,1.31,0
Haka - OPS,1.22,1
SJK - AC Kajaani,1.18,1
AC Kajaani - Haka,1.37,1
KooTeePee - JIPPO,1.46,0
SJK - PK-35 Vantaa,1.39,1
Ilves - AC Kajaani,1.31,1
Haka - AC Oulu,1.5,1
Haka - PK-35 Vantaa,1.44,1
SJK - OPS,1.22,1
KooTeePee - AC Kajaani,1.36,1
Haka - Ilves,1.44,0
SJK - AC Oulu,1.29,1
Ilves - AC Kajaani,1.31,0
Haka - OPS,1.22,1
SJK - AC Kajaani,1.18,1
AC Kajaani - Haka,1.37,1
KooTeePee - JIPPO,1.46,0
SJK - PK-35 Vantaa,1.39,1
Ilves - AC Kajaani,1.31,1
Haka - AC Oulu,1.5,1
Haka - PK-35 Vantaa,1.44,1
SJK - OPS,1.22,1
KooTeePee - AC Kajaani,1.36,1
Haka - Ilves,1.44,0
SJK - AC Oulu,1.29,1
Ilves - AC Kajaani,1.31,0
Haka - OPS,1.22,1
SJK - AC Kajaani,1.18,1
AC Kajaani - Haka,1.37,1
KooTeePee - JIPPO,1.46,0
SJK - PK-35 Vantaa,1.39,1
Ilves - AC Kajaani,1.31,1
Haka - AC Oulu,1.5,1
OPS - Hameenlinna,1.45,1
PK-35 Vantaa - JIPPO,1.28,1
Rovaniemi - HIFK,1.33,0
Rovaniemi - KooTeePee,1.35,1
Hameenlinna - Rovaniemi,1.38,1
SJK - HIFK,1.26,1
Rovaniemi - AC Oulu,1.49,1
PK-35 Vantaa - Hameenlinna,1.47,1
OPS - Hameenlinna,1.45,1
PK-35 Vantaa - JIPPO,1.28,1
Rovaniemi - HIFK,1.33,0
Rovaniemi - KooTeePee,1.35,1
Hameenlinna - Rovaniemi,1.38,1
SJK - HIFK,1.26,1
Rovaniemi - AC Oulu,1.49,1
PK-35 Vantaa - Hameenlinna,1.47,1
OPS - Hameenlinna,1.45,1
PK-35 Vantaa - JIPPO,1.28,1
Rovaniemi - HIFK,1.33,0
Rovaniemi - KooTeePee,1.35,1
Hameenlinna - Rovaniemi,1.38,1
SJK - HIFK,1.26,1
Rovaniemi - AC Oulu,1.49,1
PK-35 Vantaa - Hameenlinna,1.47,1
AC Oulu - PS Kemi,1.18,1
Espoo - Viikingit,1.36,0
KooTeePee - PoPa,1.38,1
Hameenlinna - Lahti,1.29,1
OPS - HIFK,1.28,1
Lahti - KooTeePee,1.36,1
PK-35 Vantaa - KPV Kokkola,1.17,1
OPS - PoPa,1.26,1
Viikingit - PS Kemi,1.31,1
Lahti - JIPPO,1.3,1
PK-35 Vantaa - Espoo,1.11,1
AC Oulu - Espoo,1.12,1
KooTeePee - Espoo,1.24,1
AC Oulu - Hameenlinna,1.41,0
PS Kemi - Lahti,1.46,1
Viikingit - KPV Kokkola,1.29,1
Lahti - PoPa,1.25,1
AC Oulu - PS Kemi,1.18,1
Espoo - Viikingit,1.36,0
KooTeePee - PoPa,1.38,1
Hameenlinna - Lahti,1.29,1
OPS - HIFK,1.28,1
Lahti - KooTeePee,1.36,1
PK-35 Vantaa - KPV Kokkola,1.17,1
OPS - PoPa,1.26,1
Viikingit - PS Kemi,1.31,1
Lahti - JIPPO,1.3,1
PK-35 Vantaa - Espoo,1.11,1
AC Oulu - Espoo,1.12,1
KooTeePee - Espoo,1.24,1
AC Oulu - Hameenlinna,1.41,0
PS Kemi - Lahti,1.46,1
Viikingit - KPV Kokkola,1.29,1
Lahti - PoPa,1.25,1
AC Oulu - PS Kemi,1.18,1
Espoo - Viikingit,1.36,0
KooTeePee - PoPa,1.38,1
Hameenlinna - Lahti,1.29,1
OPS - HIFK,1.28,1
Lahti - KooTeePee,1.36,1
PK-35 Vantaa - KPV Kokkola,1.17,1
OPS - PoPa,1.26,1
Viikingit - PS Kemi,1.31,1
Lahti - JIPPO,1.3,1
PK-35 Vantaa - Espoo,1.11,1
AC Oulu - Espoo,1.12,1
KooTeePee - Espoo,1.24,1
AC Oulu - Hameenlinna,1.41,0
PS Kemi - Lahti,1.46,1
Viikingit - KPV Kokkola,1.29,1
Lahti - PoPa,1.25,1
