Shkupi - Novaci&nbsp;,1.24,1
Vardar - Sileks,1.26,0
Pobeda - Makedonija GP,1.16,1
Shkupi - Bregalnica Stip,1.37,1
Vardar - Renova,1.3,1
Makedonija GP - Shkendija,1.34,1
Pelister - Shkupi,1.36,1
Pelister - Renova,1.48,1
Shkendija - Bregalnica Stip,1.1,1
Vardar - Makedonija GP,1.07,1
Bregalnica Stip - Vardar,1.34,0
Renova - Shkupi,1.15,1
Pelister - Makedonija GP,1.34,1
Shkupi - Shkendija,1.47,0
Vardar - Pobeda,1.2,1
Shkupi - Vardar,1.46,1
Rabotnicki - Makedonija GP,1.24,0
Sileks - Vardar,1.39,1
Shkupi - Novaci&nbsp;,1.24,1
Vardar - Sileks,1.26,0
Pobeda - Makedonija GP,1.16,1
Shkupi - Bregalnica Stip,1.37,1
Vardar - Renova,1.3,1
Makedonija GP - Shkendija,1.34,1
Pelister - Shkupi,1.36,1
Pelister - Renova,1.48,1
Shkendija - Bregalnica Stip,1.1,1
Vardar - Makedonija GP,1.07,1
Bregalnica Stip - Vardar,1.34,0
Renova - Shkupi,1.15,1
Pelister - Makedonija GP,1.34,1
Shkupi - Shkendija,1.47,0
Vardar - Pobeda,1.2,1
Shkupi - Vardar,1.46,1
Rabotnicki - Makedonija GP,1.24,0
Sileks - Vardar,1.39,1
Shkupi - Novaci&nbsp;,1.24,1
Vardar - Sileks,1.26,0
Pobeda - Makedonija GP,1.16,1
Shkupi - Bregalnica Stip,1.37,1
Vardar - Renova,1.3,1
Makedonija GP - Shkendija,1.34,1
Pelister - Shkupi,1.36,1
Pelister - Renova,1.48,1
Shkendija - Bregalnica Stip,1.1,1
Vardar - Makedonija GP,1.07,1
Bregalnica Stip - Vardar,1.34,0
Renova - Shkupi,1.15,1
Pelister - Makedonija GP,1.34,1
Shkupi - Shkendija,1.47,0
Vardar - Pobeda,1.2,1
Shkupi - Vardar,1.46,1
Rabotnicki - Makedonija GP,1.24,0
Sileks - Vardar,1.39,1
Shkupi - Novaci&nbsp;,1.24,1
Vardar - Sileks,1.26,0
Pobeda - Makedonija GP,1.16,1
Shkupi - Bregalnica Stip,1.37,1
Vardar - Renova,1.3,1
Makedonija GP - Shkendija,1.34,1
Pelister - Shkupi,1.36,1
Pelister - Renova,1.48,1
Shkendija - Bregalnica Stip,1.1,1
Vardar - Makedonija GP,1.07,1
Bregalnica Stip - Vardar,1.34,0
Renova - Shkupi,1.15,1
Pelister - Makedonija GP,1.34,1
Shkupi - Shkendija,1.47,0
Vardar - Pobeda,1.2,1
Shkupi - Vardar,1.46,1
Rabotnicki - Makedonija GP,1.24,0
Sileks - Vardar,1.39,1
Carev Dvor - Renova,1.29,1
Turnovo - Met. Skopje,1.15,1
Bregalnica Stip - Rabotnicki,1.43,0
Shkendija - Sileks,1.13,1
Vardar - Shkupi,1.12,1
Met. Skopje - Renova,1.5,1
Carev Dvor - Turnovo,1.35,1
Shkendija - Bregalnica Stip,1.22,1
Shkupi - Rabotnicki,1.47,1
Sileks - Vardar,1.36,1
Bregalnica Stip - Rabotnicki,1.41,1
Renova - Met. Skopje,1.4,1
Shkendija - Renova,1.26,1
Vardar - Rabotnicki,1.5,1
Bregalnica Stip - Met. Skopje,1.16,1
Renova - Carev Dvor,1.08,1
Shkendija - Sileks,1.18,1
Shkupi - Vardar,1.46,1
Shkendija - Shkupi,1.19,1
Turnovo - Carev Dvor,1.4,1
Vardar - Met. Skopje,1.08,1
Carev Dvor - Renova,1.29,1
Turnovo - Met. Skopje,1.15,1
Bregalnica Stip - Rabotnicki,1.43,0
Shkendija - Sileks,1.13,1
Vardar - Shkupi,1.12,1
Met. Skopje - Renova,1.5,1
Carev Dvor - Turnovo,1.35,1
Shkendija - Bregalnica Stip,1.22,1
Shkupi - Rabotnicki,1.47,1
Sileks - Vardar,1.36,1
Bregalnica Stip - Rabotnicki,1.41,1
Renova - Met. Skopje,1.4,1
Shkendija - Renova,1.26,1
Vardar - Rabotnicki,1.5,1
Bregalnica Stip - Met. Skopje,1.16,1
Renova - Carev Dvor,1.08,1
Shkendija - Sileks,1.18,1
Shkupi - Vardar,1.46,1
Shkendija - Shkupi,1.19,1
Turnovo - Carev Dvor,1.4,1
Vardar - Met. Skopje,1.08,1
Carev Dvor - Renova,1.29,1
Turnovo - Met. Skopje,1.15,1
Bregalnica Stip - Rabotnicki,1.43,0
Shkendija - Sileks,1.13,1
Vardar - Shkupi,1.12,1
Met. Skopje - Renova,1.5,1
Carev Dvor - Turnovo,1.35,1
Shkendija - Bregalnica Stip,1.22,1
Shkupi - Rabotnicki,1.47,1
Sileks - Vardar,1.36,1
Bregalnica Stip - Rabotnicki,1.41,1
Renova - Met. Skopje,1.4,1
Shkendija - Renova,1.26,1
Vardar - Rabotnicki,1.5,1
Bregalnica Stip - Met. Skopje,1.16,1
Renova - Carev Dvor,1.08,1
Shkendija - Sileks,1.18,1
Shkupi - Vardar,1.46,1
Shkendija - Shkupi,1.19,1
Turnovo - Carev Dvor,1.4,1
Vardar - Met. Skopje,1.08,1
Carev Dvor - Renova,1.29,1
Turnovo - Met. Skopje,1.15,1
Bregalnica Stip - Rabotnicki,1.43,0
Shkendija - Sileks,1.13,1
Vardar - Shkupi,1.12,1
Met. Skopje - Renova,1.5,1
Carev Dvor - Turnovo,1.35,1
Shkendija - Bregalnica Stip,1.22,1
Shkupi - Rabotnicki,1.47,1
Sileks - Vardar,1.36,1
Bregalnica Stip - Rabotnicki,1.41,1
Renova - Met. Skopje,1.4,1
Shkendija - Renova,1.26,1
Vardar - Rabotnicki,1.5,1
Bregalnica Stip - Met. Skopje,1.16,1
Renova - Carev Dvor,1.08,1
Shkendija - Sileks,1.18,1
Shkupi - Vardar,1.46,1
Shkendija - Shkupi,1.19,1
Turnovo - Carev Dvor,1.4,1
Vardar - Met. Skopje,1.08,1
Turnovo - KF Gostivar&nbsp;,1.5,0
Bregalnica Stip - Pelister,1.16,1
Shkendija - Met. Skopje,1.46,1
Sileks - Vardar,1.32,0
Pelister - Teteks,1.5,0
Met. Skopje - Sileks,1.23,0
Vardar - Renova,1.21,1
Teteks - Bregalnica Stip,1.29,1
Rabotnicki - Met. Skopje,1.23,1
Renova - Sileks,1.32,0
Turnovo - Teteks,1.27,1
Sileks - Shkendija,1.17,1
