Samgurali - Dinamo Tbilisi,1.34,1
Rustavi - Zugdidi,1.22,1
Dinamo Tbilisi - Torpedo Kutaisi,1.44,0
Dinamo Tbilisi - Lokomotiv Tbilisi,1.13,1
Dinamo Tbilisi - Chikhura&nbsp;,1.43,1
Dinamo Tbilisi - Torpedo Kutaisi&nbsp;,1.21,1
Poti - Dinamo Tbilisi&nbsp;,1.5,1
Dila Gori - Zugdidi&nbsp;,1.18,0
Dinamo Tbilisi - Poti&nbsp;,1.25,1
Sapovnela Terjola - Chikhura&nbsp;,1.5,1
Chikhura - FC Ozurgeti&nbsp;,1.23,1
Saburtalo Tbilisi - WIT Georgia&nbsp;,1.28,0
Dinamo Tbilisi - Samtredia,1.45,1
Dinamo Tbilisi - Tskhinvali&nbsp;,1.3,1
Dinamo Tbilisi - Shukura&nbsp;,1.17,1
Rustavi - Zugdidi&nbsp;,1.39,1
Shukura - Dinamo Tbilisi&nbsp;,1.5,0
Dinamo Tbilisi - Dila Gori&nbsp;,1.19,1
Dinamo Tbilisi - Rustavi&nbsp;,1.25,1
Dinamo Tbilisi - Chikhura,1.37,1
Dinamo Tbilisi - Rustavi&nbsp;,1.18,1
Chikhura - Bolnisi&nbsp;,1.35,1
Torpedo Kutaisi - Bolnisi&nbsp;,1.33,1
Poti - Dinamo Tbilisi&nbsp;,1.14,1
Dinamo Batumi - Chkherimela&nbsp;,1.36,1
Lokomotiv Tbilisi - WIT Georgia&nbsp;,1.5,1
Merani Martvili - Samtredia&nbsp;,1.33,0
Bolnisi - Aieti Sokhumi&nbsp;,1.12,0
Dila Gori - Gagra&nbsp;,1.44,0
Gagra - Dila Gori&nbsp;,1.32,1
Rustavi - WIT Georgia&nbsp;,1.47,1
Zugdidi - Dila Gori&nbsp;,1.26,0
Dila Gori - Dinamo Tbilisi&nbsp;,1.39,0
Rustavi - Chikhura&nbsp;,1.47,1
Gagra - Sulori Vani&nbsp;,1.2,1
Poti - Zestafoni&nbsp;,1.46,0
WIT Georgia - Chiatura&nbsp;,1.33,1
Zestafoni - Poti&nbsp;,1.2,1
Dinamo Tbilisi - Dila Gori&nbsp;,1.3,0
Zugdidi - Bolnisi&nbsp;,1.35,1
Dinamo Batumi - FC Ozurgeti&nbsp;,1.25,1
Zestafoni - Torpedo Kutaisi&nbsp;,1.39,0
WIT Georgia - Gagra&nbsp;,1.44,0
