Freiburg II - Balingen,1.25,1
Offenburger FV - Bissingen,1.2,1
Bissingen - Walldorf II,1.14,1
CfR Pforzheim - Freiburg II,1.36,1
Freiburg II - Neckarsulmer,1.39,1
Reutlingen - Hollenbach,1.5,0
Reutlingen - Freiburg II,1.5,1
Freiburg II - Hollenbach,1.1,1
Hollenbach - Bahlinger,1.5,1
Bissingen - Stutt. Kickers II,1.21,1
Karlsruher II - Hollenbach,1.32,1
Freiburg II - Balingen,1.25,1
Offenburger FV - Bissingen,1.2,1
Bissingen - Walldorf II,1.14,1
CfR Pforzheim - Freiburg II,1.36,1
Freiburg II - Neckarsulmer,1.39,1
Reutlingen - Hollenbach,1.5,0
Reutlingen - Freiburg II,1.5,1
Freiburg II - Hollenbach,1.1,1
Hollenbach - Bahlinger,1.5,1
Bissingen - Stutt. Kickers II,1.21,1
Karlsruher II - Hollenbach,1.32,1
Freiburg II - Balingen,1.25,1
Offenburger FV - Bissingen,1.2,1
Bissingen - Walldorf II,1.14,1
CfR Pforzheim - Freiburg II,1.36,1
Freiburg II - Neckarsulmer,1.39,1
Reutlingen - Hollenbach,1.5,0
Reutlingen - Freiburg II,1.5,1
Freiburg II - Hollenbach,1.1,1
Hollenbach - Bahlinger,1.5,1
Bissingen - Stutt. Kickers II,1.21,1
Karlsruher II - Hollenbach,1.32,1
Freiburg II - Balingen,1.25,1
Offenburger FV - Bissingen,1.2,1
Bissingen - Walldorf II,1.14,1
CfR Pforzheim - Freiburg II,1.36,1
Freiburg II - Neckarsulmer,1.39,1
Reutlingen - Hollenbach,1.5,0
Reutlingen - Freiburg II,1.5,1
Freiburg II - Hollenbach,1.1,1
Hollenbach - Bahlinger,1.5,1
Bissingen - Stutt. Kickers II,1.21,1
Karlsruher II - Hollenbach,1.32,1
Freiburg II - Balingen,1.25,1
Offenburger FV - Bissingen,1.2,1
Bissingen - Walldorf II,1.14,1
CfR Pforzheim - Freiburg II,1.36,1
Freiburg II - Neckarsulmer,1.39,1
Reutlingen - Hollenbach,1.5,0
Reutlingen - Freiburg II,1.5,1
Freiburg II - Hollenbach,1.1,1
Hollenbach - Bahlinger,1.5,1
Bissingen - Stutt. Kickers II,1.21,1
Karlsruher II - Hollenbach,1.32,1
Freiburg II - Balingen,1.25,1
Offenburger FV - Bissingen,1.2,1
Bissingen - Walldorf II,1.14,1
CfR Pforzheim - Freiburg II,1.36,1
Freiburg II - Neckarsulmer,1.39,1
Reutlingen - Hollenbach,1.5,0
Reutlingen - Freiburg II,1.5,1
Freiburg II - Hollenbach,1.1,1
Hollenbach - Bahlinger,1.5,1
Bissingen - Stutt. Kickers II,1.21,1
Karlsruher II - Hollenbach,1.32,1
FC Nottingen - Hollenbach,1.37,0
Pfullendorf - Freiburger,1.29,1
Ulm - Ravensburg,1.38,1
Hollenbach - Pfullendorf,1.29,1
Ravensburg - Ger. Friedrichstal,1.25,0
Sandhausen II - FC Nottingen,1.5,0
Pfullendorf - Sandhausen II,1.4,1
Ger. Friedrichstal - CfR Pforzheim,1.3,0
Oberachern - Pfullendorf,1.21,1
Bissingen - Ger. Friedrichstal,1.17,1
Ger. Friedrichstal - Karlsruher II,1.31,1
FC Nottingen - Hollenbach,1.37,0
Pfullendorf - Freiburger,1.29,1
Ulm - Ravensburg,1.38,1
Hollenbach - Pfullendorf,1.29,1
Ravensburg - Ger. Friedrichstal,1.25,0
Sandhausen II - FC Nottingen,1.5,0
Pfullendorf - Sandhausen II,1.4,1
Ger. Friedrichstal - CfR Pforzheim,1.3,0
Oberachern - Pfullendorf,1.21,1
Bissingen - Ger. Friedrichstal,1.17,1
Ger. Friedrichstal - Karlsruher II,1.31,1
FC Nottingen - Hollenbach,1.37,0
Pfullendorf - Freiburger,1.29,1
Ulm - Ravensburg,1.38,1
Hollenbach - Pfullendorf,1.29,1
Ravensburg - Ger. Friedrichstal,1.25,0
Sandhausen II - FC Nottingen,1.5,0
Pfullendorf - Sandhausen II,1.4,1
Ger. Friedrichstal - CfR Pforzheim,1.3,0
Oberachern - Pfullendorf,1.21,1
Bissingen - Ger. Friedrichstal,1.17,1
Ger. Friedrichstal - Karlsruher II,1.31,1
FC Nottingen - Hollenbach,1.37,0
Pfullendorf - Freiburger,1.29,1
Ulm - Ravensburg,1.38,1
Hollenbach - Pfullendorf,1.29,1
Ravensburg - Ger. Friedrichstal,1.25,0
Sandhausen II - FC Nottingen,1.5,0
Pfullendorf - Sandhausen II,1.4,1
Ger. Friedrichstal - CfR Pforzheim,1.3,0
Oberachern - Pfullendorf,1.21,1
Bissingen - Ger. Friedrichstal,1.17,1
Ger. Friedrichstal - Karlsruher II,1.31,1
FC Nottingen - Hollenbach,1.37,0
Pfullendorf - Freiburger,1.29,1
Ulm - Ravensburg,1.38,1
Hollenbach - Pfullendorf,1.29,1
Ravensburg - Ger. Friedrichstal,1.25,0
Sandhausen II - FC Nottingen,1.5,0
Pfullendorf - Sandhausen II,1.4,1
Ger. Friedrichstal - CfR Pforzheim,1.3,0
Oberachern - Pfullendorf,1.21,1
Bissingen - Ger. Friedrichstal,1.17,1
Ger. Friedrichstal - Karlsruher II,1.31,1
FC Nottingen - Hollenbach,1.37,0
Pfullendorf - Freiburger,1.29,1
Ulm - Ravensburg,1.38,1
Hollenbach - Pfullendorf,1.29,1
Ravensburg - Ger. Friedrichstal,1.25,0
Sandhausen II - FC Nottingen,1.5,0
Pfullendorf - Sandhausen II,1.4,1
Ger. Friedrichstal - CfR Pforzheim,1.3,0
Oberachern - Pfullendorf,1.21,1
Bissingen - Ger. Friedrichstal,1.17,1
Ger. Friedrichstal - Karlsruher II,1.31,1
FC Nottingen - Hollenbach,1.37,0
Pfullendorf - Freiburger,1.29,1
Ulm - Ravensburg,1.38,1
Hollenbach - Pfullendorf,1.29,1
Ravensburg - Ger. Friedrichstal,1.25,0
Sandhausen II - FC Nottingen,1.5,0
Pfullendorf - Sandhausen II,1.4,1
Ger. Friedrichstal - CfR Pforzheim,1.3,0
Oberachern - Pfullendorf,1.21,1
Bissingen - Ger. Friedrichstal,1.17,1
Ger. Friedrichstal - Karlsruher II,1.31,1
Bahlinger - Lehnerz,1.4,0
Bahlinger - FC 08 Villingen,1.2,1
Ravensburg - SV Pforzheim,1.26,1
Spielberg - Kehler,1.46,1
Spielberg - SV Pforzheim,1.19,1
Bahlinger - Kehler,1.5,1
Spielberg - Pfullendorf,1.36,1
Karlsruher II - VfR Mannheim,1.36,0
Bahlinger - Reutlingen,1.4,1
Balingen - SV Pforzheim,1.26,1
Bahlinger - Lehnerz,1.4,0
Bahlinger - FC 08 Villingen,1.2,1
Ravensburg - SV Pforzheim,1.26,1
Spielberg - Kehler,1.46,1
Spielberg - SV Pforzheim,1.19,1
Bahlinger - Kehler,1.5,1
Spielberg - Pfullendorf,1.36,1
Karlsruher II - VfR Mannheim,1.36,0
Bahlinger - Reutlingen,1.4,1
Balingen - SV Pforzheim,1.26,1
Bahlinger - Lehnerz,1.4,0
Bahlinger - FC 08 Villingen,1.2,1
Ravensburg - SV Pforzheim,1.26,1
Spielberg - Kehler,1.46,1
Spielberg - SV Pforzheim,1.19,1
Bahlinger - Kehler,1.5,1
Spielberg - Pfullendorf,1.36,1
Karlsruher II - VfR Mannheim,1.36,0
Bahlinger - Reutlingen,1.4,1
Balingen - SV Pforzheim,1.26,1
Bahlinger - Lehnerz,1.4,0
Bahlinger - FC 08 Villingen,1.2,1
Ravensburg - SV Pforzheim,1.26,1
Spielberg - Kehler,1.46,1
Spielberg - SV Pforzheim,1.19,1
Bahlinger - Kehler,1.5,1
Spielberg - Pfullendorf,1.36,1
Karlsruher II - VfR Mannheim,1.36,0
Bahlinger - Reutlingen,1.4,1
Balingen - SV Pforzheim,1.26,1
Bahlinger - Lehnerz,1.4,0
Bahlinger - FC 08 Villingen,1.2,1
Ravensburg - SV Pforzheim,1.26,1
Spielberg - Kehler,1.46,1
Spielberg - SV Pforzheim,1.19,1
Bahlinger - Kehler,1.5,1
Spielberg - Pfullendorf,1.36,1
Karlsruher II - VfR Mannheim,1.36,0
Bahlinger - Reutlingen,1.4,1
Balingen - SV Pforzheim,1.26,1
Bahlinger - Lehnerz,1.4,0
Bahlinger - FC 08 Villingen,1.2,1
Ravensburg - SV Pforzheim,1.26,1
Spielberg - Kehler,1.46,1
Spielberg - SV Pforzheim,1.19,1
Bahlinger - Kehler,1.5,1
Spielberg - Pfullendorf,1.36,1
Karlsruher II - VfR Mannheim,1.36,0
Bahlinger - Reutlingen,1.4,1
Balingen - SV Pforzheim,1.26,1
