Kirchanschoring - Gundelfingen,1.36,1
Pullach - Hankofen-Hailing,1.22,1
Hankofen-Hailing - Unterfohring,1.29,0
Pullach - Gundelfingen,1.16,1
Unterfohring - Regensburg II,1.33,1
Gundelfingen - Unterfohring,1.33,1
Pipinsried - Hankofen-Hailing,1.2,1
Kirchanschoring - Gundelfingen,1.36,1
Pullach - Hankofen-Hailing,1.22,1
Hankofen-Hailing - Unterfohring,1.29,0
Pullach - Gundelfingen,1.16,1
Unterfohring - Regensburg II,1.33,1
Gundelfingen - Unterfohring,1.33,1
Pipinsried - Hankofen-Hailing,1.2,1
Kirchanschoring - Gundelfingen,1.36,1
Pullach - Hankofen-Hailing,1.22,1
Hankofen-Hailing - Unterfohring,1.29,0
Pullach - Gundelfingen,1.16,1
Unterfohring - Regensburg II,1.33,1
Gundelfingen - Unterfohring,1.33,1
Pipinsried - Hankofen-Hailing,1.2,1
Kirchanschoring - Gundelfingen,1.36,1
Pullach - Hankofen-Hailing,1.22,1
Hankofen-Hailing - Unterfohring,1.29,0
Pullach - Gundelfingen,1.16,1
Unterfohring - Regensburg II,1.33,1
Gundelfingen - Unterfohring,1.33,1
Pipinsried - Hankofen-Hailing,1.2,1
Kirchanschoring - Gundelfingen,1.36,1
Pullach - Hankofen-Hailing,1.22,1
Hankofen-Hailing - Unterfohring,1.29,0
Pullach - Gundelfingen,1.16,1
Unterfohring - Regensburg II,1.33,1
Gundelfingen - Unterfohring,1.33,1
Pipinsried - Hankofen-Hailing,1.2,1
Kirchanschoring - Gundelfingen,1.36,1
Pullach - Hankofen-Hailing,1.22,1
Hankofen-Hailing - Unterfohring,1.29,0
Pullach - Gundelfingen,1.16,1
Unterfohring - Regensburg II,1.33,1
Gundelfingen - Unterfohring,1.33,1
Pipinsried - Hankofen-Hailing,1.2,1
SpVgg Ruhmannsfelden - Rosenheim,1.05,1
Sonthofen - SpVgg Ruhmannsfelden,1.03,1
SpVgg Ruhmannsfelden - Pipinsried,1.36,1
Erlbach - SpVgg Ruhmannsfelden,1.19,0
SpVgg Ruhmannsfelden - Rosenheim,1.05,1
Sonthofen - SpVgg Ruhmannsfelden,1.03,1
