Eutin - Eintracht Northeim,1.42,1
VfL Oldenburg - Spelle-Venhaus,1.29,0
Jeddeloh - Wunstorf,1.36,1
Bornreihe - Wunstorf,1.35,0
FT Braunschweig - Jeddeloh,1.4,1
Jeddeloh - SVG Gottingen,1.32,1
Bornreihe - Gifhorn,1.3,1
Jeddeloh - Bersenbruck,1.35,0
Eutin - Eintracht Northeim,1.42,1
VfL Oldenburg - Spelle-Venhaus,1.29,0
Jeddeloh - Wunstorf,1.36,1
Bornreihe - Wunstorf,1.35,0
FT Braunschweig - Jeddeloh,1.4,1
Jeddeloh - SVG Gottingen,1.32,1
Bornreihe - Gifhorn,1.3,1
Jeddeloh - Bersenbruck,1.35,0
Eutin - Eintracht Northeim,1.42,1
VfL Oldenburg - Spelle-Venhaus,1.29,0
Jeddeloh - Wunstorf,1.36,1
Bornreihe - Wunstorf,1.35,0
FT Braunschweig - Jeddeloh,1.4,1
Jeddeloh - SVG Gottingen,1.32,1
Bornreihe - Gifhorn,1.3,1
Jeddeloh - Bersenbruck,1.35,0
Eutin - Eintracht Northeim,1.42,1
VfL Oldenburg - Spelle-Venhaus,1.29,0
Jeddeloh - Wunstorf,1.36,1
Bornreihe - Wunstorf,1.35,0
FT Braunschweig - Jeddeloh,1.4,1
Jeddeloh - SVG Gottingen,1.32,1
Bornreihe - Gifhorn,1.3,1
Jeddeloh - Bersenbruck,1.35,0
Eutin - Eintracht Northeim,1.42,1
VfL Oldenburg - Spelle-Venhaus,1.29,0
Jeddeloh - Wunstorf,1.36,1
Bornreihe - Wunstorf,1.35,0
FT Braunschweig - Jeddeloh,1.4,1
Jeddeloh - SVG Gottingen,1.32,1
Bornreihe - Gifhorn,1.3,1
Jeddeloh - Bersenbruck,1.35,0
Wunstorf - Teutonia U.,1.17,1
Buckeburg - SVG Gottingen,1.44,0
Heeslinger - Buckeburg,1.4,1
Teutonia U. - Arminia Hannover,1.25,1
Lupo-Martini Wolfsburg - FT Braunschweig,1.28,0
VfL Oldenburg - Teutonia U.,1.1,1
Spelle-Venhaus - Buckeburg,1.33,1
Buckeburg - Teutonia U.,1.44,1
Egestorf-Langreder - Arminia Hannover,1.4,0
SVG Gottingen - Teutonia U.,1.24,1
Wunstorf - Teutonia U.,1.17,1
Buckeburg - SVG Gottingen,1.44,0
Heeslinger - Buckeburg,1.4,1
Teutonia U. - Arminia Hannover,1.25,1
Lupo-Martini Wolfsburg - FT Braunschweig,1.28,0
VfL Oldenburg - Teutonia U.,1.1,1
Spelle-Venhaus - Buckeburg,1.33,1
Buckeburg - Teutonia U.,1.44,1
Egestorf-Langreder - Arminia Hannover,1.4,0
SVG Gottingen - Teutonia U.,1.24,1
Wunstorf - Teutonia U.,1.17,1
Buckeburg - SVG Gottingen,1.44,0
Heeslinger - Buckeburg,1.4,1
Teutonia U. - Arminia Hannover,1.25,1
Lupo-Martini Wolfsburg - FT Braunschweig,1.28,0
VfL Oldenburg - Teutonia U.,1.1,1
Spelle-Venhaus - Buckeburg,1.33,1
Buckeburg - Teutonia U.,1.44,1
Egestorf-Langreder - Arminia Hannover,1.4,0
SVG Gottingen - Teutonia U.,1.24,1
Wunstorf - Teutonia U.,1.17,1
Buckeburg - SVG Gottingen,1.44,0
Heeslinger - Buckeburg,1.4,1
Teutonia U. - Arminia Hannover,1.25,1
Lupo-Martini Wolfsburg - FT Braunschweig,1.28,0
VfL Oldenburg - Teutonia U.,1.1,1
Spelle-Venhaus - Buckeburg,1.33,1
Buckeburg - Teutonia U.,1.44,1
Egestorf-Langreder - Arminia Hannover,1.4,0
SVG Gottingen - Teutonia U.,1.24,1
Wunstorf - Teutonia U.,1.17,1
Buckeburg - SVG Gottingen,1.44,0
Heeslinger - Buckeburg,1.4,1
Teutonia U. - Arminia Hannover,1.25,1
Lupo-Martini Wolfsburg - FT Braunschweig,1.28,0
VfL Oldenburg - Teutonia U.,1.1,1
Spelle-Venhaus - Buckeburg,1.33,1
Buckeburg - Teutonia U.,1.44,1
Egestorf-Langreder - Arminia Hannover,1.4,0
SVG Gottingen - Teutonia U.,1.24,1
Bahlinger - Lehnerz,1.4,0
Hildesheim - Gottingen 05,1.04,0
Uphusen - Rotenburger,1.39,0
Hildesheim - Teutonia U.,1.36,1
Jeddeloh - Uphusen,1.22,0
Gottingen 05 - Spelle-Venhaus,1.35,1
Hildesheim - Rotenburger,1.1,1
Gottingen 05 - Jeddeloh,1.14,1
Gottingen 05 - Teutonia U.,1.4,0
Drochtersen/Assel - Eintracht Northeim,1.47,1
Rotenburger - Jeddeloh,1.4,1
Gottingen 05 - Egestorf-Langreder,1.31,1
Bahlinger - Lehnerz,1.4,0
Hildesheim - Gottingen 05,1.04,0
Uphusen - Rotenburger,1.39,0
Hildesheim - Teutonia U.,1.36,1
Jeddeloh - Uphusen,1.22,0
Gottingen 05 - Spelle-Venhaus,1.35,1
