Dusseldorf II - Sprockhovel,1.35,1
Viktoria Koln - Wiedenbruck,1.47,1
Sprockhovel - Viktoria Koln,1.31,0
Siegen - B. Monchengladbach II,1.31,1
RW Essen - Siegen,1.28,1
Wuppertaler - Sprockhovel,1.4,0
Dortmund II - Ahlen,1.32,0
Dusseldorf II - Sprockhovel,1.35,1
Viktoria Koln - Wiedenbruck,1.47,1
Sprockhovel - Viktoria Koln,1.31,0
Siegen - B. Monchengladbach II,1.31,1
RW Essen - Siegen,1.28,1
Wuppertaler - Sprockhovel,1.4,0
Dortmund II - Ahlen,1.32,0
Dusseldorf II - Sprockhovel,1.35,1
Viktoria Koln - Wiedenbruck,1.47,1
Sprockhovel - Viktoria Koln,1.31,0
Siegen - B. Monchengladbach II,1.31,1
RW Essen - Siegen,1.28,1
Wuppertaler - Sprockhovel,1.4,0
Dortmund II - Ahlen,1.32,0
Dusseldorf II - Sprockhovel,1.35,1
Viktoria Koln - Wiedenbruck,1.47,1
Sprockhovel - Viktoria Koln,1.31,0
Siegen - B. Monchengladbach II,1.31,1
RW Essen - Siegen,1.28,1
Wuppertaler - Sprockhovel,1.4,0
Dortmund II - Ahlen,1.32,0
Dusseldorf II - Sprockhovel,1.35,1
Viktoria Koln - Wiedenbruck,1.47,1
Sprockhovel - Viktoria Koln,1.31,0
Siegen - B. Monchengladbach II,1.31,1
RW Essen - Siegen,1.28,1
Wuppertaler - Sprockhovel,1.4,0
Dortmund II - Ahlen,1.32,0
Dusseldorf II - Sprockhovel,1.35,1
Viktoria Koln - Wiedenbruck,1.47,1
Sprockhovel - Viktoria Koln,1.31,0
Siegen - B. Monchengladbach II,1.31,1
RW Essen - Siegen,1.28,1
Wuppertaler - Sprockhovel,1.4,0
Dortmund II - Ahlen,1.32,0
Dusseldorf II - Sprockhovel,1.35,1
Viktoria Koln - Wiedenbruck,1.47,1
Sprockhovel - Viktoria Koln,1.31,0
Siegen - B. Monchengladbach II,1.31,1
RW Essen - Siegen,1.28,1
Wuppertaler - Sprockhovel,1.4,0
Dortmund II - Ahlen,1.32,0
Dusseldorf II - Kray,1.29,1
Wegberg-Beeck - Koln II,1.22,0
Kray - RW Essen,1.33,1
Rodinghausen - Erndtebruck,1.45,1
Wiedenbruck - Wegberg-Beeck,1.23,1
SSVg Velbert - Kray,1.37,0
Wegberg-Beeck - Dortmund II,1.23,1
Wegberg-Beeck - Wattenscheid,1.47,0
Kray - Alemannia Aachen,1.4,1
RW Essen - SSVg Velbert,1.39,1
Dortmund II - Ahlen,1.35,1
Dusseldorf II - Kray,1.29,1
Wegberg-Beeck - Koln II,1.22,0
Kray - RW Essen,1.33,1
Rodinghausen - Erndtebruck,1.45,1
Wiedenbruck - Wegberg-Beeck,1.23,1
SSVg Velbert - Kray,1.37,0
Wegberg-Beeck - Dortmund II,1.23,1
Wegberg-Beeck - Wattenscheid,1.47,0
Kray - Alemannia Aachen,1.4,1
RW Essen - SSVg Velbert,1.39,1
Dortmund II - Ahlen,1.35,1
Dusseldorf II - Kray,1.29,1
Wegberg-Beeck - Koln II,1.22,0
Kray - RW Essen,1.33,1
Rodinghausen - Erndtebruck,1.45,1
Wiedenbruck - Wegberg-Beeck,1.23,1
SSVg Velbert - Kray,1.37,0
Wegberg-Beeck - Dortmund II,1.23,1
Wegberg-Beeck - Wattenscheid,1.47,0
Kray - Alemannia Aachen,1.4,1
RW Essen - SSVg Velbert,1.39,1
Dortmund II - Ahlen,1.35,1
Dusseldorf II - Kray,1.29,1
Wegberg-Beeck - Koln II,1.22,0
Kray - RW Essen,1.33,1
Rodinghausen - Erndtebruck,1.45,1
Wiedenbruck - Wegberg-Beeck,1.23,1
SSVg Velbert - Kray,1.37,0
Wegberg-Beeck - Dortmund II,1.23,1
Wegberg-Beeck - Wattenscheid,1.47,0
Kray - Alemannia Aachen,1.4,1
RW Essen - SSVg Velbert,1.39,1
Dortmund II - Ahlen,1.35,1
Dusseldorf II - Kray,1.29,1
Wegberg-Beeck - Koln II,1.22,0
Kray - RW Essen,1.33,1
Rodinghausen - Erndtebruck,1.45,1
Wiedenbruck - Wegberg-Beeck,1.23,1
SSVg Velbert - Kray,1.37,0
Wegberg-Beeck - Dortmund II,1.23,1
Wegberg-Beeck - Wattenscheid,1.47,0
Kray - Alemannia Aachen,1.4,1
RW Essen - SSVg Velbert,1.39,1
Dortmund II - Ahlen,1.35,1
Dusseldorf II - Kray,1.29,1
Wegberg-Beeck - Koln II,1.22,0
Kray - RW Essen,1.33,1
Rodinghausen - Erndtebruck,1.45,1
Wiedenbruck - Wegberg-Beeck,1.23,1
SSVg Velbert - Kray,1.37,0
Wegberg-Beeck - Dortmund II,1.23,1
Wegberg-Beeck - Wattenscheid,1.47,0
Kray - Alemannia Aachen,1.4,1
RW Essen - SSVg Velbert,1.39,1
Dortmund II - Ahlen,1.35,1
Dusseldorf II - Kray,1.29,1
Wegberg-Beeck - Koln II,1.22,0
Kray - RW Essen,1.33,1
Rodinghausen - Erndtebruck,1.45,1
Wiedenbruck - Wegberg-Beeck,1.23,1
SSVg Velbert - Kray,1.37,0
Wegberg-Beeck - Dortmund II,1.23,1
Wegberg-Beeck - Wattenscheid,1.47,0
Kray - Alemannia Aachen,1.4,1
