Dorogi - Szeol,1.4,1
Siofok - Szeol,1.5,1
Puskas Academy - Szeged,1.42,0
Kisvarda - Dorogi,1.5,1
Zalaegerszegi - Szeol,1.4,1
Dorogi - Szeol,1.4,1
Siofok - Szeol,1.5,1
Puskas Academy - Szeged,1.42,0
Kisvarda - Dorogi,1.5,1
Zalaegerszegi - Szeol,1.4,1
Dorogi - Szeol,1.4,1
Siofok - Szeol,1.5,1
Puskas Academy - Szeged,1.42,0
Kisvarda - Dorogi,1.5,1
Zalaegerszegi - Szeol,1.4,1
Dorogi - Szeol,1.4,1
Siofok - Szeol,1.5,1
Puskas Academy - Szeged,1.42,0
Kisvarda - Dorogi,1.5,1
Zalaegerszegi - Szeol,1.4,1
Dorogi - Szeol,1.4,1
Siofok - Szeol,1.5,1
Puskas Academy - Szeged,1.42,0
Kisvarda - Dorogi,1.5,1
Zalaegerszegi - Szeol,1.4,1
Dorogi - Szeol,1.4,1
Siofok - Szeol,1.5,1
Puskas Academy - Szeged,1.42,0
Kisvarda - Dorogi,1.5,1
Zalaegerszegi - Szeol,1.4,1
Dorogi - Szeol,1.4,1
Siofok - Szeol,1.5,1
Puskas Academy - Szeged,1.42,0
Kisvarda - Dorogi,1.5,1
Zalaegerszegi - Szeol,1.4,1
Gyirmot SE - Siofok,1.32,0
Kisvarda - Szolnoki MAV,1.36,1
Mezokovesd-Zsory - Dunaujvaros PASE,1.07,1
Soroksar - Soproni VSE,1.42,1
Zalaegerszegi - Ajka,1.15,1
Balmazujvaros Sport - Ajka,1.25,1
Szolnoki MAV - Szeged,1.49,0
Siofok - Mezokovesd-Zsory,1.24,1
Vac - Szigetszentmiklos,1.45,1
Szigetszentmiklos - Dunaujvaros PASE,1.5,1
Mezokovesd-Zsory - Szigetszentmiklos,1.4,1
Soroksar - Dunaujvaros PASE,1.47,1
Kisvarda - Vac,1.36,1
Gyirmot SE - Vac,1.36,1
Zalaegerszegi - Siofok,1.5,1
Gyirmot SE - Siofok,1.32,0
Kisvarda - Szolnoki MAV,1.36,1
Mezokovesd-Zsory - Dunaujvaros PASE,1.07,1
Soroksar - Soproni VSE,1.42,1
Zalaegerszegi - Ajka,1.15,1
Balmazujvaros Sport - Ajka,1.25,1
Szolnoki MAV - Szeged,1.49,0
Siofok - Mezokovesd-Zsory,1.24,1
Vac - Szigetszentmiklos,1.45,1
Szigetszentmiklos - Dunaujvaros PASE,1.5,1
Mezokovesd-Zsory - Szigetszentmiklos,1.4,1
Soroksar - Dunaujvaros PASE,1.47,1
Kisvarda - Vac,1.36,1
Gyirmot SE - Vac,1.36,1
Zalaegerszegi - Siofok,1.5,1
Gyirmot SE - Siofok,1.32,0
Kisvarda - Szolnoki MAV,1.36,1
Mezokovesd-Zsory - Dunaujvaros PASE,1.07,1
Soroksar - Soproni VSE,1.42,1
Zalaegerszegi - Ajka,1.15,1
Balmazujvaros Sport - Ajka,1.25,1
Szolnoki MAV - Szeged,1.49,0
Siofok - Mezokovesd-Zsory,1.24,1
Vac - Szigetszentmiklos,1.45,1
Szigetszentmiklos - Dunaujvaros PASE,1.5,1
Mezokovesd-Zsory - Szigetszentmiklos,1.4,1
Soroksar - Dunaujvaros PASE,1.47,1
Kisvarda - Vac,1.36,1
Gyirmot SE - Vac,1.36,1
Zalaegerszegi - Siofok,1.5,1
Bekescsaba 1912 - Cegledi,1.33,1
Gyirmot SE - Siofok,1.33,0
Vasas - Mezokovesd-Zsory,1.5,1
Bekescsaba 1912 - Soroksar,1.47,1
Bekescsaba 1912 - Szeged,1.49,0
Gyirmot SE - Soproni VSE,1.49,0
Vasas - Csakvari,1.27,1
Bekescsaba 1912 - Szigetszentmiklos,1.49,1
Gyirmot SE - Zalaegerszegi,1.33,1
Vasas - Cegledi,1.29,1
Gyirmot SE - Soroksar,1.25,1
Mezokovesd-Zsory - Cegledi,1.4,1
Vasas - Szeged,1.44,1
Balmazujvaros Sport - Bekescsaba 1912,1.49,0
Vasas - Kaposvar,1.23,0
Gyirmot SE - Ajka,1.4,1
Bekescsaba 1912 - Cegledi,1.33,1
Gyirmot SE - Siofok,1.33,0
Vasas - Mezokovesd-Zsory,1.5,1
Bekescsaba 1912 - Soroksar,1.47,1
Bekescsaba 1912 - Szeged,1.49,0
Gyirmot SE - Soproni VSE,1.49,0
Vasas - Csakvari,1.27,1
Bekescsaba 1912 - Szigetszentmiklos,1.49,1
Gyirmot SE - Zalaegerszegi,1.33,1
Vasas - Cegledi,1.29,1
Gyirmot SE - Soroksar,1.25,1
Mezokovesd-Zsory - Cegledi,1.4,1
Vasas - Szeged,1.44,1
Balmazujvaros Sport - Bekescsaba 1912,1.49,0
Vasas - Kaposvar,1.23,0
Gyirmot SE - Ajka,1.4,1
Tatabanya - Dunaujvaros PASE,1.24,1
Vasas - Kozarmisleny SE,1.39,1
Nyiregyhaza - Szigetszentmiklos,1.33,1
Balmazujvaros Sport - Tatabanya,1.49,1
Dunaujvaros PASE - Kisvarda,1.45,1
Dunaujvaros PASE - Szolnoki MAV,1.46,0
Siofok - Kozarmisleny SE,1.33,0
Nyiregyhaza - Zalaegerszegi,1.32,1
Dunaujvaros PASE - Tatabanya,1.25,0
Tatabanya - Dunaujvaros PASE,1.24,1
Vasas - Kozarmisleny SE,1.39,1
Nyiregyhaza - Szigetszentmiklos,1.33,1
Balmazujvaros Sport - Tatabanya,1.49,1
Dunaujvaros PASE - Kisvarda,1.45,1
Dunaujvaros PASE - Szolnoki MAV,1.46,0
Siofok - Kozarmisleny SE,1.33,0
Nyiregyhaza - Zalaegerszegi,1.32,1
Dunaujvaros PASE - Tatabanya,1.25,0
