Hafnarfjordur - Leiknir,1.23,1
Aegir - Vikingur Reykjavik,1.1,1
Hafnarfjordur - Selfoss,1.23,1
IR Reykjavik - KR Reykjavik,1.17,0
Vidir - Fylkir,1.31,1
Akranes - Grotta,1.36,0
Hafnarfjordur - Sindri,1.03,1
Magni - Fjolnir,1.06,1
Arborg - Vidir,1.43,1
Grindavik - Volsungur,1.08,1
Throttur Vogar - Stjarnan,1.05,1
Vestmannaeyjar - KH Hlidarendi,1.04,1
KA Akureyri - IR Reykjavik,1.42,0
Leiknir F. - KR Reykjavik,1.16,1
Berserkir - Grotta,1.16,1
Selfoss - Kari,1.18,1
Thor Akureyri - Aegir,1.14,0
KFG Gardabaer - Grotta,1.21,1
Dalvik/Reynir - Volsungur,1.37,1
Berserkir - KFR,1.26,1
Fylkir - Vatnaliljur,1.03,1
Keflavik - Vidir,1.19,0
Stal-Ulfur - Njardvik,1.08,1
Kari - Lettir,1.04,1
Selfoss - Valur,1.42,1
Throttur - Hafnarfjordur,1.21,1
Selfoss - Vidir,1.27,0
Hafnarfjordur - Leiknir,1.26,1
Hafnarfjordur - Fjallabyggd,1.05,1
Kria - Breidablik,1.02,1
Akranes - KV Reykjavik,1.26,1
Haukar - Vikingur Reykjavik,1.44,1
KR Reykjavik - Selfoss,1.11,0
Throttur - Volsungur,1.25,1
Vestmannaeyjar - Huginn,1.26,1
Grotta - Augnablik,1.25,1
Leiknir - KFG Gardabaer,1.03,1
Magni - Fjallabyggd,1.41,0
Vaengirs - Augnablik,1.45,0
Haukar - KFR,1.07,1
Hviti - Kopavogur,1.09,1
KA Akureyri - Tindastoll,1.1,0
Leiknir - Lettir,1.05,1
Orninn - Grindavik,1.06,1
Selfoss - Njardvik,1.37,1
Skallagrimur - Keflavik,1.06,1
Thor Akureyri - Volsungur,1.36,0
KFG Gardabaer - KFS,1.46,1
Vatnaliljur - Hamar,1.2,0
KR Reykjavik - Vestmannaeyjar,1.35,1
Breidablik - KA Akureyri,1.37,0
Hafnarfjordur - Grindavik,1.18,1
KV Reykjavik - KR Reykjavik,1.14,1
Vikingur Reykjavik - Afturelding,1.2,1
Fjardabyggd - Valur,1.5,1
KFG Gardabaer - Breidablik,1.05,1
Fylkir - Njardvik,1.18,1
Hafnarfjordur - Kopavogur,1.16,1
Keflavik - KR Reykjavik,1.46,1
Stjarnan - Leiknir,1.43,0
Valur - Selfoss,1.25,1
Vikingur Reykjavik - Hottur,1.15,0
Lettir - Vestmannaeyjar,1.05,1
Vatnaliljur - Afturelding,1.23,1
KV Reykjavik - Fram,1.4,0
Throttur - Bolungarvik,1.22,1
KA Akureyri - Alftanes,1.08,1
Volsungur - Grindavik,1.25,1
Afturelding - Skinandi,1.14,1
Throttur - Vaengirs,1.02,1
Kria - Alftanes,1.5,0
Vatnaliljur - Berserkir,1.42,0
