Persija Jakarta - Balikpapan,1.36,1
PSM Makassar - Mitra Kukar,1.44,1
Semen Padang - Gresik,1.24,1
Madura United - Persela Lamongan,1.35,1
Sriwijaya - Perseru Serui,1.41,0
Arema FC - Pusamania Borneo,1.41,0
Mitra Kukar - Balikpapan,1.34,0
Persipura Jayapura - PS TNI,1.25,1
Pusamania Borneo - Perseru Serui,1.22,1
PS TNI - Gresik,1.46,1
PSM Makassar - Barito Putera,1.37,0
Madura United - Balikpapan,1.16,1
Sriwijaya - PS TNI,1.48,1
Persib Bandung - Persela Lamongan,1.36,0
Persipura Jayapura - Perseru Serui,1.19,0
Persija Jakarta - Balikpapan,1.36,1
PSM Makassar - Mitra Kukar,1.44,1
Semen Padang - Gresik,1.24,1
Madura United - Persela Lamongan,1.35,1
Sriwijaya - Perseru Serui,1.41,0
Arema FC - Pusamania Borneo,1.41,0
Mitra Kukar - Balikpapan,1.34,0
Persipura Jayapura - PS TNI,1.25,1
Pusamania Borneo - Perseru Serui,1.22,1
PS TNI - Gresik,1.46,1
PSM Makassar - Barito Putera,1.37,0
Madura United - Balikpapan,1.16,1
Sriwijaya - PS TNI,1.48,1
Persib Bandung - Persela Lamongan,1.36,0
Persipura Jayapura - Perseru Serui,1.19,0
Persija Jakarta - Balikpapan,1.36,1
PSM Makassar - Mitra Kukar,1.44,1
Semen Padang - Gresik,1.24,1
Madura United - Persela Lamongan,1.35,1
Sriwijaya - Perseru Serui,1.41,0
Arema FC - Pusamania Borneo,1.41,0
Mitra Kukar - Balikpapan,1.34,0
Persipura Jayapura - PS TNI,1.25,1
Pusamania Borneo - Perseru Serui,1.22,1
PS TNI - Gresik,1.46,1
PSM Makassar - Barito Putera,1.37,0
Madura United - Balikpapan,1.16,1
Sriwijaya - PS TNI,1.48,1
Persib Bandung - Persela Lamongan,1.36,0
Persipura Jayapura - Perseru Serui,1.19,0
Persija Jakarta - Balikpapan,1.36,1
PSM Makassar - Mitra Kukar,1.44,1
Semen Padang - Gresik,1.24,1
Madura United - Persela Lamongan,1.35,1
Sriwijaya - Perseru Serui,1.41,0
Arema FC - Pusamania Borneo,1.41,0
Mitra Kukar - Balikpapan,1.34,0
Persipura Jayapura - PS TNI,1.25,1
Pusamania Borneo - Perseru Serui,1.22,1
PS TNI - Gresik,1.46,1
PSM Makassar - Barito Putera,1.37,0
Madura United - Balikpapan,1.16,1
Sriwijaya - PS TNI,1.48,1
Persib Bandung - Persela Lamongan,1.36,0
Persipura Jayapura - Perseru Serui,1.19,0
Arema FC - Persib Bandung,1.4,0
Sriwijaya - Pusamania Borneo,1.48,1
Persipura Jayapura - PSM Makassar,1.38,1
Semen Padang - Gresik,1.23,1
PS TNI - Sriwijaya,1.44,1
Persib Bandung - Pusamania Borneo,1.4,1
Semen Padang - Mitra Kukar,1.5,1
Sriwijaya - Bali United,1.44,1
PSM Makassar - Persija Jakarta,1.39,0
Madura United - Perseru Serui,1.21,1
Persib Bandung - PS TNI,1.2,1
Bhayangkara Utd - Persela Lamongan,1.33,1
Arema FC - Sriwijaya,1.41,1
Perseru Serui - Balikpapan,1.35,1
Pusamania Borneo - PS TNI,1.27,1
Madura United - Semen Padang,1.4,1
Persib Bandung - Perseru Serui,1.2,1
Sriwijaya - Barito Putera,1.27,0
Pusamania Borneo - Perseru Serui,1.4,1
Semen Padang - Balikpapan,1.32,1
Arema FC - PS TNI,1.18,1
Mitra Kukar - Gresik,1.25,1
Madura United - Persija Jakarta,1.23,1
Arema FC - Persib Bandung,1.4,0
Sriwijaya - Pusamania Borneo,1.48,1
Persipura Jayapura - PSM Makassar,1.38,1
Semen Padang - Gresik,1.23,1
