Selangor - Sarawak FA,1.48,0
Felda Utd. - PKNS FC,1.41,1
Johor DT - Terengganu,1.2,1
Kedah - UiTM,1.13,1
Pahang - PKNP,1.48,1
Perak - Kuala Lumpur,1.48,1
Malacca United - Kedah,1.44,1
Sarawak FA - Johor DT,1.33,1
Kelantan - Kedah,1.5,0
Terengganu - Johor DT,1.34,0
UiTM - Kedah,1.49,1
Johor DT - Sarawak FA,1.23,1
Kedah - Malacca United,1.23,1
Kelantan - UiTM,1.36,1
Pahang - Negeri Sembilan FA,1.45,0
Felda Utd. - T-Team&nbsp;,1.35,0
Kedah - Negeri Sembilan FA&nbsp;,1.44,1
Johor DT - PDRM FA,1.37,1
Johor DT - Perak,1.3,0
Felda Utd. - Malacca United,1.5,1
Felda Utd. - Terengganu,1.35,0
Felda Utd. - T-Team&nbsp;,1.35,0
Kedah - Negeri Sembilan FA&nbsp;,1.44,1
Johor DT - PDRM FA,1.37,1
Johor DT - Perak,1.3,0
Felda Utd. - Malacca United,1.5,1
Felda Utd. - Terengganu,1.35,0
Johor DT - Felda Utd.&nbsp;,1.47,0
Johor DT - Sarawak FA,1.35,0
Kelantan - T-Team,1.46,1
Pahang - Penang,1.31,0
Johor DT - ATM FA,1.24,1
Pahang - PKNS FC,1.27,0
Selangor - T-Team,1.35,1
LionsXII - Johor DT II,1.38,1
Kedah - Johor DT II,1.24,0
Penang - Pahang,1.42,0
ATM FA - Johor DT,1.48,1
PDRM FA - Penang,1.29,0
Johor DT - Felda Utd.&nbsp;,1.47,0
Johor DT - Sarawak FA,1.35,0
Kelantan - T-Team,1.46,1
Pahang - Penang,1.31,0
Johor DT - ATM FA,1.24,1
Pahang - PKNS FC,1.27,0
Selangor - T-Team,1.35,1
LionsXII - Johor DT II,1.38,1
Kedah - Johor DT II,1.24,0
Penang - Pahang,1.42,0
ATM FA - Johor DT,1.48,1
PDRM FA - Penang,1.29,0
Johor DT - Felda Utd.&nbsp;,1.43,1
Johor DT - Terengganu&nbsp;,1.45,1
Selangor - T-Team,1.31,1
Terengganu - Sarawak FA,1.48,0
Penang - Kelantan,1.47,1
T-Team - PDRM FA,1.46,1
Selangor - Sime Darby,1.33,0
Johor DT - Penang,1.2,1
Kelantan - ATM FA,1.37,0
Penang - Johor DT,1.45,1
Selangor - PDRM FA,1.45,0
Kelantan - Penang,1.3,1
Johor DT - Felda Utd.&nbsp;,1.43,1
Johor DT - Terengganu&nbsp;,1.45,1
Selangor - T-Team,1.31,1
Terengganu - Sarawak FA,1.48,0
Penang - Kelantan,1.47,1
T-Team - PDRM FA,1.46,1
Selangor - Sime Darby,1.33,0
Johor DT - Penang,1.2,1
Kelantan - ATM FA,1.37,0
Penang - Johor DT,1.45,1
Selangor - PDRM FA,1.45,0
Kelantan - Penang,1.3,1
LionsXII - Sarawak FA,1.49,1
Johor DT - T-Team,1.42,0
Kelantan - Negeri Sembilan FA,1.43,0
Kelantan - Terengganu,1.41,1
LionsXII - Sarawak FA,1.49,1
Johor DT - T-Team,1.42,0
Kelantan - Negeri Sembilan FA,1.43,0
Kelantan - Terengganu,1.41,1
Kelantan - Felda Utd.&nbsp;,1.28,0
Selangor - Johor DT&nbsp;,1.38,1
Felda Utd. - Kelantan&nbsp;,1.38,1
Selangor - Sarawak FA,1.49,1
Johor DT - Johor DT II,1.34,0
Selangor - T-Team,1.45,1
LionsXII - Johor DT II,1.36,1
Kelantan - Kedah,1.3,1
Selangor - Pahang,1.5,0
Kelantan - Felda Utd.&nbsp;,1.28,0
Selangor - Johor DT&nbsp;,1.38,1
Felda Utd. - Kelantan&nbsp;,1.38,1
Selangor - Sarawak FA,1.49,1
Johor DT - Johor DT II,1.34,0
Selangor - T-Team,1.45,1
LionsXII - Johor DT II,1.36,1
Kelantan - Kedah,1.3,1
Selangor - Pahang,1.5,0
Selangor - Perak&nbsp;,1.5,1
Terengganu - Negeri Sembilan FA,1.42,0
Johor DT - Sarawak FA,1.37,1
Kelantan - Felda Utd.,1.33,1
PDRM FA - T-Team,1.43,1
Sabah - Johor DT II,1.5,1
Selangor - Kuala Lumpur,1.27,1
Kelantan - Sarawak FA,1.45,1
Kedah - Johor DT II,1.3,0
Kuala Lumpur - PDRM FA,1.39,0
Negeri Sembilan FA - PKNS FC,1.4,0
Terengganu - Sime Darby,1.3,1
T-Team - PDRM FA,1.49,1
PKNS FC - Sime Darby,1.36,1
Kelantan - Johor DT,1.45,1
Perak - Johor DT II,1.38,1
Selangor - PDRM FA,1.5,1
Kedah - Sabah,1.4,0
Sime Darby - Terengganu,1.42,1
Selangor - Perak&nbsp;,1.5,1
Terengganu - Negeri Sembilan FA,1.42,0
Johor DT - Sarawak FA,1.37,1
Kelantan - Felda Utd.,1.33,1
PDRM FA - T-Team,1.43,1
Sabah - Johor DT II,1.5,1
Selangor - Kuala Lumpur,1.27,1
Kelantan - Sarawak FA,1.45,1
Kedah - Johor DT II,1.3,0
Kuala Lumpur - PDRM FA,1.39,0
Negeri Sembilan FA - PKNS FC,1.4,0
Terengganu - Sime Darby,1.3,1
T-Team - PDRM FA,1.49,1
PKNS FC - Sime Darby,1.36,1
Kelantan - Johor DT,1.45,1
Perak - Johor DT II,1.38,1
Selangor - PDRM FA,1.5,1
Kedah - Sabah,1.4,0
Sime Darby - Terengganu,1.42,1
