Poli Timisoara - UTA Arad&nbsp;,1.27,1
Poli Timisoara - Targu Mures,1.37,1
Pandurii - Targu Mures,1.21,1
Targu Mures - FC Botosani,1.45,1
Din. Bucuresti - Astra,1.38,0
FC Viitorul - CFR Cluj,1.47,1
FCSB - CS U. Craiova,1.23,1
CS U. Craiova - FC Viitorul,1.39,1
Poli Iasi - Targu Mures,1.41,0
Gaz Metan Medias - Pandurii,1.47,1
Poli Timisoara - UTA Arad&nbsp;,1.27,1
Poli Timisoara - Targu Mures,1.37,1
Pandurii - Targu Mures,1.21,1
Targu Mures - FC Botosani,1.45,1
Din. Bucuresti - Astra,1.38,0
FC Viitorul - CFR Cluj,1.47,1
FCSB - CS U. Craiova,1.23,1
CS U. Craiova - FC Viitorul,1.39,1
Poli Iasi - Targu Mures,1.41,0
Gaz Metan Medias - Pandurii,1.47,1
Poli Timisoara - UTA Arad&nbsp;,1.27,1
Poli Timisoara - Targu Mures,1.37,1
Pandurii - Targu Mures,1.21,1
Targu Mures - FC Botosani,1.45,1
Din. Bucuresti - Astra,1.38,0
FC Viitorul - CFR Cluj,1.47,1
FCSB - CS U. Craiova,1.23,1
CS U. Craiova - FC Viitorul,1.39,1
Poli Iasi - Targu Mures,1.41,0
Gaz Metan Medias - Pandurii,1.47,1
Poli Timisoara - UTA Arad&nbsp;,1.27,1
Poli Timisoara - Targu Mures,1.37,1
Pandurii - Targu Mures,1.21,1
Targu Mures - FC Botosani,1.45,1
Din. Bucuresti - Astra,1.38,0
FC Viitorul - CFR Cluj,1.47,1
FCSB - CS U. Craiova,1.23,1
CS U. Craiova - FC Viitorul,1.39,1
Poli Iasi - Targu Mures,1.41,0
Gaz Metan Medias - Pandurii,1.47,1
Poli Timisoara - UTA Arad&nbsp;,1.27,1
Poli Timisoara - Targu Mures,1.37,1
Pandurii - Targu Mures,1.21,1
Targu Mures - FC Botosani,1.45,1
Din. Bucuresti - Astra,1.38,0
FC Viitorul - CFR Cluj,1.47,1
FCSB - CS U. Craiova,1.23,1
CS U. Craiova - FC Viitorul,1.39,1
Poli Iasi - Targu Mures,1.41,0
Gaz Metan Medias - Pandurii,1.47,1
Poli Timisoara - UTA Arad&nbsp;,1.27,1
Poli Timisoara - Targu Mures,1.37,1
Pandurii - Targu Mures,1.21,1
Targu Mures - FC Botosani,1.45,1
Din. Bucuresti - Astra,1.38,0
FC Viitorul - CFR Cluj,1.47,1
FCSB - CS U. Craiova,1.23,1
CS U. Craiova - FC Viitorul,1.39,1
Poli Iasi - Targu Mures,1.41,0
Gaz Metan Medias - Pandurii,1.47,1
Voluntari - UTA Arad&nbsp;,1.29,1
CS U. Craiova - Petrolul,1.17,1
