Chita - Sakhalin,1.42,1
Zenit Irkutsk - Sakhalin,1.48,0
Zenit Irkutsk - Chita,1.36,0
Smena Komsomolsk - Omsk,1.48,1
Sakhalin - Omsk,1.48,1
Omsk - Zenit Irkutsk,1.39,0
Dynamo Barnaul - Zenit Irkutsk,1.24,1
Zenit Irkutsk - Dynamo Barnaul,1.45,1
Chita - Omsk,1.33,1
Chita - Zenit Irkutsk,1.24,1
Sakhalin - Zenit Irkutsk,1.19,0
Smena Komsomolsk - Zenit Irkutsk,1.38,1
Chita - Smena Komsomolsk,1.49,0
Sakhalin - Dynamo Barnaul,1.47,0
Smena Komsomolsk - Omsk,1.48,1
Sakhalin - Omsk,1.32,1
Zenit Irkutsk - Chita,1.37,1
Dynamo Barnaul - Zenit Irkutsk,1.4,1
Chita - Omsk,1.22,0
Sakhalin - Smena Komsomolsk,1.46,0
Chita - Sakhalin,1.42,1
Zenit Irkutsk - Sakhalin,1.48,0
Zenit Irkutsk - Chita,1.36,0
Smena Komsomolsk - Omsk,1.48,1
Sakhalin - Omsk,1.48,1
Omsk - Zenit Irkutsk,1.39,0
Dynamo Barnaul - Zenit Irkutsk,1.24,1
Zenit Irkutsk - Dynamo Barnaul,1.45,1
Chita - Omsk,1.33,1
Chita - Zenit Irkutsk,1.24,1
Sakhalin - Zenit Irkutsk,1.19,0
Smena Komsomolsk - Zenit Irkutsk,1.38,1
Chita - Smena Komsomolsk,1.49,0
Sakhalin - Dynamo Barnaul,1.47,0
Smena Komsomolsk - Omsk,1.48,1
Sakhalin - Omsk,1.32,1
Zenit Irkutsk - Chita,1.37,1
Dynamo Barnaul - Zenit Irkutsk,1.4,1
Chita - Omsk,1.22,0
Sakhalin - Smena Komsomolsk,1.46,0
Dynamo Barnaul - Omsk,1.4,0
Smena Komsomolsk - Yakutiya,1.3,1
Chita - Sibir 2,1.34,1
Sakhalin - Tomsk 2,1.24,1
Smena Komsomolsk - Tomsk 2,1.39,0
Sakhalin - Omsk,1.25,1
Yakutiya - Chita,1.33,1
Sibir 2 - Sakhalin,1.39,1
Sakhalin - Yakutiya,1.3,0
Omsk - Tomsk 2,1.41,0
Smena Komsomolsk - Sibir 2,1.3,0
Sakhalin - Sibir 2,1.29,1
Dynamo Barnaul - Omsk,1.4,0
Smena Komsomolsk - Yakutiya,1.3,1
Chita - Sibir 2,1.34,1
Sakhalin - Tomsk 2,1.24,1
Smena Komsomolsk - Tomsk 2,1.39,0
Sakhalin - Omsk,1.25,1
Yakutiya - Chita,1.33,1
Sibir 2 - Sakhalin,1.39,1
Sakhalin - Yakutiya,1.3,0
Omsk - Tomsk 2,1.41,0
Smena Komsomolsk - Sibir 2,1.3,0
Sakhalin - Sibir 2,1.29,1
FC Novokuznetsk - Tomsk 2,1.27,1
Chita - Yakutiya,1.32,1
Omsk - Sibir 2,1.28,0
Dynamo Barnaul - Tomsk 2,1.38,1
Baikal Irkutsk - Dynamo Barnaul,1.27,0
Yakutiya - Smena Komsomolsk,1.41,1
Tomsk 2 - Omsk,1.39,1
Dynamo Barnaul - Yakutiya,1.22,1
Sibir 2 - Baikal Irkutsk,1.41,0
FC Novokuznetsk - Yakutiya,1.24,1
Chita - Tomsk 2,1.32,1
Baikal Irkutsk - Tomsk 2,1.2,1
Smena Komsomolsk - Sibir 2,1.31,0
Sibir 2 - Dynamo Barnaul,1.48,0
Dynamo Barnaul - Sibir 2,1.26,1
Smena Komsomolsk - Tomsk 2,1.26,1
FC Novokuznetsk - Sibir 2,1.23,1
Yakutiya - Tomsk 2,1.34,1
Tomsk 2 - Baikal Irkutsk,1.41,1
Omsk - Yakutiya,1.5,0
FC Novokuznetsk - Tomsk 2,1.27,1
Chita - Yakutiya,1.32,1
Omsk - Sibir 2,1.28,0
Dynamo Barnaul - Tomsk 2,1.38,1
Baikal Irkutsk - Dynamo Barnaul,1.27,0
Yakutiya - Smena Komsomolsk,1.41,1
Tomsk 2 - Omsk,1.39,1
Dynamo Barnaul - Yakutiya,1.22,1
Sibir 2 - Baikal Irkutsk,1.41,0
FC Novokuznetsk - Yakutiya,1.24,1
Chita - Tomsk 2,1.32,1
Baikal Irkutsk - Tomsk 2,1.2,1
Smena Komsomolsk - Sibir 2,1.31,0
Sibir 2 - Dynamo Barnaul,1.48,0
Dynamo Barnaul - Sibir 2,1.26,1
Smena Komsomolsk - Tomsk 2,1.26,1
FC Novokuznetsk - Sibir 2,1.23,1
Yakutiya - Tomsk 2,1.34,1
