Global - Boeung Ket&nbsp;,1.23,0
Hougang - NagaWorld&nbsp;,1.4,1
Boeung Ket - Global&nbsp;,1.32,1
Hougang - Ceres,1.37,0
Warriors - Boeung Ket,1.15,0
Balestier Khalsa - Albirex Niigata&nbsp;,1.48,1
Albirex Niigata - Balestier Khalsa&nbsp;,1.28,1
Albirex Niigata - Geylang&nbsp;,1.45,1
Ceres - Young Lions,1.19,0
NagaWorld - Global,1.24,1
Geylang - Lao Police,1.42,1
Albirex Niigata - Svay Rieng,1.25,1
Home Utd - Meralco Sparks&nbsp;,1.47,1
Tampines - Tanjong Pagar&nbsp;,1.39,1
Meralco Sparks - Champasak,1.35,1
Home Utd - NagaWorld,1.28,1
Harimau Muda B - Tampines,1.4,0
Svay Rieng - Albirex Niigata,1.39,1
Home Utd - Geylang&nbsp;,1.44,1
Tanjong Pagar - Boeung Ket,1.36,1
Tampines - Meralco Sparks&nbsp;,1.4,1
Albirex Niigata - Yotha,1.41,1
Tampines - Phnom Penh Crown,1.27,1
Albirex Niigata - Hougang&nbsp;,1.3,0
Pattaya Utd - Okktha,1.3,0
Warriors - Phnom Penh Crown,1.13,1
Etoile - Tanjong Pagar,1.1,1
Home Utd - Woodlands W.,1.1,1
Young Lions - Etoile,1.21,1
Young Lions - Tampines&nbsp;,1.48,1
Tampines - Young Lions&nbsp;,1.22,1
Etoile - Kitchee&nbsp;,1.25,1
Tampines - Balestier Khalsa&nbsp;,1.28,1
Tampines - Woodlands W.,1.26,0
Phnom Penh Crown - Etoile,1.32,1
