Poprad - Trnava B&nbsp;,1.48,1
Bardejov - Nitra,1.48,1
Samorin - Spisska Nova Ves,1.07,1
Sered - Zvolen,1.36,0
Skalica - VSS Kosice,1.34,1
Nitra - L. Mikulas,1.2,1
Skalica - Lok. Kosice,1.43,1
Spisska Nova Ves - Zilina B,1.34,1
VSS Kosice - Sered,1.34,1
MSK Martin - B. Bystrica,1.14,1
Spisska Nova Ves - Nitra,1.17,1
Zilina B - Zvolen,1.17,1
Pohronie - Spisska Nova Ves,1.41,1
Skalica - L. Mikulas,1.36,1
VSS Kosice - Zilina B,1.36,0
Zvolen - Nitra,1.48,1
Svaty Jur - MSK Martin,1.48,0
Trnava B - B. Bystrica,1.25,0
MSK Martin - AFC Nove Mesto,1.4,1
Samorin - L. Mikulas,1.44,1
Sered - Spisska Nova Ves,1.22,1
Skalica - Zvolen,1.35,1
VSS Kosice - Pohronie,1.45,1
Slovan Bratislava B - MSK Martin,1.35,1
Poprad - Trnava B&nbsp;,1.48,1
Bardejov - Nitra,1.48,1
Samorin - Spisska Nova Ves,1.07,1
Sered - Zvolen,1.36,0
Skalica - VSS Kosice,1.34,1
Nitra - L. Mikulas,1.2,1
Skalica - Lok. Kosice,1.43,1
Spisska Nova Ves - Zilina B,1.34,1
VSS Kosice - Sered,1.34,1
MSK Martin - B. Bystrica,1.14,1
Spisska Nova Ves - Nitra,1.17,1
Zilina B - Zvolen,1.17,1
Pohronie - Spisska Nova Ves,1.41,1
Skalica - L. Mikulas,1.36,1
VSS Kosice - Zilina B,1.36,0
Zvolen - Nitra,1.48,1
Svaty Jur - MSK Martin,1.48,0
Trnava B - B. Bystrica,1.25,0
MSK Martin - AFC Nove Mesto,1.4,1
Samorin - L. Mikulas,1.44,1
Sered - Spisska Nova Ves,1.22,1
Skalica - Zvolen,1.35,1
VSS Kosice - Pohronie,1.45,1
Slovan Bratislava B - MSK Martin,1.35,1
Poprad - Trnava B&nbsp;,1.48,1
Bardejov - Nitra,1.48,1
Samorin - Spisska Nova Ves,1.07,1
Sered - Zvolen,1.36,0
Skalica - VSS Kosice,1.34,1
Nitra - L. Mikulas,1.2,1
Skalica - Lok. Kosice,1.43,1
Spisska Nova Ves - Zilina B,1.34,1
VSS Kosice - Sered,1.34,1
MSK Martin - B. Bystrica,1.14,1
Spisska Nova Ves - Nitra,1.17,1
Zilina B - Zvolen,1.17,1
Pohronie - Spisska Nova Ves,1.41,1
Skalica - L. Mikulas,1.36,1
VSS Kosice - Zilina B,1.36,0
Zvolen - Nitra,1.48,1
Svaty Jur - MSK Martin,1.48,0
Trnava B - B. Bystrica,1.25,0
MSK Martin - AFC Nove Mesto,1.4,1
Samorin - L. Mikulas,1.44,1
Sered - Spisska Nova Ves,1.22,1
Skalica - Zvolen,1.35,1
VSS Kosice - Pohronie,1.45,1
Slovan Bratislava B - MSK Martin,1.35,1
Poprad - Trnava B&nbsp;,1.48,1
Bardejov - Nitra,1.48,1
Samorin - Spisska Nova Ves,1.07,1
Sered - Zvolen,1.36,0
Skalica - VSS Kosice,1.34,1
Nitra - L. Mikulas,1.2,1
Skalica - Lok. Kosice,1.43,1
Spisska Nova Ves - Zilina B,1.34,1
VSS Kosice - Sered,1.34,1
MSK Martin - B. Bystrica,1.14,1
Spisska Nova Ves - Nitra,1.17,1
Zilina B - Zvolen,1.17,1
Pohronie - Spisska Nova Ves,1.41,1
Skalica - L. Mikulas,1.36,1
VSS Kosice - Zilina B,1.36,0
Zvolen - Nitra,1.48,1
Svaty Jur - MSK Martin,1.48,0
Trnava B - B. Bystrica,1.25,0
MSK Martin - AFC Nove Mesto,1.4,1
Samorin - L. Mikulas,1.44,1
Sered - Spisska Nova Ves,1.22,1
Skalica - Zvolen,1.35,1
VSS Kosice - Pohronie,1.45,1
Slovan Bratislava B - MSK Martin,1.35,1
Poprad - Trnava B&nbsp;,1.48,1
Bardejov - Nitra,1.48,1
Samorin - Spisska Nova Ves,1.07,1
Sered - Zvolen,1.36,0
Skalica - VSS Kosice,1.34,1
Nitra - L. Mikulas,1.2,1
Skalica - Lok. Kosice,1.43,1
Spisska Nova Ves - Zilina B,1.34,1
VSS Kosice - Sered,1.34,1
MSK Martin - B. Bystrica,1.14,1
Spisska Nova Ves - Nitra,1.17,1
Zilina B - Zvolen,1.17,1
Pohronie - Spisska Nova Ves,1.41,1
Skalica - L. Mikulas,1.36,1
VSS Kosice - Zilina B,1.36,0
Zvolen - Nitra,1.48,1
Svaty Jur - MSK Martin,1.48,0
Trnava B - B. Bystrica,1.25,0
MSK Martin - AFC Nove Mesto,1.4,1
Samorin - L. Mikulas,1.44,1
Sered - Spisska Nova Ves,1.22,1
Skalica - Zvolen,1.35,1
VSS Kosice - Pohronie,1.45,1
Slovan Bratislava B - MSK Martin,1.35,1
Presov - Sered,1.28,1
Lok. Kosice - Slovan Bratislava B,1.29,1
VSS Kosice - Pohronie,1.33,0
AFC Nove Mesto - Sala,1.48,1
Presov - Pohronie,1.33,0
Trnava B - SK Senec,1.22,1
VSS Kosice - Slovan Bratislava B,1.2,1
Trnava B - Sala,1.47,1
Presov - Nitra,1.37,0
L. Mikulas - Nitra,1.49,0
L. Mikulas - Slovan Bratislava B,1.4,1
Presov - Zilina B,1.4,1
VSS Kosice - Sered,1.31,1
Lok. Kosice - Nitra,1.47,1
Zvolen - Slovan Bratislava B,1.4,0
SK Senec - B. Bystrica,1.5,1
D. Luzna - SK Senec,1.41,0
Presov - Sered,1.28,1
Lok. Kosice - Slovan Bratislava B,1.29,1
VSS Kosice - Pohronie,1.33,0
AFC Nove Mesto - Sala,1.48,1
Presov - Pohronie,1.33,0
Trnava B - SK Senec,1.22,1
VSS Kosice - Slovan Bratislava B,1.2,1
Trnava B - Sala,1.47,1
Presov - Nitra,1.37,0
L. Mikulas - Nitra,1.49,0
L. Mikulas - Slovan Bratislava B,1.4,1
Presov - Zilina B,1.4,1
VSS Kosice - Sered,1.31,1
Lok. Kosice - Nitra,1.47,1
Zvolen - Slovan Bratislava B,1.4,0
SK Senec - B. Bystrica,1.5,1
D. Luzna - SK Senec,1.41,0
Presov - Sered,1.28,1
Lok. Kosice - Slovan Bratislava B,1.29,1
VSS Kosice - Pohronie,1.33,0
AFC Nove Mesto - Sala,1.48,1
Presov - Pohronie,1.33,0
Trnava B - SK Senec,1.22,1
VSS Kosice - Slovan Bratislava B,1.2,1
Trnava B - Sala,1.47,1
Presov - Nitra,1.37,0
L. Mikulas - Nitra,1.49,0
L. Mikulas - Slovan Bratislava B,1.4,1
Presov - Zilina B,1.4,1
VSS Kosice - Sered,1.31,1
Lok. Kosice - Nitra,1.47,1
Zvolen - Slovan Bratislava B,1.4,0
SK Senec - B. Bystrica,1.5,1
D. Luzna - SK Senec,1.41,0
Presov - Sered,1.28,1
Lok. Kosice - Slovan Bratislava B,1.29,1
VSS Kosice - Pohronie,1.33,0
AFC Nove Mesto - Sala,1.48,1
Presov - Pohronie,1.33,0
Trnava B - SK Senec,1.22,1
VSS Kosice - Slovan Bratislava B,1.2,1
Trnava B - Sala,1.47,1
Presov - Nitra,1.37,0
L. Mikulas - Nitra,1.49,0
L. Mikulas - Slovan Bratislava B,1.4,1
Presov - Zilina B,1.4,1
VSS Kosice - Sered,1.31,1
Lok. Kosice - Nitra,1.47,1
Zvolen - Slovan Bratislava B,1.4,0
SK Senec - B. Bystrica,1.5,1
D. Luzna - SK Senec,1.41,0
Presov - Sered,1.28,1
Lok. Kosice - Slovan Bratislava B,1.29,1
VSS Kosice - Pohronie,1.33,0
AFC Nove Mesto - Sala,1.48,1
Presov - Pohronie,1.33,0
Trnava B - SK Senec,1.22,1
VSS Kosice - Slovan Bratislava B,1.2,1
Trnava B - Sala,1.47,1
Presov - Nitra,1.37,0
L. Mikulas - Nitra,1.49,0
L. Mikulas - Slovan Bratislava B,1.4,1
Presov - Zilina B,1.4,1
VSS Kosice - Sered,1.31,1
Lok. Kosice - Nitra,1.47,1
Zvolen - Slovan Bratislava B,1.4,0
SK Senec - B. Bystrica,1.5,1
D. Luzna - SK Senec,1.41,0
Bardejov - Sala,1.47,1
L. Mikulas - Sered,1.49,0
Michalovce - Zilina B,1.34,1
Dubnica - AFC Nove Mesto,1.4,1
Presov - SK Senec,1.39,0
Samorin - Pohronie,1.5,0
Michalovce - Sered,1.3,1
Michalovce - SK Senec,1.39,1
Skalica - Poprad,1.23,1
Bardejov - Sala,1.47,1
L. Mikulas - Sered,1.49,0
Michalovce - Zilina B,1.34,1
Dubnica - AFC Nove Mesto,1.4,1
Presov - SK Senec,1.39,0
Samorin - Pohronie,1.5,0
Michalovce - Sered,1.3,1
Michalovce - SK Senec,1.39,1
Skalica - Poprad,1.23,1
Bardejov - Sala,1.47,1
L. Mikulas - Sered,1.49,0
Michalovce - Zilina B,1.34,1
Dubnica - AFC Nove Mesto,1.4,1
Presov - SK Senec,1.39,0
Samorin - Pohronie,1.5,0
Michalovce - Sered,1.3,1
Michalovce - SK Senec,1.39,1
Skalica - Poprad,1.23,1
Bardejov - Sala,1.47,1
L. Mikulas - Sered,1.49,0
Michalovce - Zilina B,1.34,1
Dubnica - AFC Nove Mesto,1.4,1
Presov - SK Senec,1.39,0
Samorin - Pohronie,1.5,0
Michalovce - Sered,1.3,1
Michalovce - SK Senec,1.39,1
Skalica - Poprad,1.23,1
Bardejov - Sala,1.47,1
L. Mikulas - Sered,1.49,0
Michalovce - Zilina B,1.34,1
Dubnica - AFC Nove Mesto,1.4,1
Presov - SK Senec,1.39,0
Samorin - Pohronie,1.5,0
Michalovce - Sered,1.3,1
Michalovce - SK Senec,1.39,1
Skalica - Poprad,1.23,1
