Ferroviaria W - U. Espanola W,1.3,1
Colon W - U. de Deportes W,1.12,1
Ferroviaria W - Estudiantes de Guarico W,1.41,0
Colo Colo W - U. Espanola W,1.19,1
Foz Cataratas W - San Martin W,1.03,1
Estudiantes de Guarico W - U. Espanola W,1.17,1
Club Nacional W - Foz Cataratas W,1.23,1
Generaciones Palmiranas W - San Martin W,1.02,0
Colon W - UAI Urquiza W,1.38,0
Estudiantes Caracas W - SAO Jose W,1.44,1
SAO Jose W - Cerro Porteno W,1.46,1
Colon W - Estudiantes Caracas W,1.01,1
Rocafuerte W - Cerro Porteno W,1.02,1
SAO Jose W - Mundo Futuro W,1.02,1
Real Maracana W - Boca Juniors W,1.29,1
Santos W - Estudiantes Caracas W,1.1,1
Santos W - SAO Jose W,1.36,0
Formas Intimas W - SAO Jose W,1.24,0
Nacional Montevideo W - Santos W,1.03,0
Gerimex W - Estudiantes Caracas W,1.25,1
Universidad de Asuncion W - Sport Girls W,1.14,1
Santos W - Gerimex W,1.03,1
Sport Girls W - Colo Colo W,1.3,1
Duque de Caxias W - Universidad de Asuncion W,1.29,0
Boca Juniors W - Formas Intimas W,1.37,0
SAO Jose W - Deportivo Quito W,1.14,1
Santos W - Estudiantes Caracas W,1.02,1
Nacional Montevideo W - Gerimex W,1.38,0
Duque de Caxias W - Sport Girls W,1.08,1
