Kampala City - Sadolin Paints,1.29,1
Vipers - Saints FC,1.5,1
Kampala City - Lweza,1.34,1
Kampala City - Jinja,1.29,1
Villa - Police,1.5,0
Onduparaka FC - Lweza,1.29,1
Kampala City - Sadolin Paints,1.29,1
Vipers - Saints FC,1.5,1
Kampala City - Lweza,1.34,1
Kampala City - Jinja,1.29,1
Villa - Police,1.5,0
Onduparaka FC - Lweza,1.29,1
Kampala City - Sadolin Paints,1.29,1
Vipers - Saints FC,1.5,1
Kampala City - Lweza,1.34,1
Kampala City - Jinja,1.29,1
Villa - Police,1.5,0
Onduparaka FC - Lweza,1.29,1
Kampala City - Sadolin Paints,1.29,1
Vipers - Saints FC,1.5,1
Kampala City - Lweza,1.34,1
Kampala City - Jinja,1.29,1
Villa - Police,1.5,0
Onduparaka FC - Lweza,1.29,1
Vipers - Simba,1.36,0
Express FC - Bright Stars,1.44,1
Soana - Maroons,1.4,1
Kampala City - Saints FC,1.35,0
Vipers - BUL,1.37,0
Vipers - Simba,1.36,0
Express FC - Bright Stars,1.44,1
Soana - Maroons,1.4,1
Kampala City - Saints FC,1.35,0
Vipers - BUL,1.37,0
Vipers - Simba,1.36,0
Express FC - Bright Stars,1.44,1
Soana - Maroons,1.4,1
Kampala City - Saints FC,1.35,0
Vipers - BUL,1.37,0
Simba - Villa,1.37,1
Villa - Entebbe,1.26,1
Kampala City - Express FC,1.43,0
Kampala City - Rwenshama,1.4,1
Vipers - Entebbe,1.29,1
Simba - Villa,1.37,1
Villa - Entebbe,1.26,1
Kampala City - Express FC,1.43,0
Kampala City - Rwenshama,1.4,1
Vipers - Entebbe,1.29,1
Simba - Villa,1.37,1
Villa - Entebbe,1.26,1
Kampala City - Express FC,1.43,0
Kampala City - Rwenshama,1.4,1
Vipers - Entebbe,1.29,1
Simba - Villa,1.37,1
Villa - Entebbe,1.26,1
Kampala City - Express FC,1.43,0
Kampala City - Rwenshama,1.4,1
Vipers - Entebbe,1.29,1
Victoria University - CRO,1.33,1
Kampala City - Masaka,1.29,1
Bright Stars - CRO,1.29,0
Kampala City - CRO,1.17,1
Vipers - Proline,1.4,1
