Shakhtar Donetsk - Dnipro,1.2,1
Mykolaiv - Dyn. Kiev,1.04,1
Naftovik-Ukrnafta - Dyn. Kiev,1.09,1
Shakhtar Donetsk - Oleksandriya,1.2,1
Mariupol - Ternopil,1.12,1
Hornostayivka - Veres Rivne,1.28,1
Zhemchuzhyna Odesa - Karpaty,1.28,0
Balkany Zorya - FC Dnipro Cherkasy,1.49,1
FK Zorya Luhansk - Shakhtar Donetsk&nbsp;,1.29,1
Shakhtar Donetsk - Oleksandriya&nbsp;,1.14,1
Oleksandriya - Shakhtar Donetsk&nbsp;,1.26,0
Dnipro - Stal Kamianske&nbsp;,1.35,1
Dyn. Kiev - Oleksandriya&nbsp;,1.14,0
FK Zorya Luhansk - Volyn Lutsk&nbsp;,1.11,1
Vorskla Poltava - Shakhtar Donetsk&nbsp;,1.41,1
Volyn Lutsk - FK Zorya Luhansk&nbsp;,1.37,0
Oleksandriya - Dyn. Kiev&nbsp;,1.16,0
Dnipro - Olimpik Donetsk&nbsp;,1.13,1
Volyn Lutsk - Mykolaiv&nbsp;,1.16,1
Stal Kamianske - Hirnyk Kryvyi Rih&nbsp;,1.37,1
Vorskla Poltava - Ch. Odessa&nbsp;,1.19,0
Dyn. Kiev - Obolon Brovar Kyjev&nbsp;,1.11,1
FK Zorya Luhansk - Helios&nbsp;,1.19,1
Shakhtar Donetsk - Ternopil&nbsp;,1.04,1
Obolon Brovar Kyjev - Dyn. Kiev&nbsp;,1.09,1
Helios - FK Zorya Luhansk&nbsp;,1.44,1
Ternopil - Shakhtar Donetsk&nbsp;,1.08,1
Olimpik Donetsk - Dnipro&nbsp;,1.4,1
Mykolaiv - Volyn Lutsk&nbsp;,1.4,1
Kherson - FK Zorya Luhansk,1.15,1
Ternopil - Met. Zaporozhye,1.4,0
Kramatorsk - Oleksandriya,1.39,1
Arsenal Kiev - Shakhtar Donetsk,1.02,1
Desna - Vorskla Poltava,1.39,0
Hirnyk-Sport - Dyn. Kiev,1.03,1
Inhulets - Volyn Lutsk,1.16,1
Mykolaiv - Metalist Kharkiv,1.22,0
Hornostayivka - Ch. Odessa,1.12,1
Zirka Kropyvnytskyi - Karpaty,1.32,0
Balkany Zorya - Dnipro,1.05,1
FK Zorya Luhansk - Shakhtar Donetsk&nbsp;,1.29,1
Shakhtar Donetsk - Oleksandriya&nbsp;,1.14,1
Oleksandriya - Shakhtar Donetsk&nbsp;,1.26,0
Dnipro - Stal Kamianske&nbsp;,1.35,1
Dyn. Kiev - Oleksandriya&nbsp;,1.14,0
FK Zorya Luhansk - Volyn Lutsk&nbsp;,1.11,1
Vorskla Poltava - Shakhtar Donetsk&nbsp;,1.41,1
Volyn Lutsk - FK Zorya Luhansk&nbsp;,1.37,0
Oleksandriya - Dyn. Kiev&nbsp;,1.16,0
Dnipro - Olimpik Donetsk&nbsp;,1.13,1
Volyn Lutsk - Mykolaiv&nbsp;,1.16,1
Stal Kamianske - Hirnyk Kryvyi Rih&nbsp;,1.37,1
Vorskla Poltava - Ch. Odessa&nbsp;,1.19,0
Dyn. Kiev - Obolon Brovar Kyjev&nbsp;,1.11,1
FK Zorya Luhansk - Helios&nbsp;,1.19,1
Shakhtar Donetsk - Ternopil&nbsp;,1.04,1
Obolon Brovar Kyjev - Dyn. Kiev&nbsp;,1.09,1
Helios - FK Zorya Luhansk&nbsp;,1.44,1
Ternopil - Shakhtar Donetsk&nbsp;,1.08,1
Olimpik Donetsk - Dnipro&nbsp;,1.4,1
Mykolaiv - Volyn Lutsk&nbsp;,1.4,1
Kherson - FK Zorya Luhansk,1.15,1
Ternopil - Met. Zaporozhye,1.4,0
Kramatorsk - Oleksandriya,1.39,1
Arsenal Kiev - Shakhtar Donetsk,1.02,1
Desna - Vorskla Poltava,1.39,0
Hirnyk-Sport - Dyn. Kiev,1.03,1
Inhulets - Volyn Lutsk,1.16,1
